id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
080759659001097,55,0,0,55,13,201.6,66,84.8,352.4,6340.311807315147,649.2580355977173
080759660001079,0,0,0,0,7,4.9,0,4.2,9.1,854.4190608314588,8.981166486036456
080759659001147,0,0,0,0,1,0.7,0,0.6,1.3,686.5751075697359,0.9999573614935191
080759663003041,3,3,0,0,5,5.6,3.6,4.5,13.7,51300.937170405414,13052.33136202907
080759664001141,0,0,0,0,4,2.8,0,2.4,5.2,2104.543340254587,4.9998423485447745
080759663002031,0,0,0,0,7,4.9,0,4.2,9.1,51506.573314256275,24757.425571956286
080759660001104,0,0,0,0,3,2.1,0,1.8,3.9,48238.27477939393,5.957763520939095
080759661021009,0,0,0,0,10,7,0,6,13,51018.07410660644,4999.524265012761
080759664001325,0,0,0,0,1,0.7,0,0.6,1.3,39.26047063646558,1.0009773716200814
080759660001092,0,0,0,0,1,0.7,0,0.6,1.3,325.86002128186095,1.0133915073196038
080759660001186,1,0,0,1,6,7.7,1.2,5,13.9,45770.61471667078,571.4075294266527
080759661024017,25,2,0,23,17,93.8,30,43.4,167.2,51059.343374069686,7786.452195255846
080759664001253,0,0,0,0,4,2.8,0,2.4,5.2,51684.07573627224,789.9941854721445
080759664001354,0,0,0,0,2,1.4,0,1.2,2.6,438.39134812946855,2.717414640674839
080759659001037,0,0,0,0,1,0.7,0,0.6,1.3,43.4192693156482,1.0210834758796612
080759663004036,0,0,0,0,16,11.2,0,9.6,20.8,51043.953389899725,8430.85003366347
080759659001106,0,0,0,0,6,4.2,0,3.6,7.8,8760.569835341366,656.6306072260339
080759664001040,0,0,0,0,1,0.7,0,0.6,1.3,172.50472236891787,0.9996467078031537
080759664001090,0,0,0,0,2,1.4,0,1.2,2.6,18754.527538874285,672.0685558312683
080759663002023,0,0,0,0,5,3.5,0,3,6.5,51570.35572611576,24303.20014137924
080759662002006,6,0,0,6,2,22.4,7.2,9.6,39.2,51393.30316652814,19640.747001810127
080759662003030,0,0,0,0,13,9.1,0,7.8,16.9,51313.50075753283,17573.065106041784
080759661011010,0,0,0,0,3,2.1,0,1.8,3.9,49883.66700621429,25.060209394526233
080759660001147,0,0,0,0,8,5.6,0,4.8,10.4,49848.329420766095,98.59534123753863
080759664001026,11,6,0,5,3,23.8,13.2,11.8,48.8,13893.74673933927,669.4469066040803
080759662002088,13,0,0,13,9,51.8,15.6,23.6,90.99999999999999,51601.38666049693,22285.224766336632
080759662002082,7,4,3,0,2,29.4,8.4,17.3,55.1,51582.866170568384,21513.648326800965
080759663001059,0,0,0,0,14,9.8,0,8.4,18.2,51147.78348382384,8674.785149736243
080759661012008,6,0,0,6,9,27.3,7.2,13.8,48.3,50044.18349822455,51.71693881007355
080759659001058,0,0,0,0,3,2.1,0,1.8,3.9,2753.524619963959,2.9999758536860286
080759659001094,0,0,0,0,2,1.4,0,1.2,2.6,776.2966734542385,1.997530295313573
080759661024015,0,0,0,0,36,25.2,0,21.6,46.8,51072.78987634976,7057.333136399714
080759662002043,0,0,0,0,8,5.6,0,4.8,10.4,51610.71358606866,22584.6729466418
080759662002052,55,0,1,54,8,203,66,85.1,354.1,51585.88464143542,22872.041652981567
080759664001333,0,0,0,0,2,1.4,0,1.2,2.6,42.99061812213748,2.0053269233511974
080759664001373,0,0,0,0,1,0.7,0,0.6,1.3,27.26790358872898,0.9971543192715325
080759663003020,0,0,0,0,3,2.1,0,1.8,3.9,51339.64702973891,19264.123981119792
080759663002049,0,0,0,0,8,5.6,0,4.8,10.4,51541.1772301297,23271.102231562472
080759660001171,3,0,0,3,8,16.1,3.6,9,28.7,42286.538478734794,612.4263695254651
080759662002031,0,0,0,0,1,0.7,0,0.6,1.3,51563.28518934679,20749.987674923384
080759663004049,0,0,0,0,5,3.5,0,3,6.5,51054.28468648502,11408.798622016599
080759659001222,0,0,0,0,2,1.4,0,1.2,2.6,4042.7769717057586,1.9971577864757109
080759661012020,0,0,0,0,20,14,0,12,26,51078.59817064417,11273.619364389975
