id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
482239502003095,0,0,0,0,1,0.7,0,0.6,1.3,64578.63988483349,7.232062482744556
482239505003024,4,2,0,2,12,16.8,4.8,11,32.6,84329.6263170098,930.5814052969401
482239505003009,2,0,0,2,12,15.4,2.4,10,27.8,84723.38332815365,1995.8327977710808
482239506002023,0,0,0,0,16,11.2,0,9.6,20.8,84422.8567357013,12484.886220570741
482239508002028,0,0,0,0,5,3.5,0,3,6.5,63671.14314074045,16.464656396225397
482239502002048,0,0,0,0,5,3.5,0,3,6.5,11613.757986829996,8.029742896163803
482239505002023,0,0,0,0,32,22.4,0,19.2,41.6,84551.11799732839,11560.06132237535
482239508001026,1,1,0,0,6,4.9,1.2,4.1,10.2,70551.98251376777,13.250118808861687
482239508001031,5,5,0,0,1,4.2,6,3.1,13.3,69730.54218714238,21.330486059764656
482239504023011,0,0,0,0,9,6.3,0,5.4,11.7,85267.5595821821,21854.025127714955
482239507001017,0,0,0,0,12,8.4,0,7.2,15.6,7304.271955942843,14.981369972934795
482239501001092,0,0,0,0,3,2.1,0,1.8,3.9,5896.417683783147,28.24773714060042
482239502002051,0,0,0,0,12,8.4,0,7.2,15.6,5969.171299471385,15.20329007065088
482239507005054,0,0,0,0,2,1.4,0,1.2,2.6,14275.308943474342,14.482391700375494
482239502002044,0,0,0,0,10,7,0,6,13,54048.63774952494,18.123456313860515
482239506002016,0,0,0,0,3,2.1,0,1.8,3.9,84770.65198338237,16824.767863305293
482239503021025,0,0,0,0,8,5.6,0,4.8,10.4,83569.05009008996,621.768360447035
482239506001005,0,0,0,0,2,1.4,0,1.2,2.6,84963.61004287734,1646.565574162006
482239506002054,0,0,0,0,16,11.2,0,9.6,20.8,84980.29980948892,21880.87359450157
482239506002056,0,0,0,0,13,9.1,0,7.8,16.9,85055.94516785989,21817.58781439056
482239504022024,475,405,63,7,63,881.3,570,546.2,1997.5,85058.43897376113,5343.978463460419
482239502002011,0,0,0,0,10,7,0,6,13,60417.45958853941,13.052171385957866
482239504023025,0,0,0,0,51,35.7,0,30.6,66.3,84883.14365715688,20423.636010596278
482239504023013,0,0,0,0,36,25.2,0,21.6,46.8,84924.82649836785,19707.173545774578
482239504022022,35,0,27,8,14,264.6,42,146.5,453.1,84091.02592193845,3117.178217255662
482239506001019,63,0,32,31,53,414.4,75.6,225.6,715.6,85747.77975927213,18322.119823164085
482239502004001,0,0,0,0,3,2.1,0,1.8,3.9,65093.81077142531,255.56328044914042
482239504012002,2,2,0,0,23,17.5,2.4,14.8,34.7,84836.661095027,22378.24516739129
482239502001026,0,0,0,0,5,3.5,0,3,6.5,49692.03799559825,5.995126109725736
482239504011037,0,0,0,0,30,21,0,18,39,85324.91817582323,18137.381993803407
482239504023041,0,0,0,0,11,7.7,0,6.6,14.3,84493.6452089627,19021.24653186136
482239508001005,21,21,0,0,26,32.9,25.2,26.1,84.2,59087.06548936379,89.55292698236148
482239506001037,0,0,0,0,16,11.2,0,9.6,20.8,85843.57796481998,16229.975947970035
482239506002046,0,0,0,0,4,2.8,0,2.4,5.2,84646.01362889017,15029.05127974442
482239508002036,0,0,0,0,5,3.5,0,3,6.5,68419.54424800674,18.796635047182495
482239504012023,0,0,0,0,10,7,0,6,13,85260.67583024746,23012.75384079419
482239507005027,29,16,0,13,3,58.8,34.8,28,121.6,40921.84639069162,121.2407922146475
482239501001094,0,0,0,0,3,2.1,0,1.8,3.9,6212.401645856525,59.585897348743025
482239504022020,10,0,10,0,23,100.1,12,60.8,172.9,84787.34496134092,4907.730831085445
482239505003015,25,25,0,0,21,32.2,30,25.1,87.3,84331.67674952412,1711.3252318653258
482239503021032,0,0,0,0,3,2.1,0,1.8,3.9,80877.90111371166,95.24925528188008
482239506003006,0,0,0,0,14,9.8,0,8.4,18.2,84969.41715618153,15591.466714348866
482239506002006,0,0,0,0,20,14,0,12,26,84854.93748898675,20681.57868192605
482239504011039,69,7,25,37,13,353.5,82.8,180.6,616.9,85306.89461015472,21682.167707668308
482239507001007,0,0,0,0,4,2.8,0,2.4,5.2,57250.12713437864,19.427421433704037
482239504012028,0,0,0,0,44,30.8,0,26.4,57.2,84924.88956869754,9357.651252994614
482239503012072,0,0,0,0,3,2.1,0,1.8,3.9,84127.6899566009,318.0485242410758
482239502002034,0,0,0,0,7,4.9,0,4.2,9.1,3889.73371927726,22.35778534587723
482239506002005,0,0,0,0,3,2.1,0,1.8,3.9,84891.81458660423,17977.860991828693
482239504023045,0,0,0,0,6,4.2,0,3.6,7.8,84934.92974950497,20025.169773363614
482239503021062,0,0,0,0,2,1.4,0,1.2,2.6,85193.86026193431,897.117186811993
482239505001001,0,0,0,0,8,5.6,0,4.8,10.4,84731.06055266644,226.2704607914987
482239508002041,0,0,0,0,4,2.8,0,2.4,5.2,71023.09337340297,36.005896555882806
482239503021056,11,0,8,3,35,102.2,13.2,62.8,178.2,82906.57931920822,245.06583543010896
482239506002050,0,0,0,0,17,11.9,0,10.2,22.1,84878.02794941426,17411.03854138192
482239506003009,187,0,10,177,59,744.8,224.4,330.2,1299.4,85127.97945658253,14572.739527763304
