id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
120730015003003,0,0,0,0,22,15.4,0,13.2,28.6,1228470.2075280517,39674.06056675183
120730022012003,1,0,0,1,68,51.1,1.2,42.2,94.5,1203099.3605289203,3284.814347338784
120730003011053,1,1,0,0,19,13.999999999999998,1.2,11.9,27.1,1204141.661100896,14143.460020903298
120730019021030,0,0,0,0,8,5.6,0,4.8,10.4,1178073.1696633182,370.34835845574014
120652501041030,10,10,0,0,103,79.1,12,66.8,157.9,69787.35030126531,161.44690544808634
120730003022008,0,0,0,0,21,14.7,0,12.6,27.3,1198757.5631946612,54111.96261238325
120730002001005,0,0,0,0,14,9.8,0,8.4,18.2,1219525.9933349614,68431.99064033358
120730009073008,17,0,0,17,9,65.8,20.4,29.2,115.4,1216138.7431624965,63849.804142164816
120730009031011,158,20,0,138,8,502.6,189.6,208,900.2,1208668.7643431465,75757.08542497887
120730020071012,0,0,0,0,43,30.1,0,25.8,55.9,1202750.6132124595,32170.35744943352
120730018043005,0,0,0,0,9,6.3,0,5.4,11.7,1173404.8770084993,809.9533947124985
120730025111012,0,0,0,0,5,3.5,0,3,6.5,1189424.1190959383,3444.1031983025864
120730014012007,103,0,0,103,207,505.4,123.6,268.4,897.4,1215242.311951053,30090.544815057114
120730026053028,5,0,0,5,30,38.5,6,25,69.5,1153750.3049427439,1354.0633894909001
120730026051013,14,0,0,14,56,88.2,16.8,53.2,158.2,1088687.8898327663,2141.003214369146
120730021031003,0,0,0,0,143,100.1,0,85.8,185.9,1200760.01508581,22686.84698002137
120730008003013,2,0,0,2,30,28,2.4,20.8,51.2,1221119.611143139,58036.97201335918
120730024142005,0,0,0,0,33,23.1,0,19.8,42.9,1066977.628175322,1121.1119889035924
120730025162009,0,0,0,0,33,23.1,0,19.8,42.9,1119027.135034522,247.89749304647614
120730024152015,0,0,0,0,31,21.7,0,18.6,40.3,1214493.2252417007,4335.992848828635
120730025111008,0,0,0,0,30,21,0,18,39,1201840.1778057218,7560.738792067849
120730007002024,124,30,0,94,5,353.5,148.8,149.6,651.9,1233264.6708600668,77935.77595886597
120730026051028,0,0,0,0,19,13.3,0,11.4,24.7,1165090.4739499162,29681.849024910778
120730015004001,0,0,0,0,11,7.7,0,6.6,14.3,1222696.9180182603,10781.496402016104
120730025151031,0,0,0,0,1,0.7,0,0.6,1.3,597386.4207718042,10.24891060359782
120730024202021,7,3,0,4,22,31.5,8.4,20.3,60.2,1111644.8972498546,4356.778412460632
120730024212013,0,0,0,0,19,13.3,0,11.4,24.7,1168492.3668518388,12288.760147018857
120730006002013,0,0,0,0,17,11.9,0,10.2,22.1,1213677.1815879769,63574.87978347397
120730007001010,0,0,0,0,13,9.1,0,7.8,16.9,1227087.3814559795,45992.60335451408
120730023022043,0,0,0,0,1,0.7,0,0.6,1.3,1131697.438581648,1313.606809327749
120730002001021,0,0,0,0,14,9.8,0,8.4,18.2,1219461.1158534626,63254.51758436781
120730025142008,0,0,0,0,9,6.3,0,5.4,11.7,1128093.4354889067,156.11664202043255
120730024181008,0,0,0,0,6,4.2,0,3.6,7.8,943340.6330664679,1821.342209766921
120730025142022,0,0,0,0,6,4.2,0,3.6,7.8,1182325.5202607466,5678.4506072795175
120730027015028,0,0,0,0,6,4.2,0,3.6,7.8,1171533.2466415367,3830.096577795785
120730002001006,0,0,0,0,20,14,0,12,26,1221599.156703756,69470.05619791531
120730024111019,0,0,0,0,4,2.8,0,2.4,5.2,422080.6343216805,84.6585153038076
120730015003012,0,0,0,0,32,22.4,0,19.2,41.6,1228300.8501768531,32477.97000327941
120730021051007,0,0,0,0,33,23.1,0,19.8,42.9,1216283.0256649456,13332.099894819234
120730022083005,0,0,0,0,31,21.7,0,18.6,40.3,1191637.9965286897,2430.328683059918
120730017024012,213,0,0,213,23,761.6,255.6,312,1329.2,1217121.1615368007,27604.044290730693
120730022053003,1,1,0,0,49,35,1.2,29.9,66.1,1180490.3112650865,1864.2396247655197
120730008001002,0,0,0,0,148,103.6,0,88.8,192.4,1218536.5240056291,34775.537866912025
120652501052044,0,0,0,0,4,2.8,0,2.4,5.2,114311.029759464,5447.695546923185
120652501031031,0,0,0,0,19,13.3,0,11.4,24.7,111476.08095103306,5825.688588009533
120730018013014,0,0,0,0,10,7,0,6,13,1160633.6506181262,1408.4126539471627
120730018011005,0,0,0,0,18,12.6,0,10.8,23.4,1110889.0102833034,940.4677003014654
120652502002027,8,8,0,0,17,17.5,9.6,14.2,41.3,275732.3764460664,82.52553133926418
120652502004044,0,0,0,0,5,3.5,0,3,6.5,764568.517947292,6.001275057854669
120730024152007,0,0,0,0,10,7,0,6,13,1180910.257870945,910.7025580434234
120730025172021,4,0,4,0,59,74.9,4.8,54.2,133.9,1156053.8335325082,3662.15247467351
