id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
350559400002030,0,0,0,0,13,9.1,0,7.8,16.9,3948.538854648171,209.299639831782
350559401014029,2,0,0,2,60,49,2.4,38.8,90.2,68582.26648498507,11706.583771754722
350559521011010,0,0,0,0,11,7.7,0,6.6,14.3,63558.13530496914,52.58193547907486
350559521022013,0,0,0,0,19,13.3,0,11.4,24.7,6678.098548179519,3558.978564920331
350559521023039,0,0,0,0,1,0.7,0,0.6,1.3,10166.839125405975,246.15223706908978
350559527022002,18,0,0,18,25,80.5,21.6,40.2,142.3,67529.45737972505,2706.8368707403847
350559523002232,0,0,0,0,4,2.8,0,2.4,5.2,22664.260061488367,63.229082412313815
350559523003010,0,0,0,0,1,0.7,0,0.6,1.3,125.47062275612284,0.9981408888503615
350559527021102,0,0,0,0,13,9.1,0,7.8,16.9,2624.47945757503,21.38048276938063
350559523003103,0,0,0,0,2,1.4,0,1.2,2.6,4132.700358946393,1.9999556346142793
350559401021007,1,0,0,1,60,45.5,1.2,37.4,84.1,64489.60017205148,94.9681777684567
350559527021070,0,0,0,0,7,4.9,0,4.2,9.1,2986.9507408433406,52.303624077670314
350559521021015,0,0,0,0,4,2.8,0,2.4,5.2,269.2528036763098,4.987398694271402
350559526013015,0,0,0,0,1,0.7,0,0.6,1.3,68225.47543025686,3246.3716598805136
350559521022039,0,0,0,0,14,9.8,0,8.4,18.2,6865.844108020582,2580.537357822018
350559523001039,0,0,0,0,3,2.1,0,1.8,3.9,10471.116411942854,2.999849656760143
350559523002114,0,0,0,0,1,0.7,0,0.6,1.3,13537.83900828682,44.502800346568385
350559527021047,0,0,0,0,14,9.8,0,8.4,18.2,2693.7183003007117,20.464674316473317
350559526021015,1,0,0,1,2,4.9,1.2,2.6,8.7,66911.0007014254,290.1503182862632
350559526013013,0,0,0,0,48,33.6,0,28.8,62.4,67541.81806768618,1668.6857258343668
350559401012004,121,18,0,103,35,397.6,145.2,174.2,717,69133.13748035506,15448.248346296796
350559521012031,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,22253.880232694097,67.55378712399536
350559523003118,0,0,0,0,2,1.4,0,1.2,2.6,5338.499990568368,17.946329012257706
350559527012070,0,0,0,0,3,2.1,0,1.8,3.9,65999.56760344471,1206.60495630822
350559523002270,0,0,0,0,1,0.7,0,0.6,1.3,1436.8152885655043,0.9998353379354037
350559523001026,0,0,0,0,1,0.7,0,0.6,1.3,12579.635893433371,298.5624061105181
350559523002058,0,0,0,0,1,0.7,0,0.6,1.3,16919.66521323688,13.248954810829472
350559527021145,0,0,0,0,2,1.4,0,1.2,2.6,13342.324206067999,123.56486699343866
350559401011041,0,0,0,0,3,2.1,0,1.8,3.9,68550.8036830436,483.4936430842557
350559401021053,0,0,0,0,4,2.8,0,2.4,5.2,67874.72889387736,424.0955223803076
350559527022040,0,0,0,0,5,3.5,0,3,6.5,64515.70006286843,249.7436196464247
350559401023053,0,0,0,0,5,3.5,0,3,6.5,68501.27106547944,205.0374238132721
350559401023047,0,0,0,0,30,21,0,18,39,67371.12964551778,436.7737025886281
350559523001020,0,0,0,0,12,8.4,0,7.2,15.6,9737.6531888804,712.7690329733111
350559521023045,0,0,0,0,7,4.9,0,4.2,9.1,9730.713762035246,666.5818245888806
350559526024028,0,0,0,0,5,3.5,0,3,6.5,64825.94138107716,213.24485015379014
350559526011005,0,0,0,0,7,4.9,0,4.2,9.1,69793.68096544594,14551.784877631882
350559521021108,0,0,0,0,10,7,0,6,13,3744.3063997222353,12.995826415893434
350559526012001,32,4,13,15,20,178.5,38.4,96.1,313,68440.73631379355,14803.720282003627
350559526023006,9,2,0,7,26,44.1,10.8,26.4,81.3,65316.673254668414,177.5756207565927
350559401022000,26,2,7,17,90,182.7,31.2,111.7,325.6,69636.49310191728,408.5656135098482
350559527021056,0,0,0,0,2,1.4,0,1.2,2.6,3863.0568947448637,79.06525815270653
350559523002107,0,0,0,0,4,2.8,0,2.4,5.2,33045.384000270366,14.604630188605542
350559527022001,1,1,0,0,19,13.999999999999998,1.2,11.9,27.1,67562.07711220408,3725.016491294544
350559521022136,0,0,0,0,1,0.7,0,0.6,1.3,10669.575709681878,105.8560446358023
350559521011013,12,12,0,0,17,20.3,14.4,16.2,50.9,71441.87434814143,498.5646642862901
350559523003257,0,0,0,0,5,3.5,0,3,6.5,2942.31799629576,12.644201301502237
350559526021033,13,0,0,13,1,46.2,15.6,18.8,80.6,69871.90161554291,22493.06111196531
