id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
132759610003076,0,0,0,0,1,0.7,0,0.6,1.3,132212.17259249112,281.2147092461936
132759603001014,10,0,8,2,3,76.3,12,42.2,130.5,132750.22991139302,942.91234422509
132759601001031,0,0,0,0,14,9.8,0,8.4,18.2,106757.80631524164,614.6505074507097
132759607022026,0,0,0,0,8,5.6,0,4.8,10.4,180680.98035021374,21173.790178406525
132759604001057,0,0,0,0,3,2.1,0,1.8,3.9,107187.97442977683,473.6740976704781
132759609002031,0,0,0,0,19,13.3,0,11.4,24.7,169526.68280255885,2228.039273800077
132759608002036,0,0,0,0,10,7,0,6,13,176174.10236939334,7101.094553762054
132759611001042,0,0,0,0,18,12.6,0,10.8,23.4,132257.9514369378,528.5169081592574
132759609001016,7,0,0,7,22,39.9,8.4,23,71.3,177567.13889708952,51677.33532620371
132759608005010,3,0,0,3,13,19.6,3.6,12,35.2,174948.65468668766,3428.4038470714854
132759607011020,0,0,0,0,12,8.4,0,7.2,15.6,176094.46143969332,201.71598341173075
132759606022006,0,0,0,0,8,5.6,0,4.8,10.4,171306.50009876478,3766.1084952206966
132759607023032,8,8,0,0,8,11.2,9.6,8.8,29.6,178180.86115563358,31930.0848601169
131319503005016,0,0,0,0,7,4.9,0,4.2,9.1,149947.90665122072,12825.458612928496
131319504022036,0,0,0,0,11,7.7,0,6.6,14.3,163054.894267381,14478.02667534934
131319504021009,0,0,0,0,13,9.1,0,7.8,16.9,115433.05630996142,36.75143103304089
131319501003036,0,0,0,0,2,1.4,0,1.2,2.6,41870.64889655932,12.790526946276742
132759606012003,0,0,0,0,22,15.4,0,13.2,28.6,173793.17693171292,13594.657280086849
132759604002028,0,0,0,0,2,1.4,0,1.2,2.6,118934.68288541908,184.643928257961
132759602001010,0,0,0,0,1,0.7,0,0.6,1.3,59101.349702425716,13.728692219370211
132759607023040,480,0,40,440,4,1878.8,576,806.4,3261.2,180180.08634431273,49879.98855505777
132759610002026,4,0,4,0,6,37.8,4.8,22.4,65,156567.39557386524,288.4668441335379
132759610003079,0,0,0,0,4,2.8,0,2.4,5.2,134012.39519920285,299.4692703930085
132759603001017,0,0,0,0,3,2.1,0,1.8,3.9,126732.71507809739,961.6282969399605
132759608002006,0,0,0,0,4,2.8,0,2.4,5.2,177879.87538674803,9930.040105670765
132759609001018,68,0,4,64,24,274.4,81.6,122.8,478.8,177717.03262525774,50919.79829266381
132759608002002,0,0,0,0,7,4.9,0,4.2,9.1,177619.49931908326,15052.52544643471
132759610003021,0,0,0,0,1,0.7,0,0.6,1.3,170702.5592615843,564.9914343234825
132759603002022,8,8,0,0,2,7,9.6,5.2,21.8,143270.4263729723,123.71482229332908
131319502003008,34,14,0,20,3,81.9,40.8,36.8,159.5,84747.71097550503,1896.5759471427964
132759606013022,0,0,0,0,13,9.1,0,7.8,16.9,180125.20112810482,51672.79310937115
131319504022054,0,0,0,0,6,4.2,0,3.6,7.8,154055.03816757168,7923.014096735186
131319504022002,34,34,0,0,4,26.6,40.8,19.4,86.8,136176.2555314363,8400.84992142195
131319503003042,0,0,0,0,2,1.4,0,1.2,2.6,133532.1631442336,3584.173041104908
132759603001072,0,0,0,0,4,2.8,0,2.4,5.2,118706.72430164192,897.7748471601778
132759608003023,0,0,0,0,14,9.8,0,8.4,18.2,176345.56591805987,33037.96145110472
132759608004016,7,2,0,5,8,24.5,8.4,12.8,45.7,174706.83725240701,33059.212473866704
132759611002008,0,0,0,0,4,2.8,0,2.4,5.2,149136.44832241515,60.78525145782457
132759611002042,2,0,1,1,7,16.8,2.4,10.3,29.5,134433.19934083553,941.2678485745361
132759611002036,0,0,0,0,3,2.1,0,1.8,3.9,139551.67313478488,900.0121052908287
