id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060450117001030,0,0,0,0,1,0.7,0,0.6,1.3,121648.82447317643,135.54980826686216
060450101001098,0,0,0,0,2,1.4,0,1.2,2.6,3886.2179214152025,1.9997868717790992
060450102004012,0,0,0,0,3,2.1,0,1.8,3.9,6596.0667619007245,4.1966864788215945
060450103001007,14,4,0,10,157,147.7,16.8,110.2,274.7,48138.51385976317,312.4970769512588
060450116001047,3,0,0,3,5,14,3.6,7.2,24.8,136068.0635518561,48436.80871858707
060450115012001,0,0,0,0,34,23.8,0,20.4,44.2,135451.6295285186,14375.375338448626
060450109002040,0,0,0,0,1,0.7,0,0.6,1.3,143430.24628716137,935.7512243922826
060450108022025,1,1,0,0,41,29.4,1.2,25.1,55.7,30758.094902893736,81.45077096911098
060450108011070,0,0,0,0,5,3.5,0,3,6.5,113266.72361677594,56.32765490959255
060450108021043,0,0,0,0,2,1.4,0,1.2,2.6,98091.6308513397,3.8443260127557313
060450106023014,0,0,0,0,16,11.2,0,9.6,20.8,27222.602198629957,215.6480519398613
060450106021051,0,0,0,0,5,3.5,0,3,6.5,12850.189333949278,5.998855478844187
060450116003009,139,24,11,104,14,483,166.8,217.7,867.5,136867.92582576675,29697.42186377438
060450102002263,0,0,0,0,9,6.3,0,5.4,11.7,4381.940235724578,179.94139646813684
060450110033020,3,3,0,0,45,33.6,3.6,28.5,65.7,50553.65482505222,71.239042327088
060450106021054,0,0,0,0,41,28.7,0,24.6,53.3,5721.730506274114,52.998757690414216
060450111022064,0,0,0,0,3,2.1,0,1.8,3.9,10048.880003308914,2343.142453588257
060450108022027,0,0,0,0,5,3.5,0,3,6.5,82134.34160312446,36.12298804524704
060450109003038,40,23,16,1,22,169.4,48,101.3,318.7,141916.12396545248,6929.029355152048
060450109003043,0,0,0,0,18,12.6,0,10.8,23.4,137807.84232734196,2959.1433378669003
060450111023053,0,0,0,0,4,2.8,0,2.4,5.2,8857.041073743769,4.999998857779911
060450102002104,0,0,0,0,1,0.7,0,0.6,1.3,4887.668597221032,280.8755313065996
060450117001004,0,0,0,0,9,6.3,0,5.4,11.7,135275.7007310623,15.655900733005929
060450111023066,10,6,0,4,63,62.3,12,46.4,120.7,8631.599413300377,123.62689311043397
060450108021026,0,0,0,0,2,1.4,0,1.2,2.6,67592.86444131593,224.91933213579117
060450108011030,0,0,0,0,2,1.4,0,1.2,2.6,38077.317399496234,23.20233561258956
060450106022002,0,0,0,0,2,1.4,0,1.2,2.6,18854.189138445327,13.280137845851128
060450102004063,2,0,0,2,16,18.2,2.4,12.4,33,261.6074800164573,33.33813605426983
060450110011039,0,0,0,0,1,0.7,0,0.6,1.3,5548.912285716249,163.49423962866112
060450118001045,1,1,0,0,3,2.8,1.2,2.3,6.3,49556.3902249045,20.699021910903546
060450111021079,32,32,0,0,6,26.6,38.4,19.6,84.6,6183.699032241551,570.8333570548243
060450102002230,0,0,0,0,2,1.4,0,1.2,2.6,3309.457426543073,6.912104459895508
060450115013020,24,0,0,24,96,151.2,28.8,91.2,271.2,137168.9297111516,27229.98196471628
060450102003000,2,0,0,2,1,7.7,2.4,3.4,13.5,13932.005445491639,3101.1129077177134
060450110011052,0,0,0,0,11,7.7,0,6.6,14.3,8135.836330499033,13.999541335821702
060450105001016,4,0,0,4,42,43.4,4.8,30.8,79,51403.220043200105,21437.049032764004
060450111023025,31,17,3,11,4,78.4,37.2,40.4,156,9714.47903115922,245.6034218587454
060450101003028,0,0,0,0,5,3.5,0,3,6.5,4649.256929664003,373.84639549035114
060450115023006,11,10,0,1,12,18.9,13.2,13.6,45.7,136648.33471652947,21827.01457921703
060450114005011,0,0,0,0,28,19.6,0,16.8,36.4,130662.29874479055,23593.25616905063
060450102003020,0,0,0,0,6,4.2,0,3.6,7.8,8930.208688433318,10.099934816454628
060450106022019,0,0,0,0,17,11.9,0,10.2,22.1,34623.30648602886,610.2679251426533
060450118002020,6,6,0,0,5,7.7,7.2,6,20.9,115281.21155459373,124.04540011377193
060450103005089,0,0,0,0,7,4.9,0,4.2,9.1,47156.761625286454,9.045173416031208
060450108013037,23,16,0,7,14,45.5,27.6,26.2,99.3,141513.14144462446,107.36811521886543
060450109002022,45,0,0,45,1,158.2,54,63.6,275.8,144204.15032552942,1774.291291298409
060450108021012,0,0,0,0,5,3.5,0,3,6.5,2682.8106021541753,5.9987851901362585
060450110033005,11,4,4,3,85,106.4,13.2,76,195.6,50888.648251955456,363.0621836810428
060450113003005,0,0,0,0,5,3.5,0,3,6.5,118863.94624852994,231.33713088143935
060450115013009,255,3,211,41,26,1936.2,306,1066.2,3308.4,139782.92130492537,26543.979862986722
060450110032028,0,0,0,0,3,2.1,0,1.8,3.9,51906.063947914205,235.63477358849104
060450112001104,0,0,0,0,1,0.7,0,0.6,1.3,6648.828381688872,102.18606187658074
060450112001098,0,0,0,0,2,1.4,0,1.2,2.6,6548.2788696327125,61.00157361269852
060450103004006,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,50088.849534225235,347.8191561201829
060450106011014,1,0,0,1,13,12.6,1.2,9.2,23,25261.67834235539,46.759992243573826
060450110033009,6,0,0,6,25,38.5,7.2,23.4,69.1,51624.71458868192,420.8941593177591
060450108013024,0,0,0,0,3,2.1,0,1.8,3.9,121029.34459794479,18.43831717696046
060450110041040,0,0,0,0,2,1.4,0,1.2,2.6,51260.34688106577,5838.480879435481
060450104003006,0,0,0,0,15,10.5,0,9,19.5,51171.32287674435,17969.37487450399
060450102004000,0,0,0,0,6,4.2,0,3.6,7.8,1421.0933325693952,6.2673945131872655
060450117002019,11,0,0,11,16,49.7,13.2,25,87.9,124699.99792745001,125.96436370466283
060450103003010,29,17,0,12,137,149.8,34.8,107.5,292.1,49664.107098896304,325.75712798473614
060450102004105,0,0,0,0,1,0.7,0,0.6,1.3,41.759139527076066,0.9998297089226906
060450107004013,3,0,0,3,19,23.8,3.6,15.6,43,96967.59427721293,13450.418330114779
