id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060952529092014,0,0,0,0,38,26.6,0,22.8,49.4,764602.5803301013,1043.0728264306267
060952521032000,0,0,0,0,47,32.9,0,28.2,61.1,757336.5854450689,3181.8065276896045
060952516001005,0,0,0,0,20,14,0,12,26,771809.0875095617,56069.87976691152
060952523171009,0,0,0,0,13,9.1,0,7.8,16.9,840769.4123476308,1702.4834477122288
060952523102006,59,4,0,55,13,204.4,70.8,86.8,362,823567.9933800953,715.3596231808389
060952527042002,2,0,0,2,62,50.4,2.4,39.99999999999999,92.8,979175.8087546944,18375.72699365644
060952521041023,0,0,0,0,11,7.7,0,6.6,14.3,727680.2867452919,4452.678208746417
060952523133009,0,0,0,0,21,14.7,0,12.6,27.3,985986.3622595482,4886.946284442267
060952513003013,0,0,0,0,15,10.5,0,9,19.5,812460.1103921895,36179.30969803188
060952512001027,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,807271.8225383178,31933.719055205216
060952508014031,0,0,0,0,8,5.6,0,4.8,10.4,664791.161171929,5269.029988699669
060952508014105,2,0,0,2,2,8.4,2.4,4,14.8,715815.2722193163,6569.220826207351
060952534042000,59,0,46,13,53,469,70.8,266.2,806,626192.1845464092,16531.860588955107
060952535022015,0,0,0,0,17,11.9,0,10.2,22.1,124357.77541837638,8477.800122762865
060952502003005,0,0,0,0,24,16.8,0,14.4,31.2,800088.8425826201,19556.607474520984
060952501062015,9,0,0,9,29,51.8,10.8,30,92.6,841974.9452014962,3404.0271384730763
060952527052002,97,0,0,97,56,378.7,116.4,169.4,664.5,910748.1102000416,6910.684494252055
060952525021031,0,0,0,0,23,16.1,0,13.8,29.9,1028501.7200897795,70002.28881674977
060952522033022,4,1,0,3,22,26.6,4.8,17.9,49.3,988652.190599756,8832.383531268399
060952534041001,0,0,0,0,16,11.2,0,9.6,20.8,674831.7410663428,12356.724889213861
060952521072003,1,0,0,1,43,33.6,1.2,27.2,62,644538.154041676,8707.315482242515
060952528021016,0,0,0,0,4,2.8,0,2.4,5.2,812988.0079988134,4110.361223765549
060952529151011,0,0,0,0,16,11.2,0,9.6,20.8,756423.4332135244,4458.497907781067
060952529121011,0,0,0,0,21,14.7,0,12.6,27.3,812195.902356836,49733.62687539786
060952522052012,1,0,0,1,19,16.8,1.2,12.8,30.8,907777.196335706,2925.726539608001
060952522042026,14,4,0,10,36,63,16.8,37.6,117.4,975530.7689456651,26658.791547950506
060952526081001,2,0,0,2,114,86.8,2.4,71.2,160.4,988681.7706309862,20608.723137612375
060952529103004,1,0,0,1,34,27.3,1.2,21.8,50.3,756787.4310457789,8468.072018716639
060952515002005,3,0,0,3,11,18.2,3.6,10.8,32.6,796550.4421311839,48321.79276525544
060952516002023,2,0,0,2,16,18.2,2.4,12.4,33,761629.8390089751,43810.602095299546
060952511001002,0,0,0,0,25,17.5,0,15,32.5,797215.5150285832,16960.595969304355
060952523162001,1,0,0,1,60,45.5,1.2,37.4,84.1,982910.4815296456,12437.248923509514
060952503002004,1,0,0,1,7,8.4,1.2,5.6,15.2,841280.539887458,23202.611061570195
060952532082012,0,0,0,0,16,11.2,0,9.6,20.8,881817.6022768877,5954.39304644031
060952528011010,63,27,0,36,20,158.9,75.6,75.9,310.4,881257.0697523056,3840.8319063629083
060952515003013,2,0,0,2,40,35,2.4,26.8,64.2,775139.3367744749,48839.919271504026
060952501062001,3,0,0,3,32,32.9,3.6,23.4,59.9,829405.9792952157,3122.90616587801
060952512001030,1,0,0,1,12,11.9,1.2,8.6,21.7,834378.8640696281,33307.692903502015
060952512001008,0,0,0,0,10,7,0,6,13,858661.805068574,29646.316206471747
060952507012003,13,0,0,13,23,61.6,15.6,32,109.2,787014.24677272,15655.93434700695
060952505012005,3,2,0,1,68,52.5,3.6,43.2,99.3,779249.6573936178,8021.073220742688
060952511002024,0,0,0,0,18,12.6,0,10.8,23.4,804135.2476462551,27367.643597061848
060952529124014,0,0,0,0,1,0.7,0,0.6,1.3,875114.2423347086,21830.292877941913
060952529042032,0,0,0,0,3,2.1,0,1.8,3.9,797567.2060830022,202.06964888644922
060952522051027,7,0,0,7,28,44.1,8.4,26.6,79.1,909825.1721109475,3059.0420563303105
060952512002011,10,0,0,10,8,40.6,12,18.8,71.4,808715.4136756088,36510.32016335834
060952521081010,1,0,0,1,160,115.5,1.2,97.4,214.1,673085.2334112034,13180.454747656519
060952532033014,6,6,0,0,31,25.9,7.2,21.6,54.7,923774.6811442787,37901.7632067743
060952535021001,8,1,0,7,35,49.7,9.6,31.3,90.6,94117.05656415026,1760.1737262328306
060952521042009,0,0,0,0,18,12.6,0,10.8,23.4,636208.3089875343,1974.9458998585324
060952535012045,0,0,0,0,13,9.1,0,7.8,16.9,171905.53864609572,3530.9482375875236
060952534024012,5,0,0,5,88,79.1,6,59.8,144.9,562594.6503622519,3461.399885372908
060952528021011,0,0,0,0,1,0.7,0,0.6,1.3,731579.5514124729,2197.255672889599
060952535013233,0,0,0,0,3,2.1,0,1.8,3.9,228.6888213284763,8.179179677865987
060952535013219,0,0,0,0,1,0.7,0,0.6,1.3,238498.61217930788,5.388079927953159
060952529112000,611,4,375,232,2,3966.2,733.2,2090.5,6789.9,832879.0607890482,13401.921788663554
060952529081007,3,0,0,3,53,47.6,3.6,36,87.2,808282.4351051963,11689.328358470992
060952514003013,0,0,0,0,9,6.3,0,5.4,11.7,813349.4387195313,50971.91546971336
060952533002133,0,0,0,0,1,0.7,0,0.6,1.3,509025.51391929225,241.08617016601272
060952535012005,0,0,0,0,5,3.5,0,3,6.5,169039.89259235977,2697.1267071207235
060952531072005,4,1,0,3,29,31.5,4.8,22.1,58.4,866140.1744720502,21850.61113143825
060952534042014,0,0,0,0,9,6.3,0,5.4,11.7,631888.736453008,18201.574396522607
060952519033010,4,0,0,4,27,32.9,4.8,21.8,59.5,868128.0913974843,6655.98593888022
060952518022002,355,166,110,79,2,1318.1,426,711.8,2455.9,816245.5220427836,42943.74071286939
060952531074006,28,0,6,22,124,214.2,33.6,133.4,381.2,896306.8568847973,33291.809290280355
060952523132012,3,0,0,3,19,23.8,3.6,15.6,43,1009909.0519643334,23378.84599245915
060952522033008,16,0,0,16,2,57.4,19.2,23.6,100.2,547502.998178001,253.67935271823092
060952535012026,0,0,0,0,58,40.6,0,34.8,75.4,147942.31282091342,2377.7412470039203
060952527022024,0,0,0,0,16,11.2,0,9.6,20.8,974911.0834970326,38026.19083514428
060952508014115,0,0,0,0,6,4.2,0,3.6,7.8,701263.2982529032,5680.280528537072
060952523061004,1,0,0,1,43,33.6,1.2,27.2,62,1019456.4437936309,18418.986558003486
060952527051001,6,0,0,6,28,40.6,7.2,25.2,73,934431.3468492633,6230.562162563918
060952522053004,30,3,0,27,23,112.7,36,53.1,201.8,987826.0817608518,9052.572075453947
060952513001003,0,0,0,0,13,9.1,0,7.8,16.9,841911.565314493,25086.60626483645
060952535013095,0,0,0,0,1,0.7,0,0.6,1.3,6616.493993414424,1.0209133662357832
060952523162008,2,0,0,2,26,25.2,2.4,18.4,46,990454.3146666171,12464.60341588672
060952527032017,0,0,0,0,16,11.2,0,9.6,20.8,977371.9471527903,18158.70730204036
060952526061005,3,0,0,3,52,46.9,3.6,35.4,85.9,980665.6540999303,25477.022070181814
060952511001013,4,0,0,4,26,32.2,4.8,21.2,58.2,805299.1987643717,19132.608271159632
060952516002029,1,0,0,1,18,16.1,1.2,12.2,29.5,752649.487478312,30878.015089227632
060952523172050,0,0,0,0,9,6.3,0,5.4,11.7,831116.9561673057,1629.7151154647088
060952523173008,7,0,0,7,10,31.5,8.4,15.8,55.7,877375.9406921439,6223.743010685554
060952523153010,2,0,0,2,60,49,2.4,38.8,90.2,929893.4981109055,5589.596768669563
060952520004018,0,0,0,0,17,11.9,0,10.2,22.1,723781.7902244426,5874.373225578927
060952520001000,294,0,6,288,37,1084.3,352.8,453.6,1890.7,696255.0000300079,24570.980529612043
060952529114008,0,0,0,0,35,24.5,0,21,45.5,818867.2842431973,19397.482191036474
060952505022002,0,0,0,0,10,7,0,6,13,734654.4658633888,7201.385614646864
060952521063003,203,0,80,123,221,1257.2,243.6,680.8,2181.6,686079.6225109779,9110.82811048594
060952522052009,1,0,0,1,24,20.3,1.2,15.8,37.3,901635.0731334924,2916.746660286832
060952521021053,0,0,0,0,12,8.4,0,7.2,15.6,761916.293680179,23197.095275534724
