id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
061070009023016,23,23,0,0,10,23.1,27.6,17.5,68.2,408942.0341208547,68.6761373927996
061070008023006,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,396841.7857075883,72.4418934175722
061070029031013,0,0,0,0,14,9.8,0,8.4,18.2,743109.2043402533,7870.985462689775
061070006004085,0,0,0,0,8,5.6,0,4.8,10.4,233672.64397633425,12.528935753678233
061070009013012,10,0,0,10,35,59.5,12,35,106.5,707595.7178061033,2052.9549811980464
061070010122012,33,8,0,25,24,109.9,39.6,53.4,202.9,671729.9473470147,4681.5076568546065
061070030012016,1,0,0,1,11,11.2,1.2,8,20.4,665874.2568529024,15255.165305524522
061070033022039,0,0,0,0,9,6.3,0,5.4,11.7,234441.20019613777,14.960031889707821
061070034012023,4,0,0,4,3,16.1,4.8,7.4,28.3,175372.31355095032,107.93683330316195
061070034012000,0,0,0,0,4,2.8,0,2.4,5.2,236612.49985992222,17.530758349191593
061070005021019,0,0,0,0,2,1.4,0,1.2,2.6,272798.82997801824,2371.2220592690123
061070020043003,0,0,0,0,31,21.7,0,18.6,40.3,689692.2915742756,20112.51125270413
061070010121000,1,0,0,1,24,20.3,1.2,15.8,37.3,663459.3273848159,5532.930011317941
061070024021032,45,45,0,0,35,56,54,43.5,153.5,238787.12421980078,153.7979697281591
061070016014013,0,0,0,0,11,7.7,0,6.6,14.3,711535.117719344,10278.75347190856
061070015012000,1292,0,0,1292,68,4569.6,1550.4,1849.6,7969.6,728853.4293727874,18866.15758113537
061070021001023,0,0,0,0,4,2.8,0,2.4,5.2,126780.79887903285,43.231544311585644
061070021001024,11,0,0,11,1,39.2,13.2,15.999999999999998,68.4,398889.06554417807,109.31933528715261
061070024032008,0,0,0,0,13,9.1,0,7.8,16.9,656318.0777126998,849.3209450250805
061070017052004,0,0,0,0,25,17.5,0,15,32.5,678952.0070321932,2799.654904404705
061070030021016,0,0,0,0,45,31.5,0,27,58.5,600417.2143668782,591.7495807706933
061070017032010,19,5,11,3,131,198.1,22.8,137,357.9,693688.2698744015,9254.477072405723
061070029043012,1,0,0,1,50,38.5,1.2,31.4,71.1,659845.9993109102,4391.142679534945
061070010072008,0,0,0,0,27,18.9,0,16.2,35.1,681214.6448106675,10921.773769533645
061070023041002,7,5,0,2,6,14.7,8.4,8.9,32,721439.5268456449,39528.6097289788
061070003033027,0,0,0,0,8,5.6,0,4.8,10.4,215986.87506976043,3684.441822738581
061070029011035,0,0,0,0,8,5.6,0,4.8,10.4,715518.1487386622,26088.705623151538
