id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
483090037031004,0,0,0,0,10,7,0,6,13,756778.7269664721,3159.3655624472426
483090037102003,0,0,0,0,20,14,0,12,26,720411.0412946412,4626.1187540558385
483090036012034,0,0,0,0,3,2.1,0,1.8,3.9,69993.34015543989,21.98801228776455
483090025013001,9,9,0,0,34,30.1,10.8,24.9,65.8,751017.0396615036,32127.469464859456
483090037102022,6,0,0,6,68,68.6,7.2,49.2,125,730681.5867419643,2387.7645322094313
483090005981042,0,0,0,0,3,2.1,0,1.8,3.9,766941.032390743,20528.275666467325
483090025042017,0,0,0,0,16,11.2,0,9.6,20.8,720122.5916714063,2687.639750146111
483090016001000,49,16,0,33,210,273.7,58.8,180.2,512.7,717270.877800215,1192.3764274459747
483090034011029,0,0,0,0,4,2.8,0,2.4,5.2,610042.1126153406,241.50940308271387
483090011002000,0,0,0,0,37,25.9,0,22.2,48.1,740132.9988381508,7232.462903279119
483090029002021,51,0,0,51,166,294.7,61.2,171,526.9,708425.0305170019,1797.8921884403655
483090024983014,0,0,0,0,22,15.4,0,13.2,28.6,751121.6796333196,33363.12157362287
483090041023019,12,2,0,10,13,45.5,14.4,22.8,82.7,323733.8573280898,464.45986385297476
483090040003061,0,0,0,0,16,11.2,0,9.6,20.8,22434.270935439497,27.28800599101809
483090039023050,0,0,0,0,18,12.6,0,10.8,23.4,565468.1136762418,5328.160744310535
483090038015013,12,0,8,4,20,95.2,14.4,55.2,164.8,674804.06138736,169.97563359573024
483090029001034,22,15,0,7,11,42.7,26.4,23.9,93,649084.2225116777,582.1672390098355
483090025033034,0,0,0,0,8,5.6,0,4.8,10.4,741114.0859766776,5604.564044169375
483090018002005,0,0,0,0,1,0.7,0,0.6,1.3,757948.6513160488,3062.6975638803833
480359501003028,0,0,0,0,1,0.7,0,0.6,1.3,10679.37657430234,910.1698771442478
480359506002046,0,0,0,0,5,3.5,0,3,6.5,9700.03244674092,592.1982083626223
483090017001011,0,0,0,0,12,8.4,0,7.2,15.6,722121.3486613306,884.5345054948951
483090036021083,0,0,0,0,9,6.3,0,5.4,11.7,217598.47092260272,13.533801393586174
483090015001001,0,0,0,0,4,2.8,0,2.4,5.2,758302.5626796985,6292.008545921966
483090030003013,0,0,0,0,1,0.7,0,0.6,1.3,749865.4182852068,3348.3728455694027
483090037121019,2,0,0,2,18,19.6,2.4,13.6,35.6,739430.3251752999,10801.230461070414
483090040001072,0,0,0,0,1,0.7,0,0.6,1.3,679951.7605522719,651.4848821292175
483090037112010,0,0,0,0,75,52.5,0,45,97.5,728282.7361342502,19779.413478771286
480359506001031,0,0,0,0,1,0.7,0,0.6,1.3,9662.648792340256,24.07484368543607
480359506001030,0,0,0,0,18,12.6,0,10.8,23.4,8977.422836701897,24.039792919180943
