id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
530179508003013,216,0,186,30,3,1669.5,259.2,918,2846.7,256208.92657994138,31442.26358935452
530179506004009,0,0,0,0,23,16.1,0,13.8,29.9,261598.9944377133,11586.789969001107
530179504002004,0,0,0,0,17,11.9,0,10.2,22.1,273563.6134829917,3264.180211715095
530179504003013,11,11,0,0,31,29.4,13.2,24.1,66.7,278428.0482090244,3001.9648255576817
530179504001021,1,0,0,1,26,21.7,1.2,17,39.9,268795.8612843797,1852.0435179624496
530179502001386,0,0,0,0,1,0.7,0,0.6,1.3,214.98946829457387,31.02393586612798
530179501021150,0,0,0,0,3,2.1,0,1.8,3.9,834.0100114739042,2.999502677099155
530179503003010,1,0,0,1,15,14,1.2,10.4,25.6,250023.141019428,693.4550973867127
530179504001002,20,0,20,0,2,169.4,24,95.2,288.6,282319.67995805317,2078.3969650836225
530079610013001,3,0,0,3,16,21.7,3.6,13.8,39.1,270660.7739401105,64005.63965079375
530079607003008,0,0,0,0,1,0.7,0,0.6,1.3,253854.02825817902,1099.1487041566215
530079602022037,0,0,0,0,3,2.1,0,1.8,3.9,3200.3819385199495,12.119104264903621
530079611013000,6,4,0,2,65,55.3,7.2,43.8,106.3,266237.1558594706,54832.16052445693
530079603012006,0,0,0,0,18,12.6,0,10.8,23.4,37150.12524327825,10654.06940806909
530179502001483,0,0,0,0,1,0.7,0,0.6,1.3,382.8725591579367,12.43609100049616
530079602021008,0,0,0,0,2,1.4,0,1.2,2.6,26990.03602353244,184.64100733213485
530079611022021,8,0,0,8,17,39.9,9.6,21.4,70.9,259012.9586206072,22594.20646455841
530079604004011,3,3,0,0,13,11.2,3.6,9.3,24.1,25937.72919814136,124.56945466373493
530079604001039,25,25,0,0,32,39.9,30,31.7,101.6,30378.6996772291,613.2322854856475
530179501014047,0,0,0,0,1,0.7,0,0.6,1.3,50168.487204739075,1.811831817993466
530179501023013,0,0,0,0,5,3.5,0,3,6.5,3012.8336928856293,1662.9537286254715
530179503004034,0,0,0,0,3,2.1,0,1.8,3.9,253133.6339103308,488.8940042713907
530179502001275,0,0,0,0,1,0.7,0,0.6,1.3,2559.954886878045,0.9975252630014987
530179503004036,0,0,0,0,6,4.2,0,3.6,7.8,253230.8438507706,975.8934230367632
530179503002027,2,2,0,0,45,32.9,2.4,28,63.3,253423.68273910254,973.4791769998253
530079612002056,0,0,0,0,5,3.5,0,3,6.5,231375.34532774892,35.78272805627165
530079605011018,0,0,0,0,5,3.5,0,3,6.5,94721.64489555368,166.28843578122587
530079602013034,1,0,0,1,28,23.1,1.2,18.2,42.5,107589.07924296624,16521.579516517093
530079605012024,4,4,0,0,3,4.9,4.8,3.8,13.5,174580.1474104955,312.7810585363572
530179504004013,16,5,0,11,47,74.9,19.2,46.1,140.2,260646.38242066637,1054.0133841770041
530079612001003,14,14,0,0,1,10.5,16.8,7.6,34.9,249040.2746886966,178.62037169927785
530079605022035,10,5,5,0,22,60.9,12,39.2,112.1,205238.78727622458,526.2947669027407
530079605023015,0,0,0,0,9,6.3,0,5.4,11.7,221794.88546911455,1700.0723799395453
530079602031101,15,8,0,7,23,46.2,18,27.6,91.8,9600.972810230483,93.99439631406523
530079605011034,27,27,0,0,9,25.2,32.4,18.9,76.5,134002.66151082364,185.91103491682836
530079611022023,32,23,0,9,93,112.7,38.4,79.9,231,259940.45670792527,11176.028326543516
530079605023020,0,0,0,0,8,5.6,0,4.8,10.4,236978.4599079583,234.87920685791534
530079611021007,0,0,0,0,20,14,0,12,26,267514.58928120806,36504.977593885334
530079605021013,0,0,0,0,17,11.9,0,10.2,22.1,56768.25664290566,21.99661416199445
530079602011003,30,0,0,30,2,106.4,36,43.2,185.6,139186.28692813605,17487.46625825147
530079613041002,0,0,0,0,20,14,0,12,26,271558.91153614194,66697.67120778846
530079603023067,0,0,0,0,1,0.7,0,0.6,1.3,36216.33895153309,159.17018831465847
530079602021005,0,0,0,0,19,13.3,0,11.4,24.7,11979.198685688232,35.54242954785657
530179504003005,0,0,0,0,15,10.5,0,9,19.5,278866.71786696266,2665.0741252623548
530179508003053,0,0,0,0,51,35.7,0,30.6,66.3,250855.4594859805,2394.2781242997717
530179503001001,0,0,0,0,4,2.8,0,2.4,5.2,213335.2793133099,4.999977873224007
530179503001047,3,3,0,0,10,9.1,3.6,7.5,20.2,279331.0244612517,843.3428543346948
530179502001486,0,0,0,0,3,2.1,0,1.8,3.9,379.04651266945086,10.709084921259102
530179507002014,0,0,0,0,18,12.6,0,10.8,23.4,257991.97730315282,38064.460662872705
530179503004013,78,76,0,2,22,75.6,93.6,54,223.2,235985.71648225698,224.62715925490627
530079612002007,60,58,0,2,101,118.3,72,92.4,282.7,228543.10084745905,282.02627904416494
530179501021200,0,0,0,0,1,0.7,0,0.6,1.3,4650.0334424359935,0.9998798694651303
530079608042035,0,0,0,0,8,5.6,0,4.8,10.4,273419.26178138924,27739.919985011395
530079605022006,8,0,0,8,5,31.5,9.6,14.2,55.3,193759.71600141368,471.46214380686416
530079603012010,0,0,0,0,19,13.3,0,11.4,24.7,37917.10913888526,11353.009054734699
530079602031071,0,0,0,0,7,4.9,0,4.2,9.1,11496.9509326478,37.36399945521106
530179503003018,3,1,0,2,21,22.4,3.6,15.9,41.9,243164.57275990062,511.19895879290726
530179504002010,0,0,0,0,14,9.8,0,8.4,18.2,269749.1352977399,2075.5427854432533
530179507001013,4,1,0,3,49,45.5,4.8,34.1,84.4,260273.79147841077,36132.3737156398
530179503001071,0,0,0,0,6,4.2,0,3.6,7.8,250567.68112132218,1756.467434648798
530179501021260,0,0,0,0,4,2.8,0,2.4,5.2,850.7384195664549,668.5760111850451
530079602011013,0,0,0,0,13,9.1,0,7.8,16.9,93902.15722504523,6852.105864785705
530079606003010,6,0,0,6,3,23.1,7.2,10.2,40.5,262842.79436932714,7669.212185491037
530079606001006,0,0,0,0,14,9.8,0,8.4,18.2,274380.52489278297,8603.803048418422
530079601001028,0,0,0,0,15,10.5,0,9,19.5,142637.60265247535,937.7094188597603
530079601001037,0,0,0,0,13,9.1,0,7.8,16.9,160311.97145065747,729.9309268574552
530079602031147,0,0,0,0,1,0.7,0,0.6,1.3,130.37768930554788,0.9998712132237012
530079602031067,0,0,0,0,13,9.1,0,7.8,16.9,16009.317540525146,73.29713732342317
530079606001017,15,0,0,15,23,68.6,18,34.8,121.4,272891.7755040214,8784.590291242039
530079606001007,0,0,0,0,18,12.6,0,10.8,23.4,272620.1237508046,8663.601400935828
530079603021018,457,108,0,349,1,1297.8,548.4,543.2,2389.4,38294.11701104484,14542.87449110137
530079603032013,0,0,0,0,23,16.1,0,13.8,29.9,37640.68247983349,12956.44332144855
530079603023049,0,0,0,0,1,0.7,0,0.6,1.3,35172.59053507977,3.1845379863718755
530079610024017,47,42,0,5,1,47.6,56.4,28.6,132.6,268846.02426434855,70005.35885123373
530079610011000,30,0,21,9,24,224.7,36,125.7,386.4,268019.39302969124,64000.93931097334
530079613032009,7,3,0,4,15,26.6,8.4,16.1,51.1,263222.6278365856,10350.904338336948
530079602022107,0,0,0,0,5,3.5,0,3,6.5,89672.15981851291,104.09344797499823
530079608012026,0,0,0,0,13,9.1,0,7.8,16.9,259711.04258525415,1725.071645705464
530079608012022,4,4,0,0,31,24.5,4.8,20.6,49.9,267469.38279985107,1760.1244680112795
530079608041022,4,4,0,0,48,36.4,4.8,30.8,71.99999999999999,271062.3357186829,18919.06698042141
530079611012024,0,0,0,0,11,7.7,0,6.6,14.3,266098.41395012394,35530.28153167855
530079608032005,61,14,0,47,13,183.4,73.2,80.6,337.2,275244.0252103984,76674.77062895896
530079608011015,0,0,0,0,9,6.3,0,5.4,11.7,269808.3227533208,5162.74716270051
530079610024022,7,7,0,0,38,31.5,8.4,26.3,66.2,270587.06774314767,71014.80339700174
530079602031191,0,0,0,0,2,1.4,0,1.2,2.6,17418.275922528414,56.08321598405928
530179502001366,0,0,0,0,3,2.1,0,1.8,3.9,75685.22842319179,4.743613263227116
530179508003003,2,1,1,0,134,102.9,2.4,85.6,190.9,252822.71734561727,4130.107914607698
530179501023009,0,0,0,0,2,1.4,0,1.2,2.6,3019.3422066668604,1578.827287008416
530179503005016,0,0,0,0,28,19.6,0,16.8,36.4,235188.41283874298,1018.9779005872058
530179501012077,0,0,0,0,11,7.7,0,6.6,14.3,284.18965116616215,13.997184110258281
530179503003038,0,0,0,0,8,5.6,0,4.8,10.4,246396.62043577063,1195.4504365996306
530179503004050,0,0,0,0,1,0.7,0,0.6,1.3,233342.3376448163,982.1266671736932
530179504002001,4,0,0,4,33,37.1,4.8,25.4,67.3,272574.0590303216,2255.8462408121422
530179502001311,1,1,0,0,15,11.2,1.2,9.5,21.9,0,0
530179503002028,0,0,0,0,14,9.8,0,8.4,18.2,251758.71633380966,1208.2707752112185
530079602013016,0,0,0,0,2,1.4,0,1.2,2.6,128166.60152290437,16962.516139393167
530079605012046,5,0,0,5,10,24.5,6,13,43.5,239404.16939090958,216.60279786590672
530079604002002,0,0,0,0,2,1.4,0,1.2,2.6,23062.598812610337,19.19764510333632
530079603013009,0,0,0,0,19,13.3,0,11.4,24.7,38064.91276298615,592.735246389987
530079604002017,0,0,0,0,10,7,0,6,13,29406.658571283195,252.48329186700147
530179501021338,0,0,0,0,4,2.8,0,2.4,5.2,465.9912673464802,403.6203633785948
530179503002008,0,0,0,0,4,2.8,0,2.4,5.2,252801.26107031683,2375.053878750163
530079605022014,0,0,0,0,4,2.8,0,2.4,5.2,199866.1304972272,175.65856945975491
530079605012036,5,1,0,4,17,26.6,6,16.3,48.9,208807.98996096785,101.73464028061309
530179505003006,29,0,0,29,53,138.6,34.8,72.4,245.8,261134.6493561975,43227.82533540032
530079603031025,3,2,0,1,42,34.3,3.6,27.6,65.5,33479.49902490752,338.01522789844984
530079606003028,0,0,0,0,36,25.2,0,21.6,46.8,250454.87173167712,5961.537771840426
530079602031182,0,0,0,0,1,0.7,0,0.6,1.3,20048.3671242733,71.9535944797805
530079613042007,2,0,0,2,5,10.5,2.4,5.8,18.7,261638.38203423363,4814.9396883871
530079602031037,0,0,0,0,5,3.5,0,3,6.5,473.3565386181855,5.999959307388418
530079613031010,6,4,0,2,40,37.8,7.2,28.8,73.8,264315.45575704525,32983.06812472011
530079610023012,8,0,0,8,21,42.7,9.6,23.8,76.1,273401.6179029437,79054.44989861338
530079611012015,28,28,0,0,8,25.2,33.6,18.8,77.6,266662.05629830784,34429.02983403292
530079608032021,0,0,0,0,57,39.9,0,34.2,74.1,272001.3239737124,62655.725671149274
530079612002026,0,0,0,0,3,2.1,0,1.8,3.9,259580.72496048515,1832.2585092260094
530079608042027,0,0,0,0,89,62.3,0,53.4,115.7,280209.25636624714,14892.700063497701
530079602013021,0,0,0,0,9,6.3,0,5.4,11.7,123149.19514965895,17232.709318500514
530179502001206,0,0,0,0,3,2.1,0,1.8,3.9,3962.022171625117,2.97768702789737
530179502001160,0,0,0,0,1,0.7,0,0.6,1.3,1377.7284342442879,0.9996846213524585
530179506003015,0,0,0,0,13,9.1,0,7.8,16.9,253930.5912571378,3621.972553266508
