id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
390130115001016,17,0,1,16,1,65.1,20.4,27.7,113.2,412054.20683529566,8485.637627976763
390130110005048,0,0,0,0,9,6.3,0,5.4,11.7,233288.73121882274,1915.1629204413864
390130110004007,0,0,0,0,6,4.2,0,3.6,7.8,155207.2634743755,72.05416270761428
390130114001004,0,0,0,0,52,36.4,0,31.2,67.6,369698.19556034927,110.21252964924358
390130110003063,0,0,0,0,5,3.5,0,3,6.5,240008.14050749177,1961.0535194489153
390130114001006,0,0,0,0,5,3.5,0,3,6.5,376190.33514964196,318.4638689305807
390130113003052,0,0,0,0,13,9.1,0,7.8,16.9,395044.52937921113,5537.958650520777
390130123002037,0,0,0,0,3,2.1,0,1.8,3.9,402582.6886011241,7302.060440376014
390130107001057,0,0,0,0,3,2.1,0,1.8,3.9,330223.41176443273,3528.021606136349
390130107002027,11,5,0,6,21,39.2,13.2,23.5,75.9,293094.2278103777,1206.0647244256006
390130102002004,0,0,0,0,23,16.1,0,13.8,29.9,407190.48346053826,1019.0902570778608
390130113002036,28,8,3,17,5,93.8,33.6,44.9,172.3,404588.57806764665,5285.874071079355
390130119002018,21,0,21,0,1,177.1,25.2,99.3,301.6,409165.65229366586,14371.120312975152
390130119003018,0,0,0,0,15,10.5,0,9,19.5,407732.3922956091,13816.31182987205
390130114001002,0,0,0,0,28,19.6,0,16.8,36.4,380151.4725370512,108.49489943329394
390130115001037,0,0,0,0,10,7,0,6,13,405732.17471798917,1859.8010701334972
390130123002012,8,0,0,8,7,32.9,9.6,15.4,57.9,399228.2869410543,14435.211750169125
390130114003024,0,0,0,0,20,14,0,12,26,253978.90382512484,32.80915864426666
390130109021003,0,0,0,0,1,0.7,0,0.6,1.3,202976.83707761377,14.696302499482188
390130123003003,14,0,0,14,1,49.7,16.8,20.2,86.7,404983.36541481054,19447.533592238095
