id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
371950006011014,0,0,0,0,11,7.7,0,6.6,14.3,230732.11737701538,10956.612228723245
371950017001016,2,1,1,0,2,10.5,2.4,6.4,19.3,228333.34770324276,1061.1794163817983
371950007012001,4,0,4,0,14,43.4,4.8,27.2,75.4,227134.25453017908,75.27229046694586
371950015022020,5,2,0,3,50,46.9,6,35.2,88.1,213845.8963487462,107.015205983637
371950015022004,73,71,0,2,26,74.9,87.6,53.9,216.4,217232.4338228634,301.08756979831196
371950009002021,0,0,0,0,1,0.7,0,0.6,1.3,228356.55542937986,858.2514655119187
371950015011035,1,1,0,0,65,46.2,1.2,39.5,86.9,225119.18546399244,500.32197297927803
371950015011022,14,0,0,14,11,56.7,16.8,26.2,99.7,217593.39609274198,217.01562891458804
371950003001002,4,0,0,4,33,37.1,4.8,25.4,67.3,231394.73962830743,18213.420320207348
371950010001023,0,0,0,0,5,3.5,0,3,6.5,219392.55701369853,1106.8162714756445
371950007011003,1,0,0,1,10,10.5,1.2,7.4,19.1,231507.9259330366,12382.615390917617
371950010001024,0,0,0,0,3,2.1,0,1.8,3.9,214052.80021257224,608.669200558147
371950010001002,0,0,0,0,9,6.3,0,5.4,11.7,225947.59487617994,41.28713408269009
371950003002004,0,0,0,0,9,6.3,0,5.4,11.7,231551.1579029877,13860.193249831476
371950015021033,0,0,0,0,14,9.8,0,8.4,18.2,228033.5593430942,53.72457734720474
371950013021049,0,0,0,0,11,7.7,0,6.6,14.3,227724.05612919937,2164.871572168075
371950008023006,0,0,0,0,15,10.5,0,9,19.5,229672.95222608847,3531.9856110550672
371950002001014,0,0,0,0,1,0.7,0,0.6,1.3,231692.7079062064,31138.070703352867
371950005012014,0,0,0,0,21,14.7,0,12.6,27.3,230752.89498516207,16967.24642002348
371950005011024,0,0,0,0,12,8.4,0,7.2,15.6,230710.42669744912,9491.797963081666
371950005012022,0,0,0,0,13,9.1,0,7.8,16.9,230711.33350161626,13984.841812501138
371950005011049,3,0,0,3,9,16.8,3.6,9.6,29.999999999999996,230744.31828670096,6638.703712434321
371950017001042,4,4,0,0,2,4.2,4.8,3.2,12.2,226040.05188527284,802.9500540106312
371950015021073,162,162,0,0,34,137.2,194.4,101.4,433,229048.5893763999,5580.180782172351
371950003002021,10,0,5,5,14,69.3,12,38.9,120.2,231485.1157191807,10486.375498656418
371950005011055,4,0,0,4,25,31.5,4.8,20.6,56.9,231320.44890133862,7142.569837434385
371950006012002,0,0,0,0,12,8.4,0,7.2,15.6,230533.2253779086,9716.309843721061
371950006011018,0,0,0,0,20,14,0,12,26,230854.32090724964,13571.416543150233
371950005022008,6,0,0,6,48,54.6,7.2,37.2,99,230491.6225169685,12508.880873951986
371950004022007,1,1,0,0,27,19.6,1.2,16.7,37.5,230238.4836947523,10420.807973400875
371950008012002,0,0,0,0,7,4.9,0,4.2,9.1,231448.7565287891,25517.75840739753
371950007024015,0,0,0,0,3,2.1,0,1.8,3.9,231551.61070415768,25959.927575565514
371950001004013,0,0,0,0,2,1.4,0,1.2,2.6,231583.1330160077,24874.744332937284
371950001001011,0,0,0,0,17,11.9,0,10.2,22.1,231061.73571363723,19638.64300118215
371950004013012,3,0,0,3,20,24.5,3.6,16.2,44.3,230858.19453009564,41327.72946609415
371950010001050,0,0,0,0,8,5.6,0,4.8,10.4,218347.95434139832,1112.909202865106
371950002001064,16,13,3,0,1,35,19.2,21.2,75.4,231587.56903683272,30016.151484823436
371950013022013,0,0,0,0,23,16.1,0,13.8,29.9,155819.0364849193,105.223638064041
371950013023010,2,2,0,0,23,17.5,2.4,14.8,34.7,113858.28953636302,34.03073029711694
371950015011009,25,0,0,25,17,99.4,30,45.2,174.6,225608.96423672105,1138.2042108967667
371950009002010,25,0,2,23,32,119.7,30,60.8,210.5,225422.4931044737,408.73460874939934
371950010001025,30,30,0,0,11,28.7,36,21.6,86.3,190011.36192874104,145.98345165090905
371950008012010,0,0,0,0,20,14,0,12,26,231115.87179384215,13641.72640928554
371950005011022,0,0,0,0,10,7,0,6,13,230944.07808905852,9647.83592615532
371950007022009,0,0,0,0,1,0.7,0,0.6,1.3,231692.91166806026,32087.206779871856
371950004021014,0,0,0,0,3,2.1,0,1.8,3.9,231244.05988449472,11062.311897515947
371950014021081,4,1,0,3,1,11.9,4.8,5.3,22,230439.17616408653,10331.409603128282
371950013021033,0,0,0,0,6,4.2,0,3.6,7.8,185598.69179726279,21.163333056607712
371950016003021,0,0,0,0,18,12.6,0,10.8,23.4,176733.77268174346,54.07377168650077
371950005012011,0,0,0,0,12,8.4,0,7.2,15.6,230873.0291896999,6709.7318799462955
371950004021034,13,0,5,8,1,70.7,15.6,35.3,121.6,231240.818109958,3654.3207102709703
371950017001002,14,0,14,0,62,161,16.8,103,280.8,222428.73430375042,296.641619188947
371950011001039,0,0,0,0,10,7,0,6,13,211183.2435111136,275.4006310803647
371950005023007,0,0,0,0,12,8.4,0,7.2,15.6,229843.44209398,8712.038968202603
371950007022016,0,0,0,0,12,8.4,0,7.2,15.6,231560.95791651277,25529.21039857501
371950013013039,1,0,0,1,3,5.6,1.2,3.2,10,226644.44420369682,1179.7465665369496
371950007023008,0,0,0,0,9,6.3,0,5.4,11.7,231481.15219072005,32358.877477062924
371950002001008,10,2,0,8,24,46.2,12,26.6,84.8,231828.32398513492,32243.265068307315
371950017001023,0,0,0,0,39,27.3,0,23.4,50.7,226957.48571623012,887.6589636711415
371950005023013,33,1,4,28,40,160.3,39.6,82.5,282.4,229695.49262665468,13268.221180691155
371950011001035,3,0,0,3,13,19.6,3.6,12,35.2,196196.61462631094,41.11738802200778
371950013012034,0,0,0,0,13,9.1,0,7.8,16.9,221133.98207993014,1533.5530533185613
371950005024002,0,0,0,0,94,65.8,0,56.4,122.2,229983.78762992783,6504.941215255742
371950017002044,0,0,0,0,7,4.9,0,4.2,9.1,226568.863251012,963.5278350137954
371950006011023,0,0,0,0,13,9.1,0,7.8,16.9,231060.0204157199,20616.90792669581
371950006011011,0,0,0,0,12,8.4,0,7.2,15.6,230458.69583040834,13656.463690255046
371950005023011,3,3,0,0,15,12.6,3.6,10.5,26.7,230198.99155057286,11298.185349376858
371950003002013,54,0,13,41,37,278.6,64.8,140.7,484.1,230900.31587774857,9742.92258867616
371950005011054,0,0,0,0,10,7,0,6,13,231246.4225986682,20665.267594443732
371950006022028,0,0,0,0,10,7,0,6,13,229124.77416873618,1389.4326113105508
371950001001002,5,0,0,5,3,19.6,6,8.8,34.4,231148.71528483756,14759.21567471892
371950017001022,0,0,0,0,25,17.5,0,15,32.5,227259.1848265462,956.6868473393124
371950015022039,25,3,0,22,27,98,30,48.5,176.5,215074.19987809562,182.1263760922619
371950013012038,0,0,0,0,20,14,0,12,26,221221.36820793754,1852.399739233334
371950013021035,0,0,0,0,3,2.1,0,1.8,3.9,222564.21674109678,41.474235837623205
371950006012010,5,0,0,5,35,42,6,28,76,230675.76160400375,8174.343129183714
371950004011004,80,0,15,65,75,406,96,206.5,708.5,231436.716067648,15008.162593242952
371950011002029,0,0,0,0,4,2.8,0,2.4,5.2,174846.31025781194,9.91383415939676
371950017001048,0,0,0,0,7,4.9,0,4.2,9.1,225236.09318773035,781.0813034211467
371950010001045,29,4,13,12,57,193.9,34.8,114.1,342.8,216658.95745891522,1134.2912326354965
371950008013001,0,0,0,0,26,18.2,0,15.6,33.8,231580.86171996503,14302.977931988671
371950009002034,0,0,0,0,1,0.7,0,0.6,1.3,225838.13787715943,798.7707494025278
371950014021029,10,0,0,10,37,60.9,12,36.2,109.1,228225.10711118102,1957.9034345884272
371950016002001,0,0,0,0,1,0.7,0,0.6,1.3,144577.59452580914,1.0927886885787534
371950003001016,0,0,0,0,2,1.4,0,1.2,2.6,231470.80213791106,17130.845955943332
371950004022040,0,0,0,0,52,36.4,0,31.2,67.6,230450.63595341283,9588.342222230305
371950017003019,0,0,0,0,12,8.4,0,7.2,15.6,203077.47038648836,45.51823967164196
371950015022014,1,0,0,1,33,26.6,1.2,21.2,49,176473.39935527983,57.90835376406174
371950008021027,0,0,0,0,9,6.3,0,5.4,11.7,231559.9378145285,6931.2180758149025
371950010001056,0,0,0,0,17,11.9,0,10.2,22.1,217742.23183572234,1154.7853457131168
371950008011007,0,0,0,0,12,8.4,0,7.2,15.6,231736.52320607344,22511.532777021694
