id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
470519607002099,0,0,0,0,2,1.4,0,1.2,2.6,14528.482934510928,80.78767201877038
470519601001100,0,0,0,0,1,0.7,0,0.6,1.3,18630.754711649923,133.31449163757918
470519606001079,0,0,0,0,21,14.7,0,12.6,27.3,81013.42209453789,855.3501359372773
470519604022030,0,0,0,0,4,2.8,0,2.4,5.2,77675.04390515371,415.4771018116702
470519606001006,0,0,0,0,1,0.7,0,0.6,1.3,78114.84106194958,59.68350096313155
470519604011054,0,0,0,0,6,4.2,0,3.6,7.8,82482.62632079516,5983.159126676196
470519604011045,0,0,0,0,7,4.9,0,4.2,9.1,82946.43901325997,10116.868818007415
470519604011079,0,0,0,0,18,12.6,0,10.8,23.4,82467.95120948744,6677.562201034985
470519608001002,0,0,0,0,1,0.7,0,0.6,1.3,37262.49679404239,6.098182314107412
470519602022025,6,0,0,6,37,46.9,7.2,30.6,84.7,62107.92032588964,428.8685867791121
470519603002007,0,0,0,0,9,6.3,0,5.4,11.7,26515.849700503586,10.998785483684918
470519602023094,0,0,0,0,8,5.6,0,4.8,10.4,71936.00581196634,237.45833266525355
470519604012020,0,0,0,0,46,32.2,0,27.6,59.8,83317.37203517284,4993.461561519906
470519604011057,0,0,0,0,4,2.8,0,2.4,5.2,82178.13537172513,4609.051249054731
470519608001078,0,0,0,0,2,1.4,0,1.2,2.6,47269.60246166439,38.50336399728915
470519607002003,0,0,0,0,3,2.1,0,1.8,3.9,57992.5692985082,513.3492282949652
470519604022068,0,0,0,0,6,4.2,0,3.6,7.8,80197.47860763276,422.74089705718984
470519608001045,0,0,0,0,2,1.4,0,1.2,2.6,44223.9387428654,43.3731563179037
470519604021022,0,0,0,0,21,14.7,0,12.6,27.3,84323.7139797458,14074.742663532557
470519602014019,0,0,0,0,15,10.5,0,9,19.5,16593.461977925388,135.8240084832852
470519602022143,0,0,0,0,10,7,0,6,13,55768.54781874899,139.09722196150503
470519602014002,8,4,0,4,23,32.9,9.6,21.4,63.9,46848.46892781423,92.98420178057299
470519606002006,0,0,0,0,7,4.9,0,4.2,9.1,80305.67721292772,1133.7190797942335
470519606002050,0,0,0,0,2,1.4,0,1.2,2.6,80942.29874520202,1421.4316919088355
470519601003075,0,0,0,0,14,9.8,0,8.4,18.2,81117.02535290441,3018.891622768785
470519605003044,0,0,0,0,28,19.6,0,16.8,36.4,84936.32921211542,14719.325371137591
470519604022075,9,0,0,9,23,47.6,10.8,26.4,84.8,75260.65651486568,241.31574459333547
470519602022073,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,68714.31895612898,78.3546684862437
470519606002016,0,0,0,0,9,6.3,0,5.4,11.7,80303.50960250007,1264.3692378041594
470519606001001,0,0,0,0,3,2.1,0,1.8,3.9,50060.71127803407,11.342927514319053
470519605003005,2,0,0,2,3,9.1,2.4,4.6,16.1,84798.74434298395,17071.38897099443
