id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
510690502003010,8,4,0,4,26,35,9.6,23.2,67.8,363624.5246968372,250.11703272799457
510690505003004,0,0,0,0,3,2.1,0,1.8,3.9,387763.2939860986,4215.533584411366
510690504013053,0,0,0,0,3,2.1,0,1.8,3.9,39514.458781054556,128.89178726593386
518400003013010,0,0,0,0,24,16.8,0,14.4,31.2,389075.40920376446,54275.769424630744
510690501003009,3,0,0,3,6,14.7,3.6,7.8,26.1,353112.57803560357,88.87062568230607
510690506001005,0,0,0,0,16,11.2,0,9.6,20.8,383132.9111449519,219.2864625767226
510690505001012,0,0,0,0,3,2.1,0,1.8,3.9,377939.6877783277,466.65477488186417
510690508073011,3,0,0,3,9,16.8,3.6,9.6,29.999999999999996,380314.5250921951,2170.280807401993
518400002024019,0,0,0,0,16,11.2,0,9.6,20.8,389958.68040255795,20734.023854623632
518400002014014,0,0,0,0,11,7.7,0,6.6,14.3,390866.8897013307,48294.06210468472
518400002023005,1,0,0,1,6,7.7,1.2,5,13.9,389158.2960805191,29557.848522966644
518400001011006,0,0,0,0,17,11.9,0,10.2,22.1,387314.9168300473,25355.319024125572
510690506001006,0,0,0,0,5,3.5,0,3,6.5,371647.64467095566,8.339829615586005
510690511042014,0,0,0,0,23,16.1,0,13.8,29.9,378288.3503255012,2421.0264519073144
510690505004009,2,0,0,2,10,14,2.4,8.8,25.2,389289.26495163847,519.8846081417624
510690505004030,26,0,0,26,12,99.4,31.2,43.6,174.2,391860.6237295839,10654.095312682068
510690508072004,0,0,0,0,18,12.6,0,10.8,23.4,375683.51999973244,328.05550061305684
510690511032011,1,0,0,1,103,75.6,1.2,63.2,140,376599.7475121355,557.0400066861537
518400002026007,60,0,0,60,91,273.7,72,138.6,484.3,389057.1911773637,16755.267666252814
510690507001029,0,0,0,0,6,4.2,0,3.6,7.8,366083.37996784,4558.889914057686
510690505005007,0,0,0,0,7,4.9,0,4.2,9.1,380483.2209635654,21.215084754072798
