id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
040270010041020,6,0,0,6,4,23.8,7.2,10.8,41.8,382364.850304125,52681.05669524135
040270008001047,0,0,0,0,5,3.5,0,3,6.5,381769.583544339,50394.19710878629
040270010043008,0,0,0,0,7,4.9,0,4.2,9.1,384151.7337991647,51032.237335125865
040270121002225,0,0,0,0,8,5.6,0,4.8,10.4,827.4234301613427,10.025265061878944
040270008005018,0,0,0,0,3,2.1,0,1.8,3.9,381977.2243341244,39355.88942031114
040270118011047,0,0,0,0,8,5.6,0,4.8,10.4,305425.9229354633,274.21523695109653
040270115011067,5,0,5,0,3,44.1,6,25.3,75.4,223867.63099937586,3686.177615299931
040270112021229,0,0,0,0,9,6.3,0,5.4,11.7,4966.181254720742,11.538513221795125
040270111251012,0,0,0,0,18,12.6,0,10.8,23.4,188569.04621780687,1056.6759819215958
040270007003006,0,0,0,0,15,10.5,0,9,19.5,379966.2147602763,43906.3029231604
040270011001012,0,0,0,0,12,8.4,0,7.2,15.6,382166.2919123368,35526.893105616844
040270112021173,0,0,0,0,1,0.7,0,0.6,1.3,21110.227369459248,246.01678341507875
040270111252015,0,0,0,0,16,11.2,0,9.6,20.8,260665.2244900756,151.41727910875653
040270111202018,0,0,0,0,3,2.1,0,1.8,3.9,381173.4240468908,2405.509598856377
040270109141028,0,0,0,0,13,9.1,0,7.8,16.9,740.4717422251588,124.36510655540366
040270008001003,0,0,0,0,6,4.2,0,3.6,7.8,380825.42171120626,40489.72044012423
040270111082008,0,0,0,0,6,4.2,0,3.6,7.8,354312.9651860777,5487.424273600554
040270009032012,0,0,0,0,9,6.3,0,5.4,11.7,365687.4539452756,7945.592889692627
040270111141018,0,0,0,0,25,17.5,0,15,32.5,300332.4675819928,3518.801149236979
040270111241015,0,0,0,0,16,11.2,0,9.6,20.8,272315.8089959487,3370.244531298021
040270009092017,0,0,0,0,24,16.8,0,14.4,31.2,366313.26375302597,2147.9932820896515
040270111161007,0,0,0,0,5,3.5,0,3,6.5,362682.14708503976,2457.2086880028555
040270111161028,0,0,0,0,6,4.2,0,3.6,7.8,357010.93325555464,2878.324764112425
040270109114017,0,0,0,0,14,9.8,0,8.4,18.2,356025.4084172797,6980.041267113829
040270112041084,0,0,0,0,6,4.2,0,3.6,7.8,26936.356357126333,83.40878840673244
040270112032001,0,0,0,0,3,2.1,0,1.8,3.9,20480.854022646337,14.621198314513089
040270117002019,0,0,0,0,3,2.1,0,1.8,3.9,362004.1801802772,852.8004861110167
040270111181008,0,0,0,0,24,16.8,0,14.4,31.2,349958.05148899416,8212.753400813097
040270118012046,32,21,0,11,31,74.9,38.4,44.5,157.8,291287.2139928387,284.01304648322827
040270111123001,24,0,0,24,14,93.8,28.8,41.99999999999999,164.6,342396.10672159615,2255.618755243317
040270111171063,0,0,0,0,2,1.4,0,1.2,2.6,352362.68431303074,1934.5886896747143
040270109102024,0,0,0,0,32,22.4,0,19.2,41.6,295496.83699795837,605.8619572138939
