id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
350619701012027,0,0,0,0,9,6.3,0,5.4,11.7,72091.3867254605,288.6355703599875
350619713011111,37,36,0,1,1,29.4,44.4,20,93.8,26397.410750066058,92.96776556214095
350619704051049,0,0,0,0,18,12.6,0,10.8,23.4,132037.55380119823,23.467534878539293
350619703051007,0,0,0,0,9,6.3,0,5.4,11.7,351949.18152344093,418.5849988616127
350619703071007,0,0,0,0,5,3.5,0,3,6.5,154830.32441238186,567.2261667418201
350619701042000,1,0,0,1,36,28.7,1.2,22.999999999999996,52.9,1123870.4750398034,925.7208700289192
350619701012021,0,0,0,0,29,20.3,0,17.4,37.7,64655.72354296404,298.2467838031563
350619703041022,55,1,0,54,53,226.8,66,107.9,400.7,442734.21995719575,2021.9044453468614
350619701042013,1,1,0,0,4,3.5,1.2,2.9,7.6,1303874.6734359618,1528.8555609360492
350619713011061,0,0,0,0,1,0.7,0,0.6,1.3,26909.31455630694,101.88633646253743
350619707011005,17,17,0,0,12,20.3,20.4,15.7,56.4,219735.7692322975,258.9530104391127
350619701011019,0,0,0,0,5,3.5,0,3,6.5,110106.86830451997,278.6152379685537
350619707013005,0,0,0,0,1,0.7,0,0.6,1.3,181281.2018251148,516.2751781891533
350619703061014,0,0,0,0,17,11.9,0,10.2,22.1,112218.6690741846,423.41261896069864
350619709014063,0,0,0,0,4,2.8,0,2.4,5.2,106518.09830626946,147.8968882452769
350619703051006,0,0,0,0,19,13.3,0,11.4,24.7,348131.89722589805,197.90905029147478
350619703051012,3,3,0,0,52,38.5,3.6,32.7,74.8,462129.1471302092,502.6152487990481
350010009072006,0,0,0,0,26,18.2,0,15.6,33.8,2503741.929013573,24074.919680867937
350010023022010,0,0,0,0,3,2.1,0,1.8,3.9,2632516.0277891625,34869.12539808701
350619704043016,0,0,0,0,16,11.2,0,9.6,20.8,1302857.6205533014,4990.570455728593
350430112001315,0,0,0,0,3,2.1,0,1.8,3.9,4782.782892267964,214.8473982530054
350430111022091,0,0,0,0,33,23.1,0,19.8,42.9,2379143.2150188615,2331.020438844663
350010035024058,0,0,0,0,1,0.7,0,0.6,1.3,2691782.6349676307,12788.657211293445
350010047373005,0,0,0,0,20,14,0,12,26,2302890.4122216557,3900.341337914556
350010037152006,0,0,0,0,20,14,0,12,26,2594134.136257856,14178.527853412565
350010036002013,0,0,0,0,6,4.2,0,3.6,7.8,2624311.7005261253,2538.4068714424934
350010038042007,5,5,0,0,11,11.2,6,9.1,26.3,80844.45705546053,71.22424568377185
350010001235001,0,0,0,0,13,9.1,0,7.8,16.9,2611002.7393600317,44905.754890327415
350619709012027,0,0,0,0,12,8.4,0,7.2,15.6,256066.57563182307,11371.405025052474
350619701041011,4,4,0,0,58,43.4,4.8,36.8,84.99999999999999,949020.3922745149,352.5715683010709
350619703062013,16,5,0,11,213,191.1,19.2,145.7,356,121422.4916546414,622.6578190197439
350619704013010,2,0,0,2,21,21.7,2.4,15.4,39.5,869071.497577459,11683.292838037518
350010045022014,0,0,0,0,25,17.5,0,15,32.5,2403946.0474847746,7082.180265783818
350010001141020,0,0,0,0,20,14,0,12,26,2541676.0045890124,37711.0430951319
350010004022007,0,0,0,0,19,13.3,0,11.4,24.7,2653964.9798972793,98658.4688985223
350010006014011,0,0,0,0,7,4.9,0,4.2,9.1,2637112.0336267557,129099.36582063319
350010021001065,143,0,0,143,10,507.5,171.6,206.2,885.3,2674370.3348243195,293416.18099972716
350010047132028,0,0,0,0,14,9.8,0,8.4,18.2,2462412.564314096,12506.910936939454
350010037123004,3,0,0,3,58,51.1,3.6,39,93.7,2680065.9864410376,29961.918114302258
350010001223008,0,0,0,0,16,11.2,0,9.6,20.8,2628465.35634355,69717.60302132377
350019405002004,0,0,0,0,1,0.7,0,0.6,1.3,2413225.8935710574,745.699531303208
350010047621011,0,0,0,0,94,65.8,0,56.4,122.2,2523680.6728552664,7686.177287103821
