id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
300959666002065,0,0,0,0,15,10.5,0,9,19.5,337.57842097646954,311.0733185751743
300959664001111,0,0,0,0,4,2.8,0,2.4,5.2,15148.21482678808,22.366069142899455
300959664001113,0,0,0,0,1,0.7,0,0.6,1.3,14222.473521166108,5.642639471217596
301110003004002,0,0,0,0,15,10.5,0,9,19.5,609321.4615991587,26425.57469539739
301110018062012,8,0,0,8,25,45.5,9.6,26.2,81.3,598046.5095137213,10870.679341389274
301110019013016,0,0,0,0,7,4.9,0,4.2,9.1,530147.188840104,15274.84104936302
301110011004000,244,10,70,164,79,1224.3,292.8,611,2128.1,602567.629805946,41772.893643781536
301110007062006,2,2,0,0,14,11.2,2.4,9.4,23,598071.0431730587,18897.3447907356
301110018051003,0,0,0,0,15,10.5,0,9,19.5,598521.2683101686,12085.35865240123
301119400011014,0,0,0,0,3,2.1,0,1.8,3.9,48.15045048939404,2.999883939009436
301110012002007,0,0,0,0,16,11.2,0,9.6,20.8,599947.7940098078,30604.793474853745
300090005001256,0,0,0,0,2,1.4,0,1.2,2.6,13853.455077081677,262.12434034958727
301119400013022,0,0,0,0,18,12.6,0,10.8,23.4,584336.3736260044,885.7900360438978
301110002001012,0,0,0,0,6,4.2,0,3.6,7.8,608376.0540086007,80148.17079118993
300090003002018,3,0,0,3,7,15.4,3.6,8.4,27.4,14045.46014416679,8569.545493512807
300959666001083,0,0,0,0,2,1.4,0,1.2,2.6,275380.2325267298,987.1205096678491
300959666001039,0,0,0,0,4,2.8,0,2.4,5.2,376598.1930099681,983.3915432265712
301119400012068,0,0,0,0,1,0.7,0,0.6,1.3,508619.9671243745,3.938375246440877
300090003001026,24,24,0,0,6,20.999999999999996,28.8,15.6,65.4,13860.679755747264,315.21026916290856
301110018042018,0,0,0,0,18,12.6,0,10.8,23.4,600798.7575404523,15962.763025006105
301110017024001,1,1,0,0,31,22.4,1.2,19.1,42.7,604006.9257327482,43445.5352740531
301110017024013,0,0,0,0,32,22.4,0,19.2,41.6,606339.9751595409,74567.26341359169
301110019023013,0,0,0,0,61,42.7,0,36.6,79.3,578620.167707535,955.5227189270805
301110017041059,0,0,0,0,1,0.7,0,0.6,1.3,606925.3938356766,4775.79211796732
301110007012006,5,0,0,5,2,18.9,6,8.2,33.1,565169.4766642147,2308.599208960481
300090004001077,0,0,0,0,10,7,0,6,13,11378.087765551616,19.231241582543625
300090004001166,0,0,0,0,6,4.2,0,3.6,7.8,9287.04384613398,6.998870442148739
