id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060270004002019,25,2,3,20,1,97.3,30,43.7,171,46290.11206036125,27409.159168446924
060270003001020,1,0,0,1,24,20.3,1.2,15.8,37.3,46051.156621934526,2048.334879970913
060270005001240,0,0,0,0,4,2.8,0,2.4,5.2,9150.000607902562,1994.6488102727405
060270001001070,0,0,0,0,22,15.4,0,13.2,28.6,46064.897175942075,5663.828287318975
060270008001000,0,0,0,0,4,2.8,0,2.4,5.2,0,0
060270008002073,0,0,0,0,2,1.4,0,1.2,2.6,43.295805934878636,35.4283455876986
060270008004048,0,0,0,0,12,8.4,0,7.2,15.6,8131.856350037534,3816.0031953542502
060270008002231,9,0,0,9,11,39.2,10.8,19.2,69.2,1390.6285255240748,313.1763415106419
060270008004088,0,0,0,0,2,1.4,0,1.2,2.6,5348.866305852475,1.9997442051623115
060270008004077,0,0,0,0,11,7.7,0,6.6,14.3,8050.0720591081945,2887.0170456113246
060270001001074,0,0,0,0,22,15.4,0,13.2,28.6,45999.854937899974,4082.704107573626
060270001002037,3,3,0,0,44,32.9,3.6,27.9,64.4,45663.02253156757,2667.5815026974656
060270004003012,106,67,5,34,9,214.2,127.2,110,451.4,46234.37846934507,23635.022829971065
060270005002015,0,0,0,0,21,14.7,0,12.6,27.3,44520.85079548811,492.9677230920738
060270002001156,0,0,0,0,28,19.6,0,16.8,36.4,41817.83911911109,35.99747897417233
060270004002038,24,16,0,8,1,39.9,28.8,19.8,88.5,46307.79589413036,24506.703986422526
060270003001012,2,2,0,0,12,9.8,2.4,8.2,20.4,45876.70511732516,1343.2567473572908
060270004002014,1,0,0,1,9,9.8,1.2,6.8,17.8,46255.19125480009,26919.306157784227
060270004001019,0,0,0,0,5,3.5,0,3,6.5,46146.99274355493,5137.7106077662
060270008001255,0,0,0,0,2,1.4,0,1.2,2.6,68.34598969048538,2.9788896978272863
060270005001227,1,1,0,0,3,2.8,1.2,2.3,6.3,8802.734978585228,1990.863419607823
060270005002001,0,0,0,0,21,14.7,0,12.6,27.3,44028.21657806646,436.55995431377397
060270008002176,7,1,6,0,2,52.5,8.4,29.9,90.8,2133.7898857979167,501.33494860877545
060270005001173,0,0,0,0,4,2.8,0,2.4,5.2,4285.89235195341,5.072087239605865
060270008001260,0,0,0,0,5,3.5,0,3,6.5,53.01555367959807,21.478796496309233
060270005002048,0,0,0,0,15,10.5,0,9,19.5,41715.68030037732,1282.836626721331
060270005002014,0,0,0,0,12,8.4,0,7.2,15.6,44415.01580548119,474.6415771278792
060270004002055,15,0,14,1,1,121.8,18,67.8,207.6,45746.665330066244,15318.571289242604
060270003002003,24,12,0,12,206,194.6,28.8,146.4,369.8,45932.62577477072,1180.513511882826
060270005002066,1,0,0,1,26,21.7,1.2,17,39.9,43213.3075320012,1361.7277744518638
060270005002025,4,0,0,4,2,15.4,4.8,6.8,27,44964.96869107476,2016.526036200117
060270008004053,0,0,0,0,13,9.1,0,7.8,16.9,8184.6987938345,4002.3082130850908
060270001002008,0,0,0,0,1,0.7,0,0.6,1.3,43173.49168160178,0.9997779937673031
060270001002035,0,0,0,0,41,28.7,0,24.6,53.3,45801.55443836886,3965.049439061826
060270005001342,0,0,0,0,6,4.2,0,3.6,7.8,9095.121734088149,1995.750721618612
060270005002086,1,0,0,1,19,16.8,1.2,12.8,30.8,42492.74583575566,1686.533483168627
060270005001316,0,0,0,0,5,3.5,0,3,6.5,9330.192601692122,1983.4175343724608
060270003001000,0,0,0,0,2,1.4,0,1.2,2.6,46055.21476531008,938.3833983206131
060270008001148,2,2,0,0,4,4.2,2.4,3.4,10,0,0
060270005001075,0,0,0,0,1,0.7,0,0.6,1.3,21935.315907014075,0.9999684697089549
060270008002586,0,0,0,0,5,3.5,0,3,6.5,4929.097124300518,156.00646434398163
060270004002039,0,0,0,0,12,8.4,0,7.2,15.6,46264.7246632361,23884.540552085346
060270008004056,2,0,0,2,3,9.1,2.4,4.6,16.1,8222.97222280749,4100.470168704916
060270004003029,5,0,0,5,4,20.3,6,9.4,35.7,46290.277663273104,27976.11010138948
060270004003008,0,0,0,0,12,8.4,0,7.2,15.6,46206.47627034115,18166.662330019564
