id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
221179505021025,1,1,0,0,25,18.2,1.2,15.5,34.9,34790.66157382344,34.13789113238166
221179504002012,1,0,0,1,30,24.5,1.2,19.4,45.1,12682.466282148616,48.26962687393576
221179506002023,0,0,0,0,71,49.7,0,42.6,92.3,848.2199192273513,90.25001638692576
221179506001067,0,0,0,0,8,5.6,0,4.8,10.4,46941.87148960617,1335.516378291805
221179506001050,6,6,0,0,51,39.9,7.2,33.6,80.7,39168.72224400926,109.72135670508378
221179507001061,0,0,0,0,4,2.8,0,2.4,5.2,55140.80259250641,4641.506387608249
221179506002026,0,0,0,0,8,5.6,0,4.8,10.4,10763.9659051537,25.391031701732985
221179503003035,0,0,0,0,4,2.8,0,2.4,5.2,44949.797609879344,6705.856647865159
221179502012040,0,0,0,0,52,36.4,0,31.2,67.6,47158.42666529873,83.82421731619064
221179507001004,1,1,0,0,6,4.9,1.2,4.1,10.2,61539.11494099032,102.53952625068732
221179505022062,0,0,0,0,11,7.7,0,6.6,14.3,42732.73983257262,2989.7560088619366
221179501013041,0,0,0,0,9,6.3,0,5.4,11.7,31784.33034589799,641.3864066901308
221179501013047,0,0,0,0,4,2.8,0,2.4,5.2,38525.717142499,662.5744702154533
221179501022027,0,0,0,0,2,1.4,0,1.2,2.6,6141.469824682269,4.697565434130921
221179505022010,0,0,0,0,4,2.8,0,2.4,5.2,45536.24652219825,9344.781799580725
221179502021000,0,0,0,0,2,1.4,0,1.2,2.6,6099.532794786561,17.914045405255514
221179507001007,0,0,0,0,2,1.4,0,1.2,2.6,66772.50175532204,126.56120760335715
221179501021011,0,0,0,0,5,3.5,0,3,6.5,15388.652594055979,31.85482687177261
221179501021084,2,0,0,2,8,12.6,2.4,7.6,22.6,53626.91802200903,121.41699211625135
221179508004030,0,0,0,0,11,7.7,0,6.6,14.3,50454.741750535795,5846.81357482066
221179508002043,0,0,0,0,15,10.5,0,9,19.5,53998.453362567656,8028.703547155483
221179505012002,0,0,0,0,2,1.4,0,1.2,2.6,39547.365047146544,11.805823300554291
221179508004009,2,2,0,0,10,8.4,2.4,7,17.8,51096.60000273314,5728.479382628882
221179507002033,0,0,0,0,6,4.2,0,3.6,7.8,51712.0178049882,5260.621517157434
221179503003057,0,0,0,0,1,0.7,0,0.6,1.3,48399.41357945418,20526.449450609747
221179501022029,0,0,0,0,9,6.3,0,5.4,11.7,4567.04215708939,13.141781038775832
221179503001013,2,2,0,0,48,34.99999999999999,2.4,29.8,67.2,30324.429925094428,66.98489462809553
221179503001022,0,0,0,0,12,8.4,0,7.2,15.6,32874.52136126893,19.09160327461635
221179501013008,0,0,0,0,1,0.7,0,0.6,1.3,0,0
221179501021004,0,0,0,0,7,4.9,0,4.2,9.1,27078.042301898404,8.998624250717222
221179506002049,0,0,0,0,11,7.7,0,6.6,14.3,35676.35082104826,16.820563003769582
221179510003047,3,0,0,3,14,20.3,3.6,12.6,36.5,44324.411371002854,291.69377101502454
221179503002054,155,6,0,149,4,528.5,186,214,928.5,45860.74661943563,18541.788178749506
221179502012017,0,0,0,0,35,24.5,0,21,45.5,43273.966717458454,102.93014109323617
221179503003056,0,0,0,0,5,3.5,0,3,6.5,49032.22503140119,19866.45906574294
221179505021001,0,0,0,0,18,12.6,0,10.8,23.4,41332.58733248695,113.61031525779774
221179509001048,0,0,0,0,13,9.1,0,7.8,16.9,46804.91833482224,5301.600310098531
221179507002053,0,0,0,0,11,7.7,0,6.6,14.3,51988.27704009627,7209.677088654743
221179508004031,0,0,0,0,1,0.7,0,0.6,1.3,50992.43641343688,6398.747116543738
221179501022057,0,0,0,0,1,0.7,0,0.6,1.3,36833.729809504286,522.162344399196
221179503002022,0,0,0,0,41,28.7,0,24.6,53.3,34728.98060978778,154.63064516102526
221179503003010,0,0,0,0,5,3.5,0,3,6.5,44589.91606981344,9773.59249756696
221179503003021,0,0,0,0,3,2.1,0,1.8,3.9,46268.59347139628,12412.022566757418
221179510002003,0,0,0,0,3,2.1,0,1.8,3.9,42849.65254462991,281.8652712900822
221179504001001,0,0,0,0,2,1.4,0,1.2,2.6,27959.512562973166,2.6607272764007264
221179510002013,2,2,0,0,7,6.3,2.4,5.2,13.9,40321.51699898785,105.0369027305015
221179505021053,20,16,0,4,19,38.5,24,25,87.5,30154.652167850774,86.9911173690831
221179509001105,0,0,0,0,3,2.1,0,1.8,3.9,46656.73330202982,2163.231270230064
221179507002051,0,0,0,0,10,7,0,6,13,52379.94471633362,6957.6686832305295
221179510003050,0,0,0,0,11,7.7,0,6.6,14.3,48335.240850886745,5978.559330789705
221179502011034,0,0,0,0,24,16.8,0,14.4,31.2,33002.14404191361,69.23452972530231
221179503002003,9,9,0,0,9,12.6,10.8,9.9,33.3,31359.765644256262,42.29502972199587
221179502011008,0,0,0,0,4,2.8,0,2.4,5.2,21170.216171780186,47.74008551795919
221179506002028,0,0,0,0,12,8.4,0,7.2,15.6,25923.56613726914,16.129839969975542
221179507001052,0,0,0,0,4,2.8,0,2.4,5.2,54108.78034659973,6111.4261494702805
221179503002006,0,0,0,0,9,6.3,0,5.4,11.7,34902.18997719666,11.228177932768906
221179507002085,0,0,0,0,10,7,0,6,13,51069.507404852215,5657.541165577286
221179503002027,0,0,0,0,1,0.7,0,0.6,1.3,44594.37232015083,14113.100146682202
221179510003029,0,0,0,0,8,5.6,0,4.8,10.4,45095.30185854642,2568.8604158074168
221179506002003,0,0,0,0,11,7.7,0,6.6,14.3,46018.653988188664,13.999943883987129
221179501013100,0,0,0,0,3,2.1,0,1.8,3.9,37189.56335536862,19.54309376858899
221179507002084,0,0,0,0,1,0.7,0,0.6,1.3,51661.17143468956,5538.100480147261
221179504003009,0,0,0,0,13,9.1,0,7.8,16.9,26976.23646131806,22.12324888123024
221179501013002,0,0,0,0,11,7.7,0,6.6,14.3,3365.2899483768433,14.42038269773345
