id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
210039201001006,0,0,0,0,1,0.7,0,0.6,1.3,120988.26129892255,29.85680085563434
212270109004013,0,0,0,0,13,9.1,0,7.8,16.9,456697.01301148825,10705.502323276936
212270107013018,0,0,0,0,21,14.7,0,12.6,27.3,455016.09094342485,9865.76523352821
212270115004020,0,0,0,0,3,2.1,0,1.8,3.9,462858.24519250146,648.8019319651495
212270110013004,73,16,16,41,69,337.4,87.6,182,607,464610.6961131184,9043.154350468702
212270107013013,13,13,0,0,22,24.5,15.6,19.7,59.8,445824.3378049861,2005.9251298166287
212270108022016,0,0,0,0,10,7,0,6,13,439665.7747386521,1916.3856015050462
212270119002013,4,4,0,0,5,6.3,4.8,5,16.1,311431.8149860202,29.651353029809457
212270102004014,0,0,0,0,13,9.1,0,7.8,16.9,452854.714742971,12689.499506405673
210619204021034,0,0,0,0,35,24.5,0,21,45.5,37798.52313826683,44.99931679790112
210319303021039,28,0,0,28,1,98.7,33.6,39.8,172.1,159872.6306137264,8990.583273904223
210039203001036,0,0,0,0,2,1.4,0,1.2,2.6,321832.0979998791,548.0783542849016
210039203001039,0,0,0,0,1,0.7,0,0.6,1.3,254549.7970296558,551.424277279532
212270112004031,0,0,0,0,15,10.5,0,9,19.5,450088.40904201806,1507.2675572603432
212270109003006,0,0,0,0,10,7,0,6,13,453526.2153286172,8843.786689775858
212270106001008,0,0,0,0,90,62.99999999999999,0,54,117,458194.8513837164,26892.60798573126
212270114012008,0,0,0,0,8,5.6,0,4.8,10.4,453086.3626517972,11825.37513847185
212270116002025,1,0,0,1,18,16.1,1.2,12.2,29.5,400234.16700563073,752.1712756324557
210039204001046,0,0,0,0,3,2.1,0,1.8,3.9,158119.11350782958,3204.882963179452
210619204011018,0,0,0,0,11,7.7,0,6.6,14.3,54306.740913132264,15.836139929459982
212270113002028,0,0,0,0,14,9.8,0,8.4,18.2,452998.44552142173,2225.9292662963285
212270112002003,0,0,0,0,10,7,0,6,13,450968.9646365895,3140.8425683862224
210619203001038,1,0,0,1,8,9.1,1.2,6.2,16.5,604.0109384458177,15.97950965068015
212270108053014,0,0,0,0,1,0.7,0,0.6,1.3,427128.6027015855,1008.5696681303307
212270117011006,3,0,0,3,4,13.3,3.6,6.6,23.5,428125.53827333916,543.0131077031999
212270112004020,116,116,0,0,1,81.9,139.2,58.6,279.7,458182.23625841,949.2784001488725
212270108023018,0,0,0,0,48,33.6,0,28.8,62.4,431491.10220533435,2201.509958802428
210039202001045,0,0,0,0,16,11.2,0,9.6,20.8,94064.3377053943,20.02593769035293
210619204022016,0,0,0,0,4,2.8,0,2.4,5.2,76974.95650183712,12.756797220133382
210619202001023,387,32,10,345,11,1321.6,464.4,552.6,2338.6,25297.379202651613,2445.9411323861123
212270105001019,0,0,0,0,15,10.5,0,9,19.5,462888.0292955759,46765.331108934835
212270110013019,0,0,0,0,11,7.7,0,6.6,14.3,461329.156422046,12694.648204094936
212270109003000,7,6,0,1,74,59.5,8.4,48.8,116.7,453476.82367520453,6633.401324407318
212270108023014,3,1,2,0,30,38.5,3.6,27.9,70,441982.55324224965,1152.6067373248054
212270107023003,5,0,0,5,43,47.6,6,32.8,86.4,454745.2158643403,2701.9464447026744
212270105002019,1,0,0,1,29,23.8,1.2,18.8,43.8,458429.4509938462,95616.21847724752
212270113002039,0,0,0,0,1,0.7,0,0.6,1.3,455682.58487554506,3146.4193599844325
212270107022010,0,0,0,0,30,21,0,18,39,453897.0279028437,10286.893526506286
212270112004003,0,0,0,0,2,1.4,0,1.2,2.6,374383.954920972,21.386247664167655
210319303022026,3,0,0,3,12,18.9,3.6,11.4,33.9,182775.2702415448,9302.034137576622
210039204001032,0,0,0,0,1,0.7,0,0.6,1.3,119046.19032973594,152.5165552354205
212270102004015,199,0,12,187,10,762.3,238.8,324.2,1325.3,455840.13477289816,14683.679048128994
212270103001022,3,0,0,3,34,34.3,3.6,24.6,62.5,458808.2142171189,58593.8253549708
210619204011011,0,0,0,0,7,4.9,0,4.2,9.1,256472.20354455576,73.83928272894663
210619204012022,0,0,0,0,16,11.2,0,9.6,20.8,48537.570467114645,25.117976224055663
212270116003015,2,0,0,2,14,16.8,2.4,11.2,30.4,249849.07138036724,82.22603381256579
212270106001004,11,0,0,11,164,153.3,13.2,113.8,280.3,456653.2351377653,44410.18650856866
212270118022040,13,0,13,0,4,112,15.6,63.5,191.1,360680.87569192617,212.95561518782324
212270102001022,17,0,7,10,9,100.1,20.4,52.3,172.8,458971.17523055297,86939.39990143498
212270118012015,0,0,0,0,5,3.5,0,3,6.5,144102.1292349367,5.999907670735672
210039205001014,0,0,0,0,1,0.7,0,0.6,1.3,14902.915233834525,0.9999376703769208
212270103004003,2,0,2,0,51,52.5,2.4,40,94.9,461257.474769675,21720.523785723457
212270109002008,0,0,0,0,28,19.6,0,16.8,36.4,460342.44451319077,31817.628604510435
212270110011009,3,0,0,3,33,33.6,3.6,24,61.2,459402.2090601113,15576.145433666909
212270103003002,0,0,0,0,13,9.1,0,7.8,16.9,460441.22189119767,39007.527897978856
212270114011023,27,0,0,27,19,107.8,32.4,49.2,189.4,456201.21397212276,10859.462541235256
212270118011029,0,0,0,0,2,1.4,0,1.2,2.6,312770.18980556267,44.93453971021909
212270115002013,0,0,0,0,19,13.3,0,11.4,24.7,427511.10564428417,80.98645264546782
212270117011027,0,0,0,0,11,7.7,0,6.6,14.3,436373.33430023026,213.81529320851612
212270108022012,0,0,0,0,20,14,0,12,26,441431.62772272946,3034.3683804555685
212270110023012,0,0,0,0,21,14.7,0,12.6,27.3,459150.1947711739,1728.3751975896164
212270103002018,0,0,0,0,8,5.6,0,4.8,10.4,459328.50344246847,41373.94670814019
210319303021017,2,0,0,2,9,13.3,2.4,8.2,23.9,145696.73590005754,8360.323087530813
212270114021003,5,5,0,0,9,9.8,6,7.9,23.7,442750.69474307675,271.919966965231
210039204003013,0,0,0,0,12,8.4,0,7.2,15.6,114706.50283757383,3271.657233726397
210619204022024,0,0,0,0,9,6.3,0,5.4,11.7,257219.2570510954,88.88071084070057
212270106001022,60,0,6,54,14,249.2,72,112.2,433.4,465174.46222117124,64623.57706112412
212270101001005,616,0,0,616,100,2226,739.2,922.4,3887.6,458289.5008732404,69824.66607738253
212270116003009,0,0,0,0,32,22.4,0,19.2,41.6,443864.5659727592,167.95838056212003
212270107013010,0,0,0,0,10,7,0,6,13,459513.11589145166,17135.05669029741
212270114012007,0,0,0,0,15,10.5,0,9,19.5,452461.54125628126,8879.088291761063
210619204022009,0,0,0,0,20,14,0,12,26,43242.53996060208,26.182730957123248
210619204021013,0,0,0,0,2,1.4,0,1.2,2.6,118233.76189312663,2399.48214897138
210619202004001,0,0,0,0,5,3.5,0,3,6.5,4824.814282560099,45.999710002460596
210619202002026,0,0,0,0,2,1.4,0,1.2,2.6,10331.232966480136,3.0266800546458965
