id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
080439790013105,0,0,0,0,4,2.8,0,2.4,5.2,1123.9190677056392,61.68007627379495
080439782001071,0,0,0,0,15,10.5,0,9,19.5,83616.48201478536,5989.2393085563235
080439781002036,40,0,0,40,5,143.5,48,59,250.5,79950.03640840722,1081.788342249363
080439790021008,0,0,0,0,17,11.9,0,10.2,22.1,830.9936480974086,78.79589460099912
080439790021045,0,0,0,0,6,4.2,0,3.6,7.8,745.7260302612208,45.58423415534938
080439788002021,3,3,0,0,14,11.9,3.6,9.9,25.4,82278.90180309906,5154.036119427943
080439782002030,1,0,0,1,4,6.3,1.2,3.8,11.3,84086.28434433907,4410.752363448782
080439783003008,1,0,0,1,65,49,1.2,40.4,90.6,81789.74058957456,2255.7336889586304
080439785001015,0,0,0,0,38,26.6,0,22.8,49.4,80887.66833534882,8632.090175821952
080439782001057,0,0,0,0,13,9.1,0,7.8,16.9,83281.65339574654,6111.888332347579
080439782001056,0,0,0,0,15,10.5,0,9,19.5,82882.666800576,4909.817742451606
080439788001020,1,0,0,1,40,31.5,1.2,25.4,58.1,82732.75332481986,12714.044714617265
080439786001013,0,0,0,0,8,5.6,0,4.8,10.4,82431.50402497017,27509.638749191297
080439781001034,14,10,4,0,12,49,16.8,31,96.8,75308.19387033979,96.0700143693393
080439784002017,19,17,0,2,20,32.9,22.8,23.3,79,83000.41597327897,20304.02080443622
080439783001081,0,0,0,0,10,7,0,6,13,83728.92537550033,7495.887580993924
080439783003013,0,0,0,0,27,18.9,0,16.2,35.1,82373.7785024396,2805.3547662018664
080439791001027,0,0,0,0,17,11.9,0,10.2,22.1,83907.29217611077,1739.8982434135912
080439781001057,0,0,0,0,7,4.9,0,4.2,9.1,70001.96557649804,358.474788904431
080439781001059,0,0,0,0,4,2.8,0,2.4,5.2,67473.85398384776,166.08773313844938
080439781003021,0,0,0,0,3,2.1,0,1.8,3.9,76144.4223980383,186.6042222201641
080439783002014,5,5,0,0,24,20.3,6,16.9,43.2,81879.34747064114,24622.5823579535
080439786004008,0,0,0,0,11,7.7,0,6.6,14.3,83199.32923298601,28584.94713697641
080439781001039,14,10,4,0,27,59.5,16.8,40,116.3,39935.31170050223,115.98625850187726
080439783001059,4,4,0,0,11,10.5,4.8,8.6,23.9,83006.42133529499,5660.223450388958
080439784002001,39,3,0,36,31,149.8,46.8,70.5,267.1,83662.81756955254,12214.710265428015
080439785001005,3,0,0,3,32,32.9,3.6,23.4,59.9,73180.20196992786,270.1926503283064
080439792001028,0,0,0,0,4,2.8,0,2.4,5.2,49664.97642071777,4.992538224759843
080439781002044,0,0,0,0,3,2.1,0,1.8,3.9,78912.90744430713,99.95964659107602
080439781002023,0,0,0,0,36,25.2,0,21.6,46.8,76372.56088896036,477.91837097880745
080439790012002,0,0,0,0,1,0.7,0,0.6,1.3,1318.77770758545,12.493966642740899
080439790013074,0,0,0,0,40,28,0,24,52,82.51983203910902,51.99789656885907
080439782002038,0,0,0,0,10,7,0,6,13,83887.06574514219,4178.673521820809
080439785003014,0,0,0,0,10,7,0,6,13,81783.24771459012,12954.987446755707
080439782002013,0,0,0,0,11,7.7,0,6.6,14.3,83671.53465093092,4597.402345792872
080439783001039,2,2,0,0,32,23.8,2.4,20.2,46.4,80511.60123234495,274.3649827862152
080439788002031,0,0,0,0,17,11.9,0,10.2,22.1,83214.68619513135,14847.401349523203
080439788002039,35,21,14,0,12,140.7,42,83.5,266.2,83424.60239892502,16193.664261898813
080439788001027,0,0,0,0,5,3.5,0,3,6.5,82556.14370860267,11314.239455991887
080439786004009,0,0,0,0,6,4.2,0,3.6,7.8,83280.38154166665,28025.304859708103
080439786003002,0,0,0,0,21,14.7,0,12.6,27.3,82807.08865892331,18815.526537115587
080439790022000,22,2,0,20,44,102.2,26.4,55.4,184,0,0
080439782003004,0,0,0,0,5,3.5,0,3,6.5,82045.50622400023,1888.9994498659441
080439782002047,0,0,0,0,4,2.8,0,2.4,5.2,84007.24534215387,4358.447751722348
080439782001030,9,9,0,0,17,18.2,10.8,14.7,43.7,81718.12342088227,703.9058530102562
080439790011027,0,0,0,0,21,14.7,0,12.6,27.3,1014.9572448755745,38.215675939581814
080439782003019,0,0,0,0,6,4.2,0,3.6,7.8,83123.07931285485,4261.727859711498
080439785003017,2,0,0,2,15,17.5,2.4,11.8,31.7,81869.95420323344,14118.305180374033
080439785001016,0,0,0,0,36,25.2,0,21.6,46.8,80704.65680813642,7004.134211278535
080439794001044,0,0,0,0,52,36.4,0,31.2,67.6,67844.57185021204,92.29281200621246
080439790021062,0,0,0,0,5,3.5,0,3,6.5,766.0041805824345,58.07293748011742
080439781004011,0,0,0,0,9,6.3,0,5.4,11.7,81441.03257451125,1046.1512322740764
080439790021059,0,0,0,0,2,1.4,0,1.2,2.6,736.3382287359847,85.6370848295535
080439792001011,0,0,0,0,3,2.1,0,1.8,3.9,74906.80264830757,505.5047784458925
080439786001022,0,0,0,0,16,11.2,0,9.6,20.8,82970.75291670523,29097.320733420194
080439781002020,0,0,0,0,10,7,0,6,13,76146.30141112425,613.6445414428754
080439781001060,0,0,0,0,11,7.7,0,6.6,14.3,71385.04954058361,120.4401024085238
080439786004016,0,0,0,0,19,13.3,0,11.4,24.7,83290.12805361868,24450.73950435942
080439790022034,0,0,0,0,5,3.5,0,3,6.5,798.1793799175937,19.349093977187607
080439788003023,0,0,0,0,8,5.6,0,4.8,10.4,83481.86213737876,4002.7802062187093
080439782003045,0,0,0,0,1,0.7,0,0.6,1.3,82628.21068584244,1364.5342124831723
080439786002011,0,0,0,0,12,8.4,0,7.2,15.6,82862.30315958963,24962.254168212257
080439785003008,0,0,0,0,7,4.9,0,4.2,9.1,81779.30920838221,12318.495780484993
080439790021070,0,0,0,0,6,4.2,0,3.6,7.8,719.6105359891475,48.572167602312796
080439782002021,0,0,0,0,4,2.8,0,2.4,5.2,84031.87636029632,3587.857102868856
080439781001086,0,0,0,0,7,4.9,0,4.2,9.1,66051.56401327216,130.5789695372533
080439790013145,0,0,0,0,10,7,0,6,13,31.643120084714162,12.999570034528684
080439791003023,4,0,0,4,3,16.1,4.8,7.4,28.3,83057.42641629261,194.29807719179857
080439783004025,0,0,0,0,50,35,0,30,65,83350.85270915173,7773.721726636489
080439784001038,1,1,0,0,5,4.2,1.2,3.5,8.9,83468.80870151128,447.83379462334284
080439790011020,0,0,0,0,5,3.5,0,3,6.5,1096.8940610405134,122.26114061900508
080439790022017,0,0,0,0,4,2.8,0,2.4,5.2,806.1431080482603,32.20660661994437
080439794001091,0,0,0,0,4,2.8,0,2.4,5.2,79779.46504443073,1130.598031214543
080439790012057,0,0,0,0,2,1.4,0,1.2,2.6,1365.3520400880243,2.2910365928125827
080439782002027,0,0,0,0,10,7,0,6,13,84102.05750669207,4080.7637781036333
080439790013010,0,0,0,0,1,0.7,0,0.6,1.3,22968.386779490822,0.9999868100987528
080439781004027,15,2,0,13,30,67.9,18,37.2,123.1,77934.55345308746,645.8301106407405
080439781004019,0,0,0,0,2,1.4,0,1.2,2.6,81558.31471834383,1044.5740722246608
080439782001070,0,0,0,0,11,7.7,0,6.6,14.3,83302.1714990573,4846.230497007299
080439794001116,0,0,0,0,2,1.4,0,1.2,2.6,77481.58279294203,196.0446689829792
080439790013009,0,0,0,0,3,2.1,0,1.8,3.9,3774.5834427844848,2.999953213795833
080439786001024,0,0,0,0,14,9.8,0,8.4,18.2,82898.89756721469,29194.924636359534
080439791003009,0,0,0,0,25,17.5,0,15,32.5,83945.08219219792,1765.5675895685074
080439781003040,0,0,0,0,3,2.1,0,1.8,3.9,76389.50555970974,146.5840434274634
080439785002019,23,11,0,12,34,73.5,27.6,42.7,143.8,79853.62675761817,3208.8744062759442
080439785002025,11,7,0,4,1,19.6,13.2,9.7,42.5,78732.9151358728,7878.267114383313
080439786003029,0,0,0,0,20,14,0,12,26,82619.37566364334,17241.533505082192
080439782001005,0,0,0,0,3,2.1,0,1.8,3.9,83506.64046528422,5100.133752758711
080439790013129,0,0,0,0,4,2.8,0,2.4,5.2,1169.5464278530396,114.89245296517028
080439788002040,0,0,0,0,9,6.3,0,5.4,11.7,83085.85576267642,12165.939683583825
080439782002046,1,0,0,1,20,17.5,1.2,13.4,32.1,83979.35806905391,5199.031964833491
080439784001042,0,0,0,0,5,3.5,0,3,6.5,83266.31765374662,4437.0537672798055
080439791002013,0,0,0,0,64,44.8,0,38.4,83.2,84032.33347827081,1483.070000539462
080439782003018,1,0,0,1,16,14.7,1.2,11,26.9,83339.19224551131,4451.585256705439
080439783001009,0,0,0,0,27,18.9,0,16.2,35.1,78787.5612338824,235.28323899607736
080439790012055,0,0,0,0,7,4.9,0,4.2,9.1,1170.1688629337038,22.816193781170405
080439790011025,0,0,0,0,11,7.7,0,6.6,14.3,1110.9099304228564,86.76207773193292
080439782001050,0,0,0,0,8,5.6,0,4.8,10.4,83490.22196385385,5956.135208501504
080439790013152,0,0,0,0,1,0.7,0,0.6,1.3,115.3700591173811,0.9999396082138338
080439791001021,0,0,0,0,47,32.9,0,28.2,61.1,83281.27650697909,3410.490856142364
080439788002018,7,4,0,3,21,28,8.4,18.8,55.2,83538.45046785749,20814.731768572736
080439786004010,0,0,0,0,13,9.1,0,7.8,16.9,83328.4064566938,27313.92049136901
080439781003038,7,7,0,0,4,7.7,8.4,5.9,22,77100.99216698985,74.57403224506153
080439781001066,0,0,0,0,20,14,0,12,26,70201.92309541002,170.76309650778498
080439785002006,0,0,0,0,12,8.4,0,7.2,15.6,81663.24441005065,2812.2841227624594
080439790021035,1,0,0,1,26,21.7,1.2,17,39.9,902.2990765953729,68.64773560024624
080439785004008,0,0,0,0,5,3.5,0,3,6.5,82062.93219013361,14478.281658850456
080439790021031,0,0,0,0,7,4.9,0,4.2,9.1,829.1500382254201,20.462712013028096
080439790012031,0,0,0,0,5,3.5,0,3,6.5,1055.3632950344804,17.097422905735637
080439781001009,5,3,0,2,16,20.3,6,13.9,40.2,8906.50619304396,40.30106032742043
080439790021066,0,0,0,0,3,2.1,0,1.8,3.9,810.6379481996552,41.86915248578735
080439786001025,21,0,0,21,12,81.9,25.2,36.6,143.7,83316.76441533316,28812.486595921837
080439785001026,0,0,0,0,28,19.6,0,16.8,36.4,81138.26596468434,9897.439009558688
080439792001047,5,2,0,3,46,44.1,6,32.8,82.9,75024.96972782811,578.7061258935324
080439791001000,0,0,0,0,6,4.2,0,3.6,7.8,84378.95429024105,1260.1793922238487
080439790021029,0,0,0,0,2,1.4,0,1.2,2.6,910.387515590491,26.902594988089987
080439791002002,0,0,0,0,16,11.2,0,9.6,20.8,83985.73949282836,2477.313233621012
080439786002036,0,0,0,0,7,4.9,0,4.2,9.1,82557.84856251723,17615.72568782189
080439790021010,0,0,0,0,5,3.5,0,3,6.5,914.8285578597198,63.33610534197529
080439786004023,45,0,0,45,12,165.9,54,70.2,290.1,83440.55522705911,27835.793693493557
080439794001110,0,0,0,0,3,2.1,0,1.8,3.9,35559.69135062881,2.998013718637723
080439790012016,0,0,0,0,2,1.4,0,1.2,2.6,1260.7100052354106,39.58472808009676
080439786002006,0,0,0,0,12,8.4,0,7.2,15.6,82089.17251264161,20056.961157167556
080439786002013,0,0,0,0,13,9.1,0,7.8,16.9,82205.42803003684,20010.53328142842
080439786002016,0,0,0,0,14,9.8,0,8.4,18.2,82297.4460824307,20863.500532346217
080439785001033,0,0,0,0,20,14,0,12,26,79623.05528387833,3418.323464455762
080439786002030,0,0,0,0,13,9.1,0,7.8,16.9,82831.29257799852,25272.73343666537
080439790022029,7,3,0,4,61,58.8,8.4,43.7,110.9,289.2446542476556,109.96330463110073
080439782003007,0,0,0,0,4,2.8,0,2.4,5.2,82749.63871803373,4166.981446008008
080439781002024,0,0,0,0,18,12.6,0,10.8,23.4,76785.34414413867,752.3957650200159
080439785003005,0,0,0,0,7,4.9,0,4.2,9.1,81687.38054407846,11773.467345167868
080439790012028,0,0,0,0,1,0.7,0,0.6,1.3,1194.579240288905,1.1102289654375865
080439781002058,0,0,0,0,4,2.8,0,2.4,5.2,75581.86928067151,285.13004167182544
080439791001024,0,0,0,0,1,0.7,0,0.6,1.3,83283.00600283222,5194.1648358358
080439786001003,0,0,0,0,8,5.6,0,4.8,10.4,81720.88236843345,21612.047266585367
080439791001015,4,1,0,3,55,49.7,4.8,37.7,92.2,83532.94000480496,1636.7083185481254
080439791002000,8,0,0,8,43,58.1,9.6,37,104.7,83556.3012351496,2012.52198286314
080439786004005,0,0,0,0,13,9.1,0,7.8,16.9,83211.59138561657,27500.053308566727
080439790022047,0,0,0,0,12,8.4,0,7.2,15.6,451.0341904287259,14.972451265065702
080439782002024,0,0,0,0,3,2.1,0,1.8,3.9,84135.73967447426,3916.8141809741455
080439794001107,0,0,0,0,10,7,0,6,13,3312.989918430329,12.507744152061735
080439792001009,4,2,0,2,40,36.4,4.8,27.8,69,75428.26639202799,537.830993347136
080439785001010,0,0,0,0,31,21.7,0,18.6,40.3,79349.3556712035,1939.1912013195226
080439783004031,29,0,2,27,19,124.6,34.8,58.6,217.99999999999997,83859.92677873168,10302.08520808035
080439781002033,0,0,0,0,8,5.6,0,4.8,10.4,76334.70001485627,545.6147983549223
080439790013170,0,0,0,0,4,2.8,0,2.4,5.2,71179.38016308646,8.971229234332961
