id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
560210003003028,0,0,0,0,2,1.4,0,1.2,2.6,331606.78480114153,4881.336050158521
560210012002007,0,0,0,0,18,12.6,0,10.8,23.4,331905.4248536694,11009.01301154521
560210012004015,0,0,0,0,2,1.4,0,1.2,2.6,331494.54669752705,13464.66192249854
560210007012065,0,0,0,0,11,7.7,0,6.6,14.3,332858.5819719509,100465.52696689137
560210020021231,0,0,0,0,1,0.7,0,0.6,1.3,63406.07921750628,2.730289124883359
560210015021001,0,0,0,0,4,2.8,0,2.4,5.2,331957.1935667392,3437.204341663462
560210005031011,0,0,0,0,43,30.1,0,25.8,55.9,332583.4345339038,13817.995465560989
560210007011012,1,0,0,1,12,11.9,1.2,8.6,21.7,333080.43030464236,100939.59543586912
560210014012028,0,0,0,0,2,1.4,0,1.2,2.6,331215.97754579183,14696.167288314728
560210005021031,0,0,0,0,21,14.7,0,12.6,27.3,331032.5610746751,3720.3634218936418
560210019013100,0,0,0,0,3,2.1,0,1.8,3.9,1914.2364491203837,2.3874943283524797
560210006011023,0,0,0,0,24,16.8,0,14.4,31.2,332530.66504854575,23743.849491420504
560210020023045,0,0,0,0,10,7,0,6,13,318488.1682003648,78.67826354302156
560210019013011,0,0,0,0,1,0.7,0,0.6,1.3,0.8918149267392623,0.8568962045690987
560210013013002,0,0,0,0,19,13.3,0,11.4,24.7,331259.5735527957,16360.188652978948
560210003002015,3,0,0,3,26,28.7,3.6,19.8,52.1,332167.7560407383,5244.820515202954
560210010004016,15,0,0,15,7,57.4,18,25.2,100.6,333058.366328709,97373.50281033799
560210009003000,21,0,0,21,15,84,25.2,38.4,147.6,332924.30554990476,69326.71984693248
560210020011086,0,0,0,0,10,7,0,6,13,23168.54788361474,4684.307784256186
560210020011062,0,0,0,0,9,6.3,0,5.4,11.7,23836.201025025206,4670.873662702348
560210007021073,29,0,9,20,7,150.5,34.8,74.5,259.8,333480.17065781995,84778.35108107129
560210006022007,0,0,0,0,20,14,0,12,26,332281.8118440539,25608.46487567753
560210002002030,0,0,0,0,13,9.1,0,7.8,16.9,332914.66108405334,17454.095324384492
560210009001017,0,0,0,0,12,8.4,0,7.2,15.6,332534.9662714781,13645.30093514871
560210012001029,0,0,0,0,33,23.1,0,19.8,42.9,330806.58483408013,3772.937094043701
560210005033012,0,0,0,0,19,13.3,0,11.4,24.7,332478.82255915314,12277.564328567461
560210020021265,0,0,0,0,3,2.1,0,1.8,3.9,1631.248958790063,2.9432731117004303
560210019022141,0,0,0,0,5,3.5,0,3,6.5,74429.04945515792,169.12964564204094
560210019022145,0,0,0,0,2,1.4,0,1.2,2.6,15417.96171295541,2.90833527838776
560210002004007,0,0,0,0,56,39.2,0,33.6,72.8,332703.75532469124,15988.83034101667
560210020021249,0,0,0,0,6,4.2,0,3.6,7.8,160189.29043935525,392.7922616210505
560210007022052,0,0,0,0,19,13.3,0,11.4,24.7,332689.5119338795,39437.005263616826
560210014021003,0,0,0,0,6,4.2,0,3.6,7.8,330572.4008335144,285.458378041236
560210020011133,0,0,0,0,2,1.4,0,1.2,2.6,17565.13955460757,1.9999981388285153
560210011002024,0,0,0,0,20,14,0,12,26,331762.92648194253,1361.7556351006172
560210015021007,0,0,0,0,36,25.2,0,21.6,46.8,332417.5707039964,4172.587632128176
560210003003033,0,0,0,0,8,5.6,0,4.8,10.4,331208.9496720838,3625.7687178374226
560210004015015,1,0,0,1,38,30.1,1.2,24.2,55.5,330047.2167173631,1259.2476544712094
560210009002020,1,1,0,0,9,7,1.2,5.9,14.1,332870.55408751,47670.62116552761
560210020021263,0,0,0,0,2,1.4,0,1.2,2.6,28812.86885083035,1.9954266191987748
560210019013101,0,0,0,0,11,7.7,0,6.6,14.3,52615.1536530774,13.664560268931938
560210020021097,0,0,0,0,1,0.7,0,0.6,1.3,300.7645258287653,0.996708486750772
560210020021147,1,1,0,0,4,3.5,1.2,2.9,7.6,9.936653154064208,6.917357069130575
560210010002006,7,0,0,7,19,37.8,8.4,21.2,67.4,333329.24128266436,81761.15866839874
560210020021041,0,0,0,0,2,1.4,0,1.2,2.6,445.7905799501972,1.9977891558461724
560210020021288,0,0,0,0,8,5.6,0,4.8,10.4,1497.9381191892076,322.2663037170408
560210013012019,0,0,0,0,15,10.5,0,9,19.5,331310.90408147953,36042.134638166746
560210013011003,69,0,0,69,9,247.8,82.8,102,432.6,331230.99521538353,18185.681366693912
560210013022034,1,0,0,1,2,4.9,1.2,2.6,8.7,330479.2239051056,8149.3491432512355
560210006011036,0,0,0,0,11,7.7,0,6.6,14.3,332376.1754800959,22572.444946284515
560210019012021,0,0,0,0,10,7,0,6,13,274440.68589112186,25.798813133796834
560210011002022,2,0,0,2,4,9.8,2.4,5.2,17.4,331950.3797918952,1597.6134655194771
560210005032002,1,0,1,0,133,101.5,1.2,84.5,187.2,332257.1150228306,14659.306231747873
560210008002012,0,0,0,0,27,18.9,0,16.2,35.1,331737.49277066736,18960.065431114883
560210019021106,103,23,38,42,8,487.9,123.6,253.7,865.2,328069.29022668296,1001.3048507690652
560210012003007,170,0,14,156,44,694.4,204,310.6,1209,331203.57468417304,14756.22114408549
560210020022051,1,1,0,0,6,4.9,1.2,4.1,10.2,331749.46647791215,1521.158073875502
560210009004033,0,0,0,0,17,11.9,0,10.2,22.1,333166.24349757674,71427.79162004795
560210010004037,0,0,0,0,16,11.2,0,9.6,20.8,333034.7069627032,97723.9619637185
560210020011033,0,0,0,0,4,2.8,0,2.4,5.2,18311.709222974816,4639.12294955855
560210019012023,14,2,0,12,44,74.2,16.8,44.2,135.2,327760.5057275276,142.2834627495431
560210009004025,5,0,0,5,15,28,6,16,50,332819.9069964597,50758.110210358616
560210013022013,0,0,0,0,17,11.9,0,10.2,22.1,329739.6050053416,2923.7186272146187
560210020012093,1,0,0,1,25,21,1.2,16.4,38.6,6943.768796600504,37.99932596810561
560210006011032,0,0,0,0,13,9.1,0,7.8,16.9,332274.56531590875,22255.959789435554
560210020021291,1,0,0,1,4,6.3,1.2,3.8,11.3,3732.9558422053738,11.818738390317142
560210020023051,92,1,91,0,1,765.8,110.4,428.8,1305,56640.617875386895,1302.0571469167853
560210004012006,0,0,0,0,20,14,0,12,26,332004.03146125295,2957.0359193790937
560210005033013,0,0,0,0,11,7.7,0,6.6,14.3,332551.17903533584,16502.10065007513
560210020021163,0,0,0,0,1,0.7,0,0.6,1.3,3679.188667155734,0.9978613296106537
560210015012064,0,0,0,0,33,23.1,0,19.8,42.9,331892.231995613,6590.215590973203
560210004032002,0,0,0,0,74,51.8,0,44.4,96.2,332962.86742163595,6688.720930323315
560210007013013,1,0,0,1,13,12.6,1.2,9.2,23,332774.77529256727,33572.265037322824
560210012003004,28,0,0,28,170,217,33.6,141.2,391.8,331261.664632799,17874.045340924178
560210005034001,2,0,0,2,15,17.5,2.4,11.8,31.7,332211.4741283884,11713.795118555368
560210019021173,0,0,0,0,11,7.7,0,6.6,14.3,404.2149243944242,13.998045995119496
560210015022074,0,0,0,0,19,13.3,0,11.4,24.7,332928.9172145129,23931.26481306805
560210020022031,0,0,0,0,8,5.6,0,4.8,10.4,331998.46243291657,2369.923822183567
560210010002025,0,0,0,0,14,9.8,0,8.4,18.2,333280.60831341834,90938.71660339291
560210013021027,81,6,0,75,32,289.1,97.2,127.2,513.5,331217.3713961859,16284.5847526807
560210011002047,0,0,0,0,25,17.5,0,15,32.5,330500.8861366037,1010.5868743244203
560210015021010,3,0,0,3,36,35.7,3.6,25.8,65.1,332685.359998968,5095.3416286422225
560210020021194,0,0,0,0,1,0.7,0,0.6,1.3,601.548185865001,0.9998342256997184
560210015011017,0,0,0,0,32,22.4,0,19.2,41.6,331874.8689415726,10723.42135164158
560210020011169,0,0,0,0,2,1.4,0,1.2,2.6,9408.008500002117,42.99993530592595
560210015024002,0,0,0,0,1,0.7,0,0.6,1.3,332536.740691099,8610.651037852476
560210012003008,4,3,0,1,21,20.3,4.8,15.5,40.6,331169.60850199853,15579.244757983466
560210003002004,6,0,0,6,203,163.1,7.2,130.2,300.5,331461.54219034227,7938.9860216406405
560210013013019,0,0,0,0,17,11.9,0,10.2,22.1,331157.243792293,17865.78927722192
560210004014020,1,0,0,1,6,7.7,1.2,5,13.9,324508.73706961266,530.2703022967454
560210010002027,8,0,0,8,33,51.1,9.6,31,91.7,333142.0385690092,94127.79574339431
560210012001049,0,0,0,0,5,3.5,0,3,6.5,330557.0588098023,4116.436528447533
560210015022073,12,12,0,0,7,13.3,14.4,10.2,37.9,332425.0586214402,24189.12720189628
560210004012012,11,3,0,8,7,35,13.2,16.9,65.1,331785.2344567349,2926.401240216055
560210014012007,0,0,0,0,1,0.7,0,0.6,1.3,330751.67822497257,7429.479487526664
560210004015008,1,1,0,0,70,49.7,1.2,42.5,93.4,329179.9551213854,1709.5769497547567
560210014022046,0,0,0,0,20,14,0,12,26,330698.01027215365,11160.634200117887
560210006011006,94,0,0,94,11,336.7,112.8,138.2,587.7,332786.3757711903,27970.525032430513
560210012001050,0,0,0,0,14,9.8,0,8.4,18.2,330982.37573526095,5403.471993161819
560210020012105,0,0,0,0,5,3.5,0,3,6.5,193.31156129924875,18.939034553532068
560210019022123,0,0,0,0,12,8.4,0,7.2,15.6,37590.52107734745,22.874232320003124
560210020021104,0,0,0,0,3,2.1,0,1.8,3.9,36.00251608748945,2.873885198465557
560210004015019,0,0,0,0,23,16.1,0,13.8,29.9,330020.1670497691,1229.7614536691285
560210019022098,0,0,0,0,15,10.5,0,9,19.5,236635.51486088606,54.62772086574465
560210019021228,3,3,0,0,1,2.8,3.6,2.1,8.5,283586.40744402504,7.992870891614214
560210020022013,0,0,0,0,47,32.9,0,28.2,61.1,332637.09756375576,2337.009674636009
560210007021063,46,4,5,37,48,207.9,55.2,106.1,369.2,333672.9750972003,95038.4610610301
560210002002009,0,0,0,0,11,7.7,0,6.6,14.3,333296.88780698425,41457.65705264306
560210020012085,1,1,0,0,15,11.2,1.2,9.5,21.9,10622.879334598942,20.271398951727626
560210015022035,0,0,0,0,21,14.7,0,12.6,27.3,332302.403370231,21336.986595327355
560210005034000,69,0,21,48,227,503.3,82.8,302.1,888.2,332481.02223394316,13299.949626399692
560210010002031,2,0,0,2,11,14.7,2.4,9.4,26.5,333110.5328173081,93241.73163000766
560210015022031,4,0,4,0,9,39.9,4.8,24.2,68.9,332222.2611956496,16511.597157336684
560210002003030,0,0,0,0,42,29.4,0,25.2,54.6,332419.2338696731,11979.604213716206
560210019022153,0,0,0,0,16,11.2,0,9.6,20.8,328744.2524487936,220.01054238400098
560210020021049,0,0,0,0,4,2.8,0,2.4,5.2,536.2249691786689,22.87680873647116
560210013021028,0,0,0,0,27,18.9,0,16.2,35.1,330979.2788911454,16581.6236111357
560210015011014,0,0,0,0,2,1.4,0,1.2,2.6,331908.48447146604,8405.049038988145
560210014013001,0,0,0,0,25,17.5,0,15,32.5,330852.33288498694,14783.687965813642
560210006012010,0,0,0,0,25,17.5,0,15,32.5,332382.89716662583,34227.249726785914
560210010004001,0,0,0,0,36,25.2,0,21.6,46.8,333179.41676889634,97257.60212365196
560210015012003,0,0,0,0,5,3.5,0,3,6.5,328313.1685935482,137.09502312981806
