id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
281039501005002,0,0,0,0,9,6.3,0,5.4,11.7,994.0041158768898,10.995670926335482
281039502003070,0,0,0,0,5,3.5,0,3,6.5,925.9627677985491,5.998122432503886
281039502003089,19,19,0,0,4,16.1,22.8,11.9,50.8,124.19890998251483,49.92980874304534
281039502003124,0,0,0,0,7,4.9,0,4.2,9.1,8536.992759154502,8.999752973549256
280870003011009,21,21,0,0,5,18.2,25.2,13.5,56.9,131409.21682104518,83.80414165997537
280870007003020,0,0,0,0,9,6.3,0,5.4,11.7,171770.91975921966,17331.968668564285
280870004033018,0,0,0,0,14,9.8,0,8.4,18.2,161639.058614544,548.4684768408339
280870009011040,0,0,0,0,4,2.8,0,2.4,5.2,168541.81118936947,3108.0391091162724
280870008004014,4,0,0,4,16,25.2,4.8,15.2,45.2,172786.62983336227,12491.216364258336
280870008002011,0,0,0,0,14,9.8,0,8.4,18.2,171217.2278378306,6084.415373615568
280870005003016,0,0,0,0,114,79.8,0,68.4,148.2,169655.34333250954,8169.571409640099
280870004061020,0,0,0,0,5,3.5,0,3,6.5,154074.503952546,138.42615662903125
280870004054032,12,0,0,12,97,109.9,14.4,75,199.3,168871.32719461084,8169.8752271488365
280870001041003,0,0,0,0,6,4.2,0,3.6,7.8,110434.6937409123,280.50191439521757
280870001021001,0,0,0,0,32,22.4,0,19.2,41.6,90663.38055479187,41.09728324245443
280870003021024,0,0,0,0,3,2.1,0,1.8,3.9,171456.35158616278,826.6946954581481
280870010001102,0,0,0,0,8,5.6,0,4.8,10.4,133710.06293859653,1795.7778937950866
280870004043012,0,0,0,0,5,3.5,0,3,6.5,109744.25593407523,358.26295618503207
280870010001002,0,0,0,0,15,10.5,0,9,19.5,118628.54189171629,23.7791739076639
280870010001020,0,0,0,0,1,0.7,0,0.6,1.3,140053.8218766109,29.940787958571693
280870006002010,0,0,0,0,17,11.9,0,10.2,22.1,169162.41524615107,10339.752818346677
281039501002048,13,13,0,0,7,14,15.6,10.7,40.3,7436.590764824912,39.654248296867394
281039501004011,1,0,1,0,9,14.7,1.2,10.1,26,31125.30023752776,616.6621298697434
281039502003027,0,0,0,0,1,0.7,0,0.6,1.3,713.9221719815006,0.9993581675851647
280870009023022,5,0,0,5,9,23.8,6,12.4,42.2,175064.1050354779,23517.68678413179
281039501002035,7,7,0,0,7,9.8,8.4,7.7,25.9,39504.94322784714,39.873633870246046
280870009022004,0,0,0,0,5,3.5,0,3,6.5,173985.23708001972,17134.441007932768
280870004033027,0,0,0,0,10,7,0,6,13,153959.425257795,145.85055150610756
280870005002011,0,0,0,0,15,10.5,0,9,19.5,167735.7274207812,11892.328813884811
280870001021012,0,0,0,0,14,9.8,0,8.4,18.2,135321.089730438,33.445934251938915
280870004061008,0,0,0,0,5,3.5,0,3,6.5,157822.01493864134,1717.5823073739111
280870004033006,30,0,30,0,1,252.7,36,141.6,430.3,168151.3066001641,3561.5316072343567
280870005001024,0,0,0,0,28,19.6,0,16.8,36.4,168444.99663055938,5727.2233856287185
280870007001014,0,0,0,0,22,15.4,0,13.2,28.6,173852.56633770803,23608.263365597428
280870004033043,0,0,0,0,2,1.4,0,1.2,2.6,155067.55648536945,153.64736748149403
280870003012000,0,0,0,0,2,1.4,0,1.2,2.6,163894.6176782549,27.95504935674023
280870004033011,0,0,0,0,10,7,0,6,13,161554.68952261243,1192.7724414299396
280870003022031,173,42,0,131,63,532,207.6,242.2,981.8,174403.5381898521,25797.496136003694
280870001031010,0,0,0,0,56,39.2,0,33.6,72.8,66290.62534414837,79.28621057458142
280870009022074,0,0,0,0,18,12.6,0,10.8,23.4,174756.3752313249,24275.46128710107
280870004032023,1,1,0,0,46,32.9,1.2,28.1,62.2,158252.32244096271,347.10314281794217
281039502001014,0,0,0,0,8,5.6,0,4.8,10.4,68850.61495215251,1732.1369366879867
281039502001000,2,2,0,0,25,18.9,2.4,16,37.3,72040.9567083215,1404.8181500292828
281039502001012,0,0,0,0,2,1.4,0,1.2,2.6,69621.4612239607,1724.70410375463
281039501003057,0,0,0,0,1,0.7,0,0.6,1.3,10005.756864893383,1.0682634364781494
281039502003047,0,0,0,0,1,0.7,0,0.6,1.3,12419.694144206467,1.0410119909573006
280870009022007,4,0,0,4,12,22.4,4.8,12.8,40,173572.92872545577,16813.83727894625
281039502001031,0,0,0,0,8,5.6,0,4.8,10.4,72935.36466330984,1725.6662956269818
280870007002045,4,0,0,4,5,17.5,4.8,8.6,30.9,172636.28807007012,17413.322073497275
280870009013030,70,0,0,70,9,251.3,84,103.4,438.7,173616.22818720678,17491.507199088028
280870004051039,10,10,0,0,9,13.3,12,10.4,35.7,172213.74887918943,3818.6151051216534
280870001033053,6,0,6,0,11,58.1,7.2,34.8,100.1,60621.37849313185,1595.6477480843737
280870005003019,17,0,1,16,25,81.9,20.4,42.1,144.4,166416.9257225784,4895.034075027002
280870011001033,0,0,0,0,13,9.1,0,7.8,16.9,7094.5558437572345,15.987320430611877
280870004061000,0,0,0,0,29,20.3,0,17.4,37.7,155948.9371397559,290.50599076021615
280870001031014,0,0,0,0,15,10.5,0,9,19.5,104483.74134421238,184.05630088961834
280870003011025,0,0,0,0,29,20.3,0,17.4,37.7,167004.84677079273,153.21067521423151
280870004043010,20,0,0,20,5,73.5,24,31,128.5,128657.9376548365,802.9533582280031
280870007004021,0,0,0,0,7,4.9,0,4.2,9.1,171281.69282968144,10174.28282087213
280870011002032,0,0,0,0,31,21.7,0,18.6,40.3,72783.26761650975,137.4047980771966
280870010001112,0,0,0,0,13,9.1,0,7.8,16.9,135293.49729165537,1771.8083492323708
280870010001128,0,0,0,0,1,0.7,0,0.6,1.3,59570.2966762394,0.9997567309376995
280870004054036,0,0,0,0,4,2.8,0,2.4,5.2,167919.5297684518,7422.975863418932
280870010001058,0,0,0,0,1,0.7,0,0.6,1.3,143490.9387771621,306.6733829870846
280870009022069,0,0,0,0,9,6.3,0,5.4,11.7,175040.57675415167,24107.201914989222
