id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
470879604002000,0,0,0,0,10,7,0,6,13,3889.213216718499,15.847188859588409
471410007003049,32,32,0,0,18,35,38.4,26.8,100.2,318052.1535603629,43815.03390170016
471859351002001,0,0,0,0,15,10.5,0,9,19.5,289182.1682251073,26.638757422048883
471339504001043,0,0,0,0,9,6.3,0,5.4,11.7,54219.48860979247,21.766603715068626
471339502001047,0,0,0,0,9,6.3,0,5.4,11.7,24261.770389771194,13.451964102184407
471339504001003,0,0,0,0,1,0.7,0,0.6,1.3,29594.839058147107,0.9999672382729787
471410005001048,9,0,9,0,1,76.3,10.8,42.9,130,331608.33247547114,62311.863664228345
471410010001046,0,0,0,0,25,17.5,0,15,32.5,185689.99180756023,34.3182668299533
471410001002030,0,0,0,0,22,15.4,0,13.2,28.6,263552.32423109177,3147.714485934096
471410010001009,0,0,0,0,2,1.4,0,1.2,2.6,119393.11396061613,27.957911837404357
471410010002003,0,0,0,0,14,9.8,0,8.4,18.2,207142.80401963854,17.999600711528515
471410010001017,8,8,0,0,10,12.6,9.6,10,32.2,176911.40867860764,35.720312961052755
471410010002021,0,0,0,0,25,17.5,0,15,32.5,113605.42813824321,31.999439437487077
471859350001063,1,0,0,1,9,9.8,1.2,6.8,17.8,15734.5037037109,16.99805562396765
471859350002051,0,0,0,0,7,4.9,0,4.2,9.1,53796.06532648412,22.498582041473053
471859354001046,0,0,0,0,5,3.5,0,3,6.5,203744.33149095907,6414.330445652648
471410010003024,0,0,0,0,1,0.7,0,0.6,1.3,140370.41156690565,1.2316088982766868
471410012011008,7,6,0,1,24,24.5,8.4,18.8,51.7,313122.93941312184,856.3824452450905
471339504001026,0,0,0,0,10,7,0,6,13,46630.129035099824,22.207220903102186
470879602001007,8,1,2,5,177,158.9,9.6,123.1,291.6,59666.214904444845,292.9711442995369
470879603004012,9,0,0,9,26,49.7,10.8,28.2,88.7,146028.91806688678,88.0933854229713
470879603001103,1,0,0,1,1,4.2,1.2,2,7.4,124103.48499401199,300.0149606262838
470879603003013,7,0,0,7,78,79.1,8.4,56.6,144.1,129695.89582995228,144.22363315404476
471410001004091,0,0,0,0,7,4.9,0,4.2,9.1,184201.7684903757,15.071688145146108
471410012012035,0,0,0,0,73,51.1,0,43.8,94.9,271039.35279534844,110.26097767086166
471410002021057,0,0,0,0,10,7,0,6,13,300469.2074144272,150.1479989537881
471410012021034,0,0,0,0,11,7.7,0,6.6,14.3,319601.3228595831,652.8160263319379
470879603004030,0,0,0,0,12,8.4,0,7.2,15.6,137745.18482734865,15.47838528291534
471859353002031,0,0,0,0,7,4.9,0,4.2,9.1,269265.85458663356,15109.03880031212
471859352002031,0,0,0,0,5,3.5,0,3,6.5,56350.26597752431,9.436456418285598
471410008001007,0,0,0,0,4,2.8,0,2.4,5.2,309144.1517079086,30447.16430342252
471410008002021,1,0,0,1,28,23.1,1.2,18.2,42.5,315173.23086216685,5413.410931185262
471859352002004,0,0,0,0,19,13.3,0,11.4,24.7,44197.141504643914,31.777095792403426
471859355002025,0,0,0,0,4,2.8,0,2.4,5.2,82853.32675010922,175.31187565470918
471410003032020,4,0,0,4,59,55.3,4.8,41,101.1,306965.33688334306,5723.126501456824
471410003051007,112,112,0,0,112,156.8,134.4,123.2,414.4,288707.52969342296,664.5619695005447
471410001002019,0,0,0,0,2,1.4,0,1.2,2.6,255686.19230175996,1449.4212830075296
471410010001013,0,0,0,0,4,2.8,0,2.4,5.2,43270.19502176357,4.997695998399306
471410003031010,0,0,0,0,18,12.6,0,10.8,23.4,314567.8494168906,1522.5655550758581
471410001001005,0,0,0,0,1,0.7,0,0.6,1.3,269306.308685269,9.191604372119096
471410003031001,0,0,0,0,17,11.9,0,10.2,22.1,314828.77617659955,1191.957594390586
471859355002027,3,0,3,0,16,36.4,3.6,23.7,63.7,90271.64406196265,142.52378942558224
471410008002007,0,0,0,0,19,13.3,0,11.4,24.7,303383.6894545681,3002.063696766949
471339501002057,0,0,0,0,2,1.4,0,1.2,2.6,1268.490354010689,30.304056804007942
471339505012008,0,0,0,0,16,11.2,0,9.6,20.8,132366.56874888614,38.532106603872045
471339505021017,0,0,0,0,3,2.1,0,1.8,3.9,243772.67950645377,59.23421770982422
471339501001017,0,0,0,0,8,5.6,0,4.8,10.4,36954.58225692237,81.23471638463224
471410001003044,0,0,0,0,4,2.8,0,2.4,5.2,13350.057259271143,25.501200221645444
471410003032007,13,4,0,9,4,37.1,15.6,17,69.7,308379.66776765767,2841.8104159179593
471410002012049,0,0,0,0,6,4.2,0,3.6,7.8,293313.8558101897,57.71512474728282
471410011004047,0,0,0,0,10,7,0,6,13,264751.4269488865,54.15132529825414
471339503012059,0,0,0,0,5,3.5,0,3,6.5,183989.21605124444,16091.377331568552
471410002011023,3,0,0,3,30,31.5,3.6,22.2,57.3,316029.2933416346,883.5553889596613
471410012012016,0,0,0,0,25,17.5,0,15,32.5,291044.8851826587,128.36308538860382
471859352002033,0,0,0,0,36,25.2,0,21.6,46.8,66241.72320552134,46.7150506762198
471339501001025,0,0,0,0,4,2.8,0,2.4,5.2,51948.94983103404,19.237546552476054
470879603001020,23,23,0,0,68,63.7,27.6,52.3,143.6,24314.638636667918,145.97155699893102
471339505011036,3,0,3,0,1,25.9,3.6,14.7,44.2,290525.5547205412,92.36733922022484
471410009003019,39,31,1,7,15,65.1,46.8,39,150.9,302779.2964489346,1648.219649941343
471410002012025,0,0,0,0,24,16.8,0,14.4,31.2,327240.77584504744,10383.998568290599
471410010002014,0,0,0,0,2,1.4,0,1.2,2.6,119040.31773318992,9.014006684359112
471859353003057,256,1,0,255,3,895.3,307.2,359.3,1561.8,274490.12267897214,14613.407641403626
471859355002053,0,0,0,0,10,7,0,6,13,92388.33465203916,266.6405179279781
471410010003052,0,0,0,0,1,0.7,0,0.6,1.3,189616.95800096195,0.999978795991533
471410012012007,0,0,0,0,22,15.4,0,13.2,28.6,300344.8080597909,552.9437068211247
471410010001024,0,0,0,0,20,14,0,12,26,230281.5185935067,33.45832246632393
