id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
080310040032025,93,0,0,93,20,339.5,111.6,142.2,593.3,8919616.22529569,17798.52154500285
080310007051013,5,0,0,5,28,37.1,6,23.8,66.9,9171237.685416058,32285.593310456807
080310009024002,0,0,0,0,27,18.9,0,16.2,35.1,8766866.066998877,16167.123533418639
080310041082024,1,0,0,1,26,21.7,1.2,17,39.9,8027462.780628519,34196.44072267993
080310040031002,1,0,0,1,29,23.8,1.2,18.8,43.8,9102884.1768094,18306.944740478353
080310044062018,13,0,0,13,47,78.4,15.6,46.4,140.4,7851434.976235149,36468.00905604599
080310055021006,0,0,0,0,10,7,0,6,13,8190759.626862486,28098.819996456547
080310069022016,0,0,0,0,28,19.6,0,16.8,36.4,9143555.616196437,34280.894033625715
080310043034019,0,0,0,0,13,9.1,0,7.8,16.9,8851686.243918756,104390.08073916133
080310055031008,0,0,0,0,11,7.7,0,6.6,14.3,7769661.677045563,26956.446540236186
080310032041004,2,0,0,2,69,55.3,2.4,44.2,101.9,8949162.69796601,270836.223160185
080310031011022,88,1,14,73,20,387.8,105.6,180.5,673.9,8882169.223260079,131714.031278027
080310120104005,13,0,0,13,32,67.9,15.6,37.4,120.9,6369346.636288398,66970.89886591771
080310040034025,0,0,0,0,16,11.2,0,9.6,20.8,8857686.649060689,13320.366787055907
080310036023009,3,0,0,3,16,21.7,3.6,13.8,39.1,8764162.06851444,22682.651503999776
080310030051017,4,0,0,4,35,38.5,4.8,26.6,69.9,9451962.290402792,76462.5669127832
080310042022010,5,0,0,5,18,30.1,6,17.8,53.9,8320086.504807877,26824.192532649864
080310042022011,2,0,0,2,23,23.1,2.4,16.6,42.1,8314445.813766941,31328.382141189926
080310042025003,2,0,0,2,18,19.6,2.4,13.6,35.6,8468781.274782488,32030.7617244209
080590103053006,0,0,0,0,30,21,0,18,39,6148264.714525076,22919.692181784085
080590102063007,0,0,0,0,10,7,0,6,13,5836819.591323183,18083.718544902586
080010085541001,0,0,0,0,20,14,0,12,26,4870848.701881343,16572.712971806846
080010601003001,0,0,0,0,13,9.1,0,7.8,16.9,4643987.760614585,11265.656912304961
080010094081034,5,0,0,5,9,23.8,6,12.4,42.2,5292021.40320241,32150.702037409785
080010087091003,6,0,0,6,35,45.5,7.2,29.4,82.1,7899922.52661022,33565.76608800733
080010091041004,7,7,0,0,24,21.7,8.4,17.9,47.99999999999999,5796883.144395021,6757.626182961255
080010085384038,13,0,3,10,70,109.2,15.6,70.1,194.9,4646991.093053267,3141.7097625679203
080010097512010,0,0,0,0,29,20.3,0,17.4,37.7,8274046.213463044,22580.09114896394
080010083551004,0,0,0,0,15,10.5,0,9,19.5,7129164.151080391,9052.055543053139
080010094061019,1,0,0,1,30,24.5,1.2,19.4,45.1,6672982.493581031,16033.637536022325
080010094081048,0,0,0,0,16,11.2,0,9.6,20.8,5526478.557694422,24060.3049224792
080350140152009,2,1,0,1,114,84,2.4,70.3,156.7,6473567.076851293,11357.929716863073
080350140111001,0,0,0,0,17,11.9,0,10.2,22.1,4762578.244207183,1008.695176482691
080050813001010,0,0,0,0,22,15.4,0,13.2,28.6,7577558.991476853,42445.27378148265
080350140135018,14,6,0,8,116,113.4,16.8,83.8,214,2776945.450876495,1767.900676614405
080350141413004,0,0,0,0,37,25.9,0,22.2,48.1,6060644.6444049645,10314.901665218147
080350141152003,0,0,0,0,23,16.1,0,13.8,29.9,6566257.136700196,20732.727343237828
080350140087008,3,0,0,3,56,49.7,3.6,37.8,91.1,5552946.329741435,2822.611473862222
080310009023003,0,0,0,0,17,11.9,0,10.2,22.1,8556410.277348766,18328.308630148367
080310027082008,43,0,0,43,91,214.2,51.6,114.8,380.6,8988081.353113262,603880.9542808735
080310003024001,2,1,0,1,28,23.8,2.4,18.7,44.9,8793288.137021743,47129.415990550915
080310083895003,3,0,0,3,80,66.5,3.6,52.2,122.3,5405007.500667476,5626.801753945122
080310068161010,3,0,0,3,19,23.8,3.6,15.6,43,8712061.330854855,36868.32003777691
080010601003003,1,1,0,0,23,16.8,1.2,14.3,32.3,4982069.9299620995,10985.994490926152
080010096072011,2,0,0,2,24,23.8,2.4,17.2,43.4,7814437.452597602,24033.617537550366
080010085451003,0,0,0,0,22,15.4,0,13.2,28.6,4282463.778674693,9733.320616047109
080010091012002,0,0,0,0,28,19.6,0,16.8,36.4,7122093.778155736,25139.843759992073
080010093084001,2,2,0,0,20,15.4,2.4,13,30.8,8028295.4615579005,19905.891314230164
080399611001112,0,0,0,0,1,0.7,0,0.6,1.3,78.74418586808157,0.9983137432023241
080399611001121,0,0,0,0,1,0.7,0,0.6,1.3,21.453440980008875,0.9765963803288071
080590117232006,266,0,101,165,12,1434.3,319.2,712.9,2466.4,6648610.163647736,21698.633705600205
080590120321001,11,6,0,5,31,43.4,13.2,28.6,85.2,134824.9406401741,126.32490640770892
080310046031000,291,8,98,185,19,1489.6,349.2,735,2573.8,7993999.867184456,29308.767833229365
080310037023007,4,0,0,4,67,60.9,4.8,45.8,111.5,8825146.468811357,105438.92909041587
080310041022005,1,1,0,0,25,18.2,1.2,15.5,34.9,8361174.905769678,60906.11628222577
080050860012005,0,0,0,0,15,10.5,0,9,19.5,4644955.676488142,11710.465613561302
080050836001000,1,1,0,0,244,171.5,1.2,146.9,319.6,7832004.287351565,10332.829865039317
080050839001008,0,0,0,0,14,9.8,0,8.4,18.2,7689652.980899926,10143.876366205759
080050853001013,0,0,0,0,13,9.1,0,7.8,16.9,4997715.658472259,9384.341324951538
080050842001000,61,0,0,61,51,249.2,73.2,115.99999999999999,438.4,6323049.571832656,17415.72215364074
080050071121029,2,0,0,2,23,23.1,2.4,16.6,42.1,3980898.51664729,6013.378128359087
080050860012002,4,0,0,4,23,30.1,4.8,19.4,54.3,4693398.346727102,9143.287589919464
080050059512005,22,0,2,20,13,95.9,26.4,45.2,167.5,8974151.225613147,92111.69568775284
080050074003012,0,0,0,0,37,25.9,0,22.2,48.1,7765966.378389189,54458.25330232474
080050837002006,1,1,0,0,9,7,1.2,5.9,14.1,7595672.326991417,12331.969458351254
080050873021006,0,0,0,0,15,10.5,0,9,19.5,8010585.370758646,26793.37274418101
080050866001020,0,0,0,0,18,12.6,0,10.8,23.4,4202707.579551205,1872.3429485915597
080050056304000,184,0,37,147,35,849.8,220.8,400.7,1471.3,7249558.398459146,22229.938267909572
080350141351018,0,0,0,0,8,5.6,0,4.8,10.4,4437251.250091751,2034.9945808266493
080010085264001,26,1,0,25,149,192.5,31.2,124.9,348.6,4271870.316777698,1673.937686960376
