id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
100010418031029,0,0,0,0,2,1.4,0,1.2,2.6,429816.39101934084,308.3616943411911
100010434003041,2,2,0,0,16,12.6,2.4,10.6,25.6,258908.11337517735,7003.610307610619
100010422031020,0,0,0,0,4,2.8,0,2.4,5.2,476803.77559284307,301.4426440636753
100010434001008,0,0,0,0,3,2.1,0,1.8,3.9,415072.19131964055,1163.9023370832838
100010431001024,0,0,0,0,3,2.1,0,1.8,3.9,24437.471818457772,30.962349419851854
100010431001036,0,0,0,0,1,0.7,0,0.6,1.3,135924.02397551775,18.407439145226245
100010402041075,0,0,0,0,3,2.1,0,1.8,3.9,415018.48510139313,28769.81594646746
100010417014003,8,0,0,8,11,35.7,9.6,17.8,63.1,462300.49075712595,2138.2092394836527
100010434001048,0,0,0,0,7,4.9,0,4.2,9.1,354471.5374707009,50.55703190174772
100010407002002,0,0,0,0,81,56.7,0,48.6,105.3,470438.13569375686,18315.4160730474
100010431002103,2,0,0,2,13,16.1,2.4,10.6,29.1,26292.223619840144,49.21968010589757
100010428022070,3,0,0,3,31,32.2,3.6,22.8,58.6,102589.1465249629,57.52568044826106
100010418042009,2,0,0,2,25,24.5,2.4,17.8,44.7,430322.05471964576,92.48670397288447
100010432023038,0,0,0,0,20,14,0,12,26,471107.40898632543,435.34748409985934
100010429002016,2,2,0,0,37,27.3,2.4,23.2,52.9,142413.1421828115,575.7824031305557
100010434002023,2,0,0,2,21,21.7,2.4,15.4,39.5,219684.5328938273,4988.059426716943
100010410001052,0,0,0,0,7,4.9,0,4.2,9.1,499086.78247402335,57380.60116547278
100010413002007,0,0,0,0,55,38.5,0,33,71.5,500124.6847314949,83969.81553185132
100010422032026,0,0,0,0,12,8.4,0,7.2,15.6,466159.849895701,1510.4619316323806
100010405022010,0,0,0,0,16,11.2,0,9.6,20.8,455580.88636159076,644.5822562969598
100010401002007,0,0,0,0,3,2.1,0,1.8,3.9,344352.7130290102,452.059323359095
100010414001058,657,367,1,289,4,1279.6,788.4,595.2,2663.2,455337.8759794259,3281.203088159425
100010422081016,27,0,0,27,9,100.8,32.4,43.2,176.4,458373.85487768846,755.3097812394383
100010432023033,0,0,0,0,4,2.8,0,2.4,5.2,440018.4715865845,112.88557118402892
100010433001004,709,5,176,528,144,3430.7,850.8,1655.3,5936.8,475363.5186401095,25233.896564763705
100010407003006,0,0,0,0,16,11.2,0,9.6,20.8,470526.03588764975,20878.423668676816
100010428022071,0,0,0,0,4,2.8,0,2.4,5.2,387523.6228134021,495.7782203468523
100010417011014,20,0,15,5,16,154.7,24,87.1,265.8,496387.1403724554,16443.504638395625
100010431001017,4,4,0,0,28,22.4,4.8,18.8,46,75562.58504725157,46.45493144543897
100010432023002,0,0,0,0,9,6.3,0,5.4,11.7,366623.9247667182,11.13201795384471
100010401004012,0,0,0,0,3,2.1,0,1.8,3.9,196469.68436555812,3.9547854890753404
100010405012003,8,8,0,0,64,50.4,9.6,42.4,102.4,462086.26675000094,10156.677329966573
100010402011061,0,0,0,0,16,11.2,0,9.6,20.8,404063.06633644266,6663.899726259078
100010431002021,0,0,0,0,6,4.2,0,3.6,7.8,141759.79767775454,36.89619640858655
100010409001010,0,0,0,0,7,4.9,0,4.2,9.1,494265.3267116099,45060.62639329363
100010407003003,21,0,4,17,2,94.5,25.2,43.8,163.5,481449.9194889337,29438.925075523508
100010417012008,0,0,0,0,10,7,0,6,13,488971.66433758364,10980.522064451232
100010418043001,0,0,0,0,12,8.4,0,7.2,15.6,466937.55117556226,2407.9270916218775
100010419002001,13,7,0,6,32,48.3,15.6,31.1,95,363636.0739487865,153.57177588445154
100010422071020,0,0,0,0,103,72.1,0,61.8,133.9,410681.64001690433,394.27558212884884
100010419003005,61,0,0,61,53,250.6,73.2,117.2,441,242215.61479633866,448.2120578449901
100010417013003,22,0,15,7,82,207.9,26.4,129.5,363.8,491950.65787497105,18948.19402128085
100010401003003,3,3,0,0,35,26.6,3.6,22.5,52.7,171948.78422841174,81.56102777443338
100010402011059,0,0,0,0,6,4.2,0,3.6,7.8,401106.5824040237,7363.748309243559
100010429002014,0,0,0,0,23,16.1,0,13.8,29.9,189796.00987369235,68.47761077241266
100010402052015,0,0,0,0,11,7.7,0,6.6,14.3,419604.6357266009,7747.621854390407
100010430002046,0,0,0,0,15,10.5,0,9,19.5,334824.41673655744,4441.985085211766
100010417011027,1,0,0,1,17,15.4,1.2,11.6,28.2,485976.8472642642,7760.850831565775
100010402043019,0,0,0,0,22,15.4,0,13.2,28.6,407193.0275439255,3257.5137362632136
100010422042041,2,0,2,0,11,24.5,2.4,16,42.9,494738.05700247036,12674.736843392735
100010431002059,0,0,0,0,3,2.1,0,1.8,3.9,139769.08245558245,26.472674009797423
100010413001014,0,0,0,0,12,8.4,0,7.2,15.6,498339.4801056655,57524.92397683203
100010414001020,0,0,0,0,6,4.2,0,3.6,7.8,486974.57601846044,54751.93246399233
100010402042004,0,0,0,0,34,23.8,0,20.4,44.2,379799.1219410978,1799.9072051098856
100010430002021,0,0,0,0,6,4.2,0,3.6,7.8,375239.71692683443,13721.752595389748
100010410003016,602,178,28,396,255,1924.3,722.4,928,3574.7,491399.24635228893,16583.199763411183
100010418031036,5,5,0,0,3,5.6,6,4.3,15.9,406835.068913236,56.744039440615296
100010431001013,0,0,0,0,2,1.4,0,1.2,2.6,53267.48911160147,5.334869568104196
100010417014017,0,0,0,0,7,4.9,0,4.2,9.1,466555.720308409,1056.316650523208
100010412001050,2,0,0,2,13,16.1,2.4,10.6,29.1,490570.82248955936,5840.904082284726
100010430002064,10,0,10,0,4,86.8,12,49.4,148.2,367684.9006080571,13771.274670213337
100010428022064,0,0,0,0,17,11.9,0,10.2,22.1,247547.23613702806,26.86889929226197
100010433003028,4,4,0,0,34,26.6,4.8,22.4,53.8,495507.0213127978,49875.561639026135
100010402012028,0,0,0,0,22,15.4,0,13.2,28.6,397965.7804022069,19253.853613046096
100010410003040,0,0,0,0,14,9.8,0,8.4,18.2,498789.6518167202,1974.0059591022075
100010401001019,81,73,0,8,38,105.7,97.2,70.5,273.4,292693.3120239238,303.2697594943463
100010434001007,393,387,0,6,67,338.8,471.6,242.1,1052.5,396433.55090359645,1151.5013501496305
