id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060250121011025,3,0,0,3,20,24.5,3.6,16.2,44.3,327345.9314828529,38662.10474566097
060250120012002,22,0,0,22,50,112,26.4,60.8,199.2,312974.08024501073,33595.00235969499
060250122013003,20,0,0,20,18,82.6,24,38.8,145.4,326095.4269939246,21676.413725450646
060250114003019,2,0,0,2,13,16.1,2.4,10.6,29.1,360748.01481910393,22791.423120413532
060250120011011,9,0,0,9,45,63,10.8,39.6,113.4,311196.5202343329,25676.089945630578
060250121012019,40,0,10,30,1,189.7,48,89.6,327.3,329400.47098979144,32750.208274158278
060250101021030,0,0,0,0,12,8.4,0,7.2,15.6,34944.71165191464,544.4665440455868
060250106003015,0,0,0,0,9,6.3,0,5.4,11.7,293039.64525230724,18671.93733315447
060250119012049,117,0,0,117,220,563.5,140.4,295.8,999.7,328443.9836538527,16996.96544180879
060250112014013,0,0,0,0,13,9.1,0,7.8,16.9,343236.04443465883,1232.9696721705732
060250120041010,3,0,0,3,18,23.1,3.6,14.999999999999998,41.7,296275.2518405,17401.402806482427
060250123023020,0,0,0,0,1,0.7,0,0.6,1.3,6476.870646192248,77.50602855506303
060250101023018,2,0,0,2,9,13.3,2.4,8.2,23.9,106731.0412280677,3442.8236547553934
060250113031027,0,0,0,0,3,2.1,0,1.8,3.9,329297.02286667033,3076.71089147711
060250123011143,0,0,0,0,6,4.2,0,3.6,7.8,9308.8873091208,516.6416045741914
060250123023296,0,0,0,0,1,0.7,0,0.6,1.3,8059.556788969731,180.96163143057782
060250123023242,0,0,0,0,6,4.2,0,3.6,7.8,7013.261202062833,304.03227000326325
060250122022007,9,0,0,9,36,56.7,10.8,34.2,101.7,316711.3023533847,8840.102494335102
060250118011006,0,0,0,0,34,23.8,0,20.4,44.2,354284.36731613067,15628.886445841228
060250108001055,0,0,0,0,2,1.4,0,1.2,2.6,21076.92624978413,1.9996108242503532
060250101021043,1,0,0,1,12,11.9,1.2,8.6,21.7,39822.42376635848,583.4937485555448
060250112011025,8,0,0,8,19,41.3,9.6,22.6,73.5,353932.2104826768,27836.849270216957
060250110013097,4,4,0,0,5,6.3,4.8,5,16.1,307073.82208835875,16.92116633505128
060250120042017,5,0,0,5,83,75.6,6,56.8,138.4,314772.9414116888,21573.257653581437
060250113032079,0,0,0,0,1,0.7,0,0.6,1.3,320799.43863429426,70.34632792737312
060250119031000,22,0,20,2,39,202.3,26.4,120.2,348.9,307111.00976316974,2723.299788852041
