id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
051399505022059,0,0,0,0,7,4.9,0,4.2,9.1,104775.96170949604,25.00446551847087
051399509001051,0,0,0,0,2,1.4,0,1.2,2.6,111531.81423143088,15203.863523608918
051399501002035,0,0,0,0,2,1.4,0,1.2,2.6,1429.4236181251815,105.01431474550454
051399501002094,0,0,0,0,5,3.5,0,3,6.5,2552.7279515195746,666.1516366623878
051399510002002,446,61,0,385,3,1392.3,535.2,571.3,2498.8,107871.67378710219,2566.0627811292893
051399506005019,0,0,0,0,4,2.8,0,2.4,5.2,111664.60142523088,26883.43061842623
051399503001005,12,12,0,0,6,12.6,14.4,9.6,36.6,97083.37720538751,63.653068675223494
051399506005006,80,69,0,11,3,88.9,96,51.7,236.6,111324.59537349931,36339.29325197088
051399501002048,0,0,0,0,5,3.5,0,3,6.5,2448.0598979202287,793.4859349453806
051399510005021,11,0,1,10,6,47.6,13.2,22.3,83.1,112351.56582716745,12113.946828902757
051399508001044,0,0,0,0,7,4.9,0,4.2,9.1,111133.11659533076,39068.16766051403
051399502005024,0,0,0,0,1,0.7,0,0.6,1.3,96339.01878207603,23.774326749591033
051399501001120,0,0,0,0,4,2.8,0,2.4,5.2,15868.33770399041,18.95563083252676
051399502002053,0,0,0,0,5,3.5,0,3,6.5,104387.63858624245,127.8852862580546
051399508003035,0,0,0,0,15,10.5,0,9,19.5,111756.31921045062,38867.62814404478
051399502001091,0,0,0,0,1,0.7,0,0.6,1.3,104544.37137193793,7.899735280630761
051399509001009,0,0,0,0,23,16.1,0,13.8,29.9,111956.13139380334,29301.103856620695
051399506003006,0,0,0,0,1,0.7,0,0.6,1.3,111397.30664965838,232.24923637747233
051399503002014,0,0,0,0,21,14.7,0,12.6,27.3,96629.46564060745,2030.7328826231972
051399502002019,0,0,0,0,1,0.7,0,0.6,1.3,106932.3091816462,183.50186792136503
