id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
370939702021038,0,0,0,0,2,1.4,0,1.2,2.6,374877.28322042065,7409.4428615825955
370939704023030,4,4,0,0,6,6.999999999999999,4.8,5.6,17.4,64635.128938699076,60.68065742969786
370939701071006,0,0,0,0,34,23.8,0,20.4,44.2,611790.5381347981,1981.2945967013136
370939704022012,0,0,0,0,5,3.5,0,3,6.5,97180.5361984454,70.92175553736651
370939703004063,0,0,0,0,8,5.6,0,4.8,10.4,403688.4922312629,12744.088475591847
370939701083011,0,0,0,0,12,8.4,0,7.2,15.6,762317.568918766,289.5436034052796
370939701071016,0,0,0,0,2,1.4,0,1.2,2.6,528899.810177128,411.6606079802963
370939704011033,0,0,0,0,18,12.6,0,10.8,23.4,398281.095062084,32.12157254688021
370510023011001,0,0,0,0,166,116.2,0,99.6,215.8,902367.1867213702,4025.8742142741958
370510009002000,0,0,0,0,25,17.5,0,15,32.5,914861.1720959014,14398.230362782959
370510016062003,0,0,0,0,33,23.1,0,19.8,42.9,860214.1616641997,4536.6284115690705
370510029001025,0,0,0,0,1,0.7,0,0.6,1.3,101143.89798350848,39.77606097195285
370510020023003,0,0,0,0,33,23.1,0,19.8,42.9,924971.2641206092,15143.672383514024
370939701091009,0,0,0,0,8,5.6,0,4.8,10.4,467635.7760123092,144.9690488484773
370939703005047,524,486,0,38,8,478.8,628.8,301,1408.6,437573.7209812503,4299.441460712629
370510006005017,0,0,0,0,30,21,0,18,39,899500.114187271,5362.221648243514
370510005001004,0,0,0,0,16,11.2,0,9.6,20.8,918651.7467772455,8657.91685918507
370510012005009,0,0,0,0,12,8.4,0,7.2,15.6,894401.6606661449,22822.203427158984
370510006003005,0,0,0,0,10,7,0,6,13,919887.7527894313,27612.715035246954
370510025014000,6,0,0,6,375,283.5,7.2,233.4,524.1,856270.4319219597,1982.1251907312596
370510038002066,0,0,0,0,11,7.7,0,6.6,14.3,901162.5855706469,58520.98126643451
370510019021005,0,0,0,0,8,5.6,0,4.8,10.4,928136.6206076841,11498.827495631907
370510028012041,0,0,0,0,32,22.4,0,19.2,41.6,12700.849602387016,40.88675652960472
370510019031001,4,4,0,0,20,16.8,4.8,14,35.6,900324.0284205595,6364.047723730146
370510019022025,0,0,0,0,15,10.5,0,9,19.5,893910.3943743416,7240.398907036462
370510012005017,0,0,0,0,33,23.1,0,19.8,42.9,890077.637913387,6123.668145513994
