id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
130179604003027,0,0,0,0,15,10.5,0,9,19.5,40730.48936627033,9093.252577733412
130179603002057,0,0,0,0,6,4.2,0,3.6,7.8,40657.76671631091,3625.550316516128
130179605023045,0,0,0,0,8,5.6,0,4.8,10.4,40671.11957226215,14053.174690715614
130179601001087,0,0,0,0,2,1.4,0,1.2,2.6,9640.291297431266,6.463607137998297
130179603003017,0,0,0,0,1,0.7,0,0.6,1.3,40498.70921179132,91.56355271155618
130179605021046,0,0,0,0,2,1.4,0,1.2,2.6,40650.06976553121,15789.043432821161
130179603002059,0,0,0,0,13,9.1,0,7.8,16.9,40721.951921753775,9853.280372208643
130179605021129,10,1,0,9,7,37.1,12,17.3,66.4,40429.339147903185,507.41868802426774
130179605023051,0,0,0,0,1,0.7,0,0.6,1.3,40689.30762663542,15354.888174325568
130179603003035,0,0,0,0,5,3.5,0,3,6.5,40530.611720105546,419.61196481389436
130179603001015,0,0,0,0,1,0.7,0,0.6,1.3,40390.4718487036,131.85934530725
130179603002023,0,0,0,0,13,9.1,0,7.8,16.9,40694.63418631614,4263.319951692918
130179603002014,0,0,0,0,25,17.5,0,15,32.5,40648.7439308452,2351.4016070304897
130179605023066,0,0,0,0,8,5.6,0,4.8,10.4,40677.20943463163,14345.989983650821
130179603002013,30,30,0,0,3,23.1,36,16.8,75.9,40705.152615742045,8249.86728006252
130179605023046,0,0,0,0,8,5.6,0,4.8,10.4,40663.90473073092,14322.587068253408
130179603001033,0,0,0,0,75,52.5,0,45,97.5,40636.87902300912,1489.2870995599594
130179605023044,0,0,0,0,1,0.7,0,0.6,1.3,40678.73818651573,14273.370256994729
130179605022006,0,0,0,0,6,4.2,0,3.6,7.8,40729.46663566721,10411.828052751296
130179603003000,0,0,0,0,60,42,0,36,78,40675.43477507572,1486.2027771759867
130179605021143,0,0,0,0,7,4.9,0,4.2,9.1,40395.91387378955,850.0574486453612
130179605022070,0,0,0,0,6,4.2,0,3.6,7.8,40504.10106944501,1024.9456793115594
130179603001077,0,0,0,0,7,4.9,0,4.2,9.1,40728.04285830071,10409.764490608131
130179605023029,0,0,0,0,1,0.7,0,0.6,1.3,40744.200571707865,13822.488188005784
130179605023047,0,0,0,0,9,6.3,0,5.4,11.7,40671.57987951981,14655.731557909685
130179604003045,0,0,0,0,1,0.7,0,0.6,1.3,40729.729960881654,12882.072799251086
130179603001049,0,0,0,0,11,7.7,0,6.6,14.3,40642.27848971443,4358.02363420823
130179603001092,0,0,0,0,3,2.1,0,1.8,3.9,40531.19804379416,305.9639280535685
130179605021008,0,0,0,0,20,14,0,12,26,40604.65569860473,5439.65440554093
130179605021032,0,0,0,0,10,7,0,6,13,40568.50440144597,2050.70734143563
130179605021034,1,0,0,1,11,11.2,1.2,8,20.4,40491.425715417376,310.66183146648603
130179605021029,0,0,0,0,2,1.4,0,1.2,2.6,40583.462791701204,872.221109611926
130179605022038,0,0,0,0,5,3.5,0,3,6.5,40698.08250259136,12106.784009526293
