id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
010550105041053,3,0,3,0,110,102.2,3.6,80.1,185.9,221543.37406821336,195.1343319458943
010550110021097,0,0,0,0,4,2.8,0,2.4,5.2,234570.62688292842,249.42186643001605
010550101002027,0,0,0,0,10,7,0,6,13,277329.61921582517,6062.926358724038
010550002002054,0,0,0,0,4,2.8,0,2.4,5.2,268545.30371064885,577.8357554082279
010550107002010,0,0,0,0,4,2.8,0,2.4,5.2,256657.10384971145,5.999712485165603
010550002001011,0,0,0,0,17,11.9,0,10.2,22.1,267582.0068532555,1981.582148673654
010550107001064,0,0,0,0,3,2.1,0,1.8,3.9,138675.99822001997,91.08697585136677
010550111002046,0,0,0,0,3,2.1,0,1.8,3.9,40525.48344183591,690.3333919970328
010550102011027,0,0,0,0,21,14.7,0,12.6,27.3,272421.62192435813,9061.853994686679
010550004002010,0,0,0,0,51,35.7,0,30.6,66.3,269560.58354939247,1005.3382297381918
010550101001006,10,10,0,0,30,28,12,23,63,262176.69388152973,153.0022360171412
010550003003007,0,0,0,0,12,8.4,0,7.2,15.6,275442.95008955896,8360.875885507712
010550011001084,0,0,0,0,48,33.6,0,28.8,62.4,266009.37476030964,329.1797656161282
010550009004004,4,4,0,0,19,16.1,4.8,13.4,34.3,269345.37475039624,2323.1184461448856
010550017002020,0,0,0,0,51,35.7,0,30.6,66.3,265875.71035150765,2132.7816116232066
010550013002040,3,0,3,0,13,34.3,3.6,21.9,59.8,273431.5082341101,32001.462713476216
010550004005004,11,0,0,11,32,60.9,13.2,34.6,108.7,258784.39262562554,241.4837564613058
010550110023035,0,0,0,0,32,22.4,0,19.2,41.6,222595.81088329048,50.743118810923974
010550016001060,1446,794,0,652,5,2841.3,1735.2,1312.8,5889.3,267964.68432732107,7275.920824742826
010550006001011,0,0,0,0,22,15.4,0,13.2,28.6,278501.57195581164,3666.64947858298
010550017001041,0,0,0,0,3,2.1,0,1.8,3.9,272031.35265013424,9160.211836934968
010550103002017,0,0,0,0,4,2.8,0,2.4,5.2,250061.93211428623,94.19887855657052
010550102022034,8,0,0,8,1,28.7,9.6,11.8,50.1,275184.02459448046,12501.149413012265
010550005001002,0,0,0,0,6,4.2,0,3.6,7.8,275234.407566326,4486.308939531975
010550105042012,0,0,0,0,63,44.1,0,37.8,81.9,176236.78006930609,100.69465566953042
010550105061011,0,0,0,0,4,2.8,0,2.4,5.2,256203.63953019056,945.8994104387635
010550002001013,0,0,0,0,9,6.3,0,5.4,11.7,266653.4305875011,1437.123332354039
010550109001084,0,0,0,0,2,1.4,0,1.2,2.6,232514.43764847072,62.2152495714519
010550009004012,0,0,0,0,14,9.8,0,8.4,18.2,274116.43913340947,2543.154643740264
010550105041018,0,0,0,0,6,4.2,0,3.6,7.8,256441.83881196764,1762.7111043122727
010550110023013,0,0,0,0,16,11.2,0,9.6,20.8,250877.89747393603,198.32433139727704
010550110013010,0,0,0,0,1,0.7,0,0.6,1.3,93843.05460873197,301.14911327550413
010550104022001,0,0,0,0,1,0.7,0,0.6,1.3,256695.31166028598,2208.7795820911015
010550105053014,77,57,0,20,5,113.4,92.4,59.5,265.3,263851.25376762316,2800.1852281509564
010550110021101,0,0,0,0,1,0.7,0,0.6,1.3,132683.73735777944,31.89995775897709
010550005001008,0,0,0,0,4,2.8,0,2.4,5.2,272206.6201834517,3062.9827909406836
010550011001013,164,0,71,93,8,927.5,196.8,468.7,1593,272965.6847700449,7691.359966348522
010550112001006,0,0,0,0,30,21,0,18,39,270679.3400486287,12319.572962646926
010550111001014,0,0,0,0,1,0.7,0,0.6,1.3,21152.143165141366,12.210391856972576
010550111003058,0,0,0,0,18,12.6,0,10.8,23.4,54476.272472795514,168.34816940190507
010550012002020,2,0,0,2,24,23.8,2.4,17.2,43.4,273565.3499472147,33453.64938410741
010550110021091,0,0,0,0,6,4.2,0,3.6,7.8,105457.82627135752,186.09973297062822
010550016003014,2,0,0,2,24,23.8,2.4,17.2,43.4,269040.2493417668,7082.416285097793
010550106022008,0,0,0,0,3,2.1,0,1.8,3.9,209856.17259584126,79.50265224876442
010550002002043,0,0,0,0,1,0.7,0,0.6,1.3,276255.09824105096,23892.776843489253
010550106011033,0,0,0,0,6,4.2,0,3.6,7.8,265666.9928752244,2871.334318576399
010550105052006,4,0,0,4,29,34.3,4.8,23,62.1,231900.52816335496,88.09395211886934
010550105041015,0,0,0,0,8,5.6,0,4.8,10.4,259554.96526909195,2096.3965489487737
010550107002039,0,0,0,0,2,1.4,0,1.2,2.6,270078.4029705393,1607.207459355559
010550104023012,0,0,0,0,81,56.7,0,48.6,105.3,140327.65561873213,176.22337186529765
010550101002003,0,0,0,0,3,2.1,0,1.8,3.9,272912.88866716955,3851.2792709299156
010550110023033,0,0,0,0,4,2.8,0,2.4,5.2,242219.21874400094,23.06682091251033
010550111002012,0,0,0,0,25,17.5,0,15,32.5,167361.6260510699,34.45121183682451
010550107001012,8,0,8,0,28,86.8,9.6,54.4,150.8,252704.8843095145,181.33756692174657
010550002002050,30,30,0,0,10,28,36,21,85,275156.26955823036,27810.680832473856
010550105032028,20,0,0,20,17,81.9,24,38.2,144.1,216911.2597559948,147.76757180922664
010550016003044,0,0,0,0,3,2.1,0,1.8,3.9,273386.63650555693,15973.510599276853
010550016001028,20,0,0,20,11,77.7,24,34.6,136.3,270759.282184137,4689.795439148918
010550105032009,0,0,0,0,5,3.5,0,3,6.5,261471.26875418826,790.7974858978273
010550011001066,1,0,0,1,26,21.7,1.2,17,39.9,266416.1548163899,319.28699180681167
010550010001026,0,0,0,0,24,16.8,0,14.4,31.2,275589.76042229874,28365.634737850614
010550002002041,0,0,0,0,7,4.9,0,4.2,9.1,275571.71165649284,24804.531303496704
010550111002076,0,0,0,0,6,4.2,0,3.6,7.8,15635.973954660432,8.244716221550108
010550103001002,0,0,0,0,24,16.8,0,14.4,31.2,182604.27969120513,33.19243706734501
010550016003003,0,0,0,0,3,2.1,0,1.8,3.9,272993.1612336531,15843.803302849894
010550016003001,0,0,0,0,7,4.9,0,4.2,9.1,272042.62899410306,14832.174321887976
010550003002002,2,0,0,2,7,11.9,2.4,7,21.3,275926.0347136783,22666.709593902546
010550110011034,0,0,0,0,1,0.7,0,0.6,1.3,112641.57673912197,308.24978025860213
010550105062023,0,0,0,0,1,0.7,0,0.6,1.3,233083.90630525362,22.28965963799439
010550106011038,0,0,0,0,45,31.5,0,27,58.5,263651.6752390774,260.55853804452556
010550102021025,0,0,0,0,3,2.1,0,1.8,3.9,264687.7621549065,3063.9026308079956
010550103003046,0,0,0,0,2,1.4,0,1.2,2.6,190572.71601942892,53.33509287673563
010550106012039,15,15,0,0,10,17.5,18,13.5,49,260383.4421280144,2307.308747237836
010550007002001,0,0,0,0,37,25.9,0,22.2,48.1,278002.3157977132,7581.967721948412
010550107001021,0,0,0,0,8,5.6,0,4.8,10.4,197407.11749690847,189.02756048753747
010550106012024,0,0,0,0,12,8.4,0,7.2,15.6,255117.57751184292,2631.1380469860537
