id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
240430007001006,126,103,0,23,22,168,151.2,96.9,416.1,619558.0062598475,54212.03948948486
240430007002001,0,0,0,0,22,15.4,0,13.2,28.6,622602.4438433016,52652.106481547606
240430007002010,0,0,0,0,31,21.7,0,18.6,40.3,620183.3275382647,47535.13944435371
240430005001011,0,0,0,0,22,15.4,0,13.2,28.6,628821.819715147,50332.47341911142
240430106002026,0,0,0,0,15,10.5,0,9,19.5,96282.12108006919,20.13291142215953
240430107003026,31,0,12,19,10,174.3,37.2,89,300.5,113643.29383801213,4911.978035608819
240430006011016,0,0,0,0,23,16.1,0,13.8,29.9,586935.2533483076,23183.298033928437
240430108033001,0,0,0,0,5,3.5,0,3,6.5,582659.3329750542,84.6579653363139
240430004002004,0,0,0,0,32,22.4,0,19.2,41.6,626211.0210110674,46049.507262186904
240430109022027,0,0,0,0,14,9.8,0,8.4,18.2,248618.71896052148,38.46410745939765
240430106001026,39,39,0,0,15,37.8,46.8,28.5,113.1,262261.7023522568,114.17887361784554
240430102003015,0,0,0,0,14,9.8,0,8.4,18.2,510365.38842694834,1642.0298152270846
240430010012030,70,0,58,12,27,548.1,84,305.6,937.7,678071.396216302,13991.62229007979
240430106001013,0,0,0,0,9,6.3,0,5.4,11.7,277617.41765783867,52.4391364123466
240430115012013,9,3,0,6,73,74.2,10.8,53.7,138.7,50512.03553489609,148.64489186241371
240430006022013,2,0,0,2,73,58.1,2.4,46.6,107.1,603367.8083183406,35680.69253619959
240430112032001,0,0,0,0,18,12.6,0,10.8,23.4,541860.2247981939,2736.4066765073862
240430115011064,0,0,0,0,4,2.8,0,2.4,5.2,421160.8929008746,84.59614472387278
240430104022034,15,2,0,13,29,67.2,18,36.6,121.8,618390.1708306641,9965.132595036463
240430104011035,29,0,0,29,7,106.4,34.8,44.8,186,615657.519310467,7467.354184044105
240430116001074,0,0,0,0,3,2.1,0,1.8,3.9,561448.0234644983,1477.4028462313615
240430003011003,0,0,0,0,2,1.4,0,1.2,2.6,580312.3960526838,7897.1152146832455
240430010021002,49,0,0,49,22,186.9,58.8,81.8,327.5,664676.6845262749,17190.533908556965
240430114002038,0,0,0,0,4,2.8,0,2.4,5.2,457249.06535665586,5299.388170205175
240430116001002,0,0,0,0,8,5.6,0,4.8,10.4,455447.33542615635,28.06627405135107
240430115021021,0,0,0,0,18,12.6,0,10.8,23.4,41595.210951815025,77.58699402714126
240430003011040,1,1,0,0,15,11.2,1.2,9.5,21.9,630796.9579545613,36743.32471108273
240430104022046,0,0,0,0,14,9.8,0,8.4,18.2,610382.2382173374,9776.045824624332
240430111004004,0,0,0,0,11,7.7,0,6.6,14.3,613090.3586659256,963.0795066723764
240430114002024,14,0,0,14,21,63.7,16.8,32.2,112.7,476921.0214430761,5815.3828574545505
240430108033025,23,9,0,14,44,86.1,27.6,50.5,164.2,655502.6772200598,4159.127369543514
240430112022009,7,0,4,3,11,51.8,8.4,29.6,89.8,469323.1726271728,1513.1504886375913
240430107002025,0,0,0,0,11,7.7,0,6.6,14.3,12482.097537183361,13.999408243491285
240430117002008,10,10,0,0,25,24.5,12,20,56.5,418703.9120944259,157.71176356803372
240430106003019,0,0,0,0,17,11.9,0,10.2,22.1,252442.86926474582,22.41541522487971
