id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
300490005032044,0,0,0,0,19,13.3,0,11.4,24.7,280798.9661905007,11662.346914275735
300490005041032,42,4,1,37,11,148.4,50.4,65.1,263.9,282557.90856555104,41406.28595653055
300490004004011,0,0,0,0,1,0.7,0,0.6,1.3,260415.17147139416,2.6449506386256196
300490002001177,14,14,0,0,3,11.9,16.8,8.8,37.5,124960.89601060358,36.99602900713543
300490008003022,0,0,0,0,22,15.4,0,13.2,28.6,281169.1024092777,65381.835706144484
300490003001039,0,0,0,0,2,1.4,0,1.2,2.6,702.2867488516011,1.999921929068798
300490011012043,4,0,0,4,31,35.7,4.8,24.2,64.7,283865.9144759164,13070.08590360997
300490007021015,0,0,0,0,23,16.1,0,13.8,29.9,272710.4472716463,2472.8761358707247
300490007012015,0,0,0,0,3,2.1,0,1.8,3.9,278556.8173771396,14341.151116099149
300490008003001,339,0,0,339,5,1190,406.8,477.6,2074.4,278914.1938671391,55100.02560475056
300490010004052,0,0,0,0,8,5.6,0,4.8,10.4,282153.0113190658,57740.20915800117
300490007022006,1,0,0,1,12,11.9,1.2,8.6,21.7,280314.33642814605,35888.54721347311
300490005011010,0,0,0,0,14,9.8,0,8.4,18.2,274920.6819562295,321.7308662641419
300490003002052,0,0,0,0,1,0.7,0,0.6,1.3,264038.32854218356,112.3109182163377
300490001001172,0,0,0,0,6,4.2,0,3.6,7.8,1101.2565835157382,831.3682772057085
300490007022034,0,0,0,0,7,4.9,0,4.2,9.1,279844.3254499876,51055.176341267965
300490007025011,0,0,0,0,11,7.7,0,6.6,14.3,279735.6303693204,16531.5042158584
300490005011023,2,0,0,2,38,33.6,2.4,25.6,61.6,275389.0068757186,662.879104041208
300490009004045,0,0,0,0,70,49,0,42,91,281392.5393831512,81541.54903615553
300490012013046,0,0,0,0,1,0.7,0,0.6,1.3,238693.6951817983,0.9978743063023896
300490007011023,0,0,0,0,32,22.4,0,19.2,41.6,275978.9170205577,385.6393550328966
300490006002017,0,0,0,0,13,9.1,0,7.8,16.9,234581.97455750348,22.764033380285284
300490007012042,0,0,0,0,3,2.1,0,1.8,3.9,277024.9663466458,10984.344346899657
300490010003010,0,0,0,0,8,5.6,0,4.8,10.4,281617.17064137314,66714.98772370922
300490010002005,13,2,0,11,182,167.3,15.6,125.6,308.5,279355.3259589932,15582.897064076833
300439622011013,3,3,0,0,18,14.7,3.6,12.3,30.6,280076.7627894964,135.8707046985857
300439622023096,0,0,0,0,7,4.9,0,4.2,9.1,156700.4902114254,3571.804854150605
300070002003047,2,0,0,2,14,16.8,2.4,11.2,30.4,109101.35494651631,185.056863095063
300490007012033,0,0,0,0,7,4.9,0,4.2,9.1,277552.7361340465,11834.210240262
300439623002055,11,11,0,0,1,8.4,13.2,6.1,27.7,5380.557318014837,60.07795763653436
300439622022022,0,0,0,0,1,0.7,0,0.6,1.3,250788.88543652857,166.2407732549099
300439622012010,3,1,0,2,16,18.9,3.6,12.9,35.4,282783.0610306255,92.48060124983057
300439622012033,8,7,0,1,124,95.2,9.6,79.3,184.1,264477.9293935107,252.109320245004
300439622022082,0,0,0,0,1,0.7,0,0.6,1.3,263866.3308638251,38.02406603749587
300439623001197,0,0,0,0,2,1.4,0,1.2,2.6,41.17635025979336,1.8609492679782174
300070001002044,0,0,0,0,5,3.5,0,3,6.5,17591.794490896194,4909.559344741768
300070002003009,0,0,0,0,14,9.8,0,8.4,18.2,217578.0928185818,18.790385882298956
300070002001390,0,0,0,0,6,4.2,0,3.6,7.8,1282.7839612366088,19.61853129198654
