id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
212339604004027,0,0,0,0,11,7.7,0,6.6,14.3,15122.3050346111,3498.870230410512
212339604002058,0,0,0,0,1,0.7,0,0.6,1.3,13696.764326609575,1.9173200977791174
212339604002005,0,0,0,0,1,0.7,0,0.6,1.3,14898.616319385514,234.13244793048193
212339604002072,0,0,0,0,1,0.7,0,0.6,1.3,13009.018135065218,1.9968286980528374
212339603002038,0,0,0,0,2,1.4,0,1.2,2.6,13238.714234858227,2.224427614644311
212339604003038,0,0,0,0,5,3.5,0,3,6.5,15562.267430965796,4112.168755911799
211010205012007,0,0,0,0,8,5.6,0,4.8,10.4,120831.76464563861,14848.088124074497
211010209022007,14,4,10,0,6,91,16.8,52.6,160.4,118188.98862075058,173.12743247006642
211010209022050,0,0,0,0,1,0.7,0,0.6,1.3,123318.47773766334,710.2345353709452
212339601001174,0,0,0,0,3,2.1,0,1.8,3.9,20454.655329883997,16.693225330648374
212339601001067,0,0,0,0,2,1.4,0,1.2,2.6,112600.91864659861,2608.800198425661
211010202001046,10,10,0,0,6,11.2,12,8.6,31.8,122293.06252704661,21506.197343240856
211010207031015,0,0,0,0,11,7.7,0,6.6,14.3,120228.08844230878,3226.385735276744
211010201011005,13,0,0,13,18,58.1,15.6,29,102.7,123688.61990058156,22853.797228268366
211010208001065,0,0,0,0,12,8.4,0,7.2,15.6,116102.34452057518,99.85493148686756
211010206032006,2,0,0,2,108,82.6,2.4,67.6,152.6,120222.79370531844,2405.632038792116
211010209021050,0,0,0,0,13,9.1,0,7.8,16.9,93124.69044784523,409.3871100704792
212339601004149,0,0,0,0,4,2.8,0,2.4,5.2,47198.742242917266,145.0631605378667
212339601001071,0,0,0,0,5,3.5,0,3,6.5,115370.07074861684,2301.260204559029
211010208002012,0,0,0,0,3,2.1,0,1.8,3.9,121750.92786713259,5.0447259516896406
212339603001067,1,1,0,0,2,2.1,1.2,1.7,5,7220.177205715685,39.14646570079945
212339601001007,0,0,0,0,1,0.7,0,0.6,1.3,107801.78845899268,193.07466970122857
212339604001067,0,0,0,0,4,2.8,0,2.4,5.2,15742.662615408615,3602.94646827428
212339603002106,0,0,0,0,19,13.3,0,11.4,24.7,15430.844946054269,1972.1104373188957
212339604002045,22,22,0,0,62,58.8,26.4,48.2,133.4,15210.385332830774,2961.4157088072534
212339601004116,0,0,0,0,2,1.4,0,1.2,2.6,32379.3294532717,124.83362385842823
212339603002091,0,0,0,0,5,3.5,0,3,6.5,15778.522112986939,1704.580797836298
212339604004015,0,0,0,0,7,4.9,0,4.2,9.1,15202.138757978864,3444.839679905981
211010208001005,0,0,0,0,3,2.1,0,1.8,3.9,110982.40042463521,6.642757196252155
212339601001030,0,0,0,0,4,2.8,0,2.4,5.2,113186.31485863109,1192.93510083643
211010203001014,1,0,0,1,19,16.8,1.2,12.8,30.8,122675.10162868451,20310.10584941055
211010205012015,0,0,0,0,17,11.9,0,10.2,22.1,121525.3306637588,11972.849568291938
211010205011006,3,0,0,3,51,46.2,3.6,34.8,84.6,123164.78666423527,7885.427260603122
212339602001022,12,0,0,12,2,43.4,14.4,17.999999999999996,75.8,13746.771120947646,192.31214890453307
211010209023051,0,0,0,0,20,14,0,12,26,112800.32017228981,477.25019752078
212339601003036,0,0,0,0,1,0.7,0,0.6,1.3,68814.42589709524,41.86401263724306
212339603002028,2,2,0,0,3,3.5,2.4,2.8,8.7,11818.466212864312,8.88369894851776
212339603001036,0,0,0,0,9,6.3,0,5.4,11.7,15086.740104780172,1897.968959565848
212339601001123,0,0,0,0,2,1.4,0,1.2,2.6,19534.63183478259,25.945943669788534
212339604004022,0,0,0,0,8,5.6,0,4.8,10.4,15162.655871446213,3473.858733473825
