id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
484717905002000,0,0,0,0,18,12.6,0,10.8,23.4,204812.9315275232,9615.072991703713
484717907004003,6,3,0,3,44,43.4,7.2,32.1,82.7,201797.19180588343,971.2142676733279
484717905004030,0,0,0,0,8,5.6,0,4.8,10.4,205873.29079673364,38140.63111832942
484717907001018,0,0,0,0,15,10.5,0,9,19.5,204431.12694695595,9479.775928289613
484717903021017,0,0,0,0,10,7,0,6,13,197764.251274655,980.5029141315633
484717901011122,0,0,0,0,6,4.2,0,3.6,7.8,182521.94488114057,22.34350120284735
484717903024035,0,0,0,0,5,3.5,0,3,6.5,191293.74811867016,210.09283884186294
484717905002011,0,0,0,0,35,24.5,0,21,45.5,200879.63648022167,10285.379012418856
484717903024024,0,0,0,0,5,3.5,0,3,6.5,61081.87972133252,31.20425657691992
484717901031032,0,0,0,0,3,2.1,0,1.8,3.9,187234.230807175,662.0130773982672
484717903023014,0,0,0,0,22,15.4,0,13.2,28.6,195809.59798929363,939.5372062340241
484717901021042,0,0,0,0,2,1.4,0,1.2,2.6,188994.59196520151,1.9999671263914152
484717901031072,0,0,0,0,4,2.8,0,2.4,5.2,37541.763350729816,67.47524745482909
484717903021018,0,0,0,0,17,11.9,0,10.2,22.1,198125.29318567037,935.1061844341879
484717902001017,0,0,0,0,2,1.4,0,1.2,2.6,201190.77169143135,952.9561939639987
484717901021001,0,0,0,0,2,1.4,0,1.2,2.6,152469.55805675572,291.30828848255595
484717901021002,32,0,0,32,4,114.8,38.4,47.2,200.4,150962.66386028283,288.72991350829005
484717901032029,0,0,0,0,4,2.8,0,2.4,5.2,189021.2410685758,15.496245861505047
484717903021014,0,0,0,0,14,9.8,0,8.4,18.2,202399.5806522484,1337.972192871319
484717901031057,0,0,0,0,4,2.8,0,2.4,5.2,129537.21289023836,86.44723297081471
484717903022003,9,7,0,2,64,56.7,10.8,44.7,112.2,199488.06923018268,633.6804465833336
484717903021005,6,2,0,4,11,23.1,7.2,13.2,43.5,201377.62195935225,1650.224084552688
484717905003017,0,0,0,0,12,8.4,0,7.2,15.6,205594.665755854,64010.624616512425
484717903022031,0,0,0,0,10,7,0,6,13,44064.83388630298,24.892017508263535
484717905004001,134,14,99,21,481,1251.6,160.8,790.3,2202.7,204811.69540368253,7897.970859279814
484717902004038,0,0,0,0,7,4.9,0,4.2,9.1,182789.99882239054,1789.1726764529433
484717901031075,0,0,0,0,3,2.1,0,1.8,3.9,60746.93393289391,442.9860607959817
484717902003027,0,0,0,0,35,24.5,0,21,45.5,203195.23001072236,230.2223759748957
484717903023057,8,4,0,4,8,22.4,9.6,12.4,44.4,192607.04143010982,585.4366156985557
484717903023061,0,0,0,0,19,13.3,0,11.4,24.7,194214.23832802495,1052.5184718088012
484717907001021,0,0,0,0,3,2.1,0,1.8,3.9,205807.3750749381,81058.43873484168
484717905002036,0,0,0,0,13,9.1,0,7.8,16.9,203577.06670975633,24450.217145400697
