id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
482730204023007,8,0,5,3,6,56.7,9.6,31.3,97.6,77571.00543086966,17190.586533707483
482730203012022,3,0,0,3,18,23.1,3.6,14.999999999999998,41.7,77237.02829820101,30851.46455018427
482730202004019,13,0,0,13,3,47.6,15.6,20,83.2,77509.0808997108,19209.930414975464
482730204013007,0,0,0,0,29,20.3,0,17.4,37.7,77582.357063923,5839.86562861428
482730205023008,104,5,9,90,4,396.9,124.8,173.2,694.9,77515.75192639575,20710.80121209093
482730201011054,0,0,0,0,4,2.8,0,2.4,5.2,63273.83005558697,268.9696153567624
482730201022278,0,0,0,0,3,2.1,0,1.8,3.9,66212.78274765235,2.9960142434570267
482730205022031,0,0,0,0,7,4.9,0,4.2,9.1,77581.2056068173,18338.650552410527
482730202001054,1,0,1,0,4,11.2,1.2,7.1,19.5,77481.46406916292,22189.242899499503
482730203021007,5,0,0,5,22,32.9,6,20.2,59.1,77248.7182122142,22969.428508627534
482730202001046,0,0,0,0,14,9.8,0,8.4,18.2,77522.61709903672,20391.91024825351
482730205021014,0,0,0,0,54,37.8,0,32.4,70.2,77573.73341584773,15314.968371260946
482730204021033,0,0,0,0,10,7,0,6,13,77282.69245623653,16613.006529609174
482730205011020,0,0,0,0,16,11.2,0,9.6,20.8,77624.57072511774,11883.772774841893
482730201022289,0,0,0,0,8,5.6,0,4.8,10.4,65002.99541652935,300.0294983530489
482730204021059,0,0,0,0,5,3.5,0,3,6.5,77392.31130121624,7043.482748895733
482730203011001,24,16,0,8,141,137.9,28.8,103.8,270.5,76999.4619092894,2198.704637327229
482730203011025,0,0,0,0,17,11.9,0,10.2,22.1,77114.33052995944,18624.012804076858
482730201021024,0,0,0,0,71,49.7,0,42.6,92.3,60294.05583331373,91.99199176468788
482730202003020,0,0,0,0,13,9.1,0,7.8,16.9,77409.50210122655,9580.432013871052
482730202001028,0,0,0,0,11,7.7,0,6.6,14.3,77374.74115320564,18166.769468181228
482730202005010,8,0,0,8,6,32.2,9.6,14.8,56.6,77570.56072909725,20286.044846754492
482730201011038,0,0,0,0,1,0.7,0,0.6,1.3,69010.67563570784,555.6168475172099
482730205022029,38,0,3,35,6,151.9,45.6,66.7,264.2,77619.80424100521,17042.67839479334
482730204022011,0,0,0,0,22,15.4,0,13.2,28.6,77238.60865121012,25487.65863252837
