id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
121050144012003,0,0,0,0,12,8.4,0,7.2,15.6,746575.1388986639,2542.932342462869
121050123072008,0,0,0,0,7,4.9,0,4.2,9.1,688329.7632738618,345.119531240754
121050153021044,0,0,0,0,8,5.6,0,4.8,10.4,166100.82536709215,103.00319907483588
121050153012003,1,1,0,0,17,12.6,1.2,10.7,24.5,1156495.283930712,678.9323822906183
121050157023029,0,0,0,0,2,1.4,0,1.2,2.6,20474.649104902197,2.257388207876641
121050107022001,0,0,0,0,14,9.8,0,8.4,18.2,1340972.775475634,41758.32384899288
121050139011011,4,0,0,4,13,23.1,4.8,13.4,41.3,1203968.0918656774,43460.672172446495
121050141301048,0,0,0,0,10,7,0,6,13,592910.3011489599,665.0696397701585
121050125112007,2,0,0,2,41,35.7,2.4,27.4,65.5,108956.49542385277,2110.029896059846
121050124131056,0,0,0,0,10,7,0,6,13,449268.1446227535,808.1550244825422
121050141302063,0,0,0,0,8,5.6,0,4.8,10.4,573152.004962948,223.93705721088733
121050141302036,0,0,0,0,16,11.2,0,9.6,20.8,691033.5471692727,54.50574261137904
121050125122034,0,0,0,0,15,10.5,0,9,19.5,57636.266844551326,1437.1678563026971
121050149041002,0,0,0,0,17,11.9,0,10.2,22.1,825330.0849663793,137.054689202948
121050138013023,0,0,0,0,14,9.8,0,8.4,18.2,1250131.8460635801,5699.5413452320245
121050137011009,72,0,0,72,20,266,86.4,112.8,465.2,1189356.9136072695,47370.79156237988
121050115021036,5,4,0,1,107,81.2,6,67.6,154.8,927209.8114252544,3462.9835986512385
121050119081005,0,0,0,0,36,25.2,0,21.6,46.8,920814.2831870874,731.6687821409932
121050142031011,0,0,0,0,14,9.8,0,8.4,18.2,83298.8451926589,25.350153268910134
121050142033017,0,0,0,0,6,4.2,0,3.6,7.8,267623.5685759035,776.8474132687275
121050149052008,0,0,0,0,10,7,0,6,13,918007.284221631,1691.2140393445482
121050140013006,0,0,0,0,4,2.8,0,2.4,5.2,677824.0173466227,914.0072870717898
121050121321011,0,0,0,0,17,11.9,0,10.2,22.1,672255.4707034822,1721.7518853526847
121050131021043,0,0,0,0,13,9.1,0,7.8,16.9,1358117.7490036064,13287.730587816235
121050134003015,0,0,0,0,32,22.4,0,19.2,41.6,1196917.502073354,5496.108151371556
121050131021068,1,0,0,1,13,12.6,1.2,9.2,23,1460216.1078360404,15833.245096402874
121050138023012,0,0,0,0,8,5.6,0,4.8,10.4,1359506.9676111417,3103.460851346366
121050138024044,0,0,0,0,50,35,0,30,65,1370538.6075036456,5287.203749655942
121050133001032,0,0,0,0,4,2.8,0,2.4,5.2,1219574.8405833708,9050.205380360416
121050103003009,0,0,0,0,8,5.6,0,4.8,10.4,1312720.832584016,7454.593956373668
121050119121012,12,0,12,0,60,142.8,14.4,92.4,249.6,976006.9944949427,6154.781488551902
121050141292015,0,0,0,0,4,2.8,0,2.4,5.2,216521.21809197613,394.8727299370248
121050121261020,0,0,0,0,14,9.8,0,8.4,18.2,989220.1097485994,4098.007957784727
121050126011006,0,0,0,0,2,1.4,0,1.2,2.6,658227.5777450856,5332.396533634054
121050151011031,0,0,0,0,8,5.6,0,4.8,10.4,1202674.192600978,70720.95025006766
121050104012011,0,0,0,0,1,0.7,0,0.6,1.3,1288228.7309093827,54180.08445097247
121050147011050,0,0,0,0,4,2.8,0,2.4,5.2,1390483.7782684567,6480.327312922751
121050147012010,0,0,0,0,3,2.1,0,1.8,3.9,1288787.0548813632,5320.586647956008
121050119092006,0,0,0,0,14,9.8,0,8.4,18.2,1129528.0905584125,2150.430953938672
121050129002004,3,3,0,0,7,6.999999999999999,3.6,5.7,16.3,1094274.4748418366,3946.90271683153
121050129004041,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,1135853.6117054445,5598.437142357204
121050119111006,0,0,0,0,46,32.2,0,27.6,59.8,936001.2864651756,1554.8324241818818
121050141232021,0,0,0,0,22,15.4,0,13.2,28.6,701002.0008722161,1745.3705023020727
121050125081007,0,0,0,0,8,5.6,0,4.8,10.4,551913.9228048153,1526.5312084153893
121050128032040,0,0,0,0,7,4.9,0,4.2,9.1,1008307.4949758817,1628.6661027009898
121050160011011,0,0,0,0,24,16.8,0,14.4,31.2,411890.29113976686,1312.726390015821
121050118321008,6,6,0,0,9,10.5,7.2,8.4,26.1,1347815.8093950795,3004.199256467222
121050164001005,7,0,7,0,3,60.9,8.4,34.7,104,1358114.391812742,89569.90242270005
121050118322064,0,0,0,0,1,0.7,0,0.6,1.3,1395532.834276866,5280.260047205511
121050138024032,2,0,0,2,13,16.1,2.4,10.6,29.1,1341974.973637985,4417.6953621612975
121050156002047,0,0,0,0,1,0.7,0,0.6,1.3,32460.714236147815,194.82435483648442
121050126012004,0,0,0,0,1,0.7,0,0.6,1.3,617289.6157483438,9670.261904358036
121050121333003,0,0,0,0,21,14.7,0,12.6,27.3,677414.4273212443,609.5472612954057
121050148042029,0,0,0,0,5,3.5,0,3,6.5,1100845.5975719728,7309.679784924063
121050147011007,0,0,0,0,21,14.7,0,12.6,27.3,1415672.1235655155,3301.1493501641075
121050130023037,0,0,0,0,59,41.3,0,35.4,76.7,1203020.8405767877,1865.9353815703482
121050121321002,0,0,0,0,28,19.6,0,16.8,36.4,645185.6380473578,465.9948449131153
121050105023014,0,0,0,0,11,7.7,0,6.6,14.3,1314897.4833900055,10795.260144399448
121050107011027,0,0,0,0,14,9.8,0,8.4,18.2,1215254.9722592419,25222.63187509805
121050160031038,0,0,0,0,2,1.4,0,1.2,2.6,336081.2460742265,1100.4304553479276
121050140013018,0,0,0,0,26,18.2,0,15.6,33.8,854008.7112631734,10253.206130299433
121050125081032,0,0,0,0,25,17.5,0,15,32.5,626174.0983458316,2573.6408137617354
121050112021006,0,0,0,0,6,4.2,0,3.6,7.8,1316780.448310171,67167.77822652573
121050121332007,5,5,0,0,10,10.5,6,8.5,25,730199.175584943,2151.9107817111994
121050124052046,0,0,0,0,11,7.7,0,6.6,14.3,210469.7863453471,2071.5752648488256
121050137024015,0,0,0,0,30,21,0,18,39,814523.4026327904,6546.547514720263
121050149062008,4,0,0,4,39,41.3,4.8,29,75.1,800506.5304286475,1634.7930116276175
121050121132012,0,0,0,0,97,67.9,0,58.2,126.1,932033.4820376392,2306.956872224937
121050144011037,7,0,0,7,71,74.2,8.4,52.4,135,610506.1228449441,20697.88506112632
121050157022016,0,0,0,0,9,6.3,0,5.4,11.7,123636.54536268444,1611.698178002615
121050137023003,0,0,0,0,22,15.4,0,13.2,28.6,768921.3977388017,1131.3630181619938
121050152001019,19,19,0,0,2,14.7,22.8,10.7,48.2,1280168.6870870278,33990.03368986114
121050120023031,0,0,0,0,14,9.8,0,8.4,18.2,1190183.9513897214,10855.35894461447
121050118322044,2,2,0,0,98,70,2.4,59.8,132.2,1320841.915845696,3420.1117072976285
121050157021023,0,0,0,0,14,9.8,0,8.4,18.2,91203.01202535135,2246.662980206571
121050156002093,2,2,0,0,3,3.5,2.4,2.8,8.7,38593.38924347271,58.851919068579946
121050128032031,0,0,0,0,6,4.2,0,3.6,7.8,839224.3840391074,429.1586077261219
121050124051009,5,0,0,5,2,18.9,6,8.2,33.1,393271.4497626527,269.3943264804278
121050149063029,0,0,0,0,18,12.6,0,10.8,23.4,1006957.2352826743,6123.438936598181
121050136022014,0,0,0,0,10,7,0,6,13,1168822.8210748285,33990.69679686924
121050128033038,0,0,0,0,29,20.3,0,17.4,37.7,861913.0127091666,1212.0711779243682
121050128032016,0,0,0,0,24,16.8,0,14.4,31.2,486284.75488499034,426.33487137256617
121050125101005,0,0,0,0,8,5.6,0,4.8,10.4,91540.42456261168,1122.5966052460265
121050125121001,0,0,0,0,8,5.6,0,4.8,10.4,135332.30915341238,559.53584802431
121050106011013,0,0,0,0,30,21,0,18,39,1276357.809722405,33346.976764377505
121050160021057,0,0,0,0,3,2.1,0,1.8,3.9,424643.27518182684,5055.770592802617
121050114003006,0,0,0,0,15,10.5,0,9,19.5,1126090.5001149292,14701.100718751462
121050121261038,1928,21,1560,347,18,14345.8,2313.6,7839.1,24498.5,1172914.972316731,49893.301598334016
121050145014075,71,12,3,56,49,263.9,85.2,127.9,476.99999999999994,860944.7678321119,746.003861690692
121050156002185,0,0,0,0,3,2.1,0,1.8,3.9,40298.42199888894,91.81333739416385
121050118343022,0,0,0,0,1,0.7,0,0.6,1.3,1425510.4185849794,1651.4341721101575
121050116041002,2,0,0,2,12,15.4,2.4,10,27.8,1436769.4917078444,15385.72656037979
121050117042009,0,0,0,0,10,7,0,6,13,1357965.6439540144,13184.674810946157
121050113002017,2,2,0,0,50,36.4,2.4,31,69.8,1310875.1834577776,69129.1911362274
121050142011002,0,0,0,0,12,8.4,0,7.2,15.6,378724.9002564701,211.85521559090444
121050112031006,0,0,0,0,25,17.5,0,15,32.5,1181170.798526108,6892.882189482825
121050122091007,0,0,0,0,28,19.6,0,16.8,36.4,918175.2747284889,3899.4106220436756
121050141301000,0,0,0,0,24,16.8,0,14.4,31.2,624652.1522794708,401.87617727771334
121050138012021,0,0,0,0,6,4.2,0,3.6,7.8,1299102.4115556,6328.926082821319
121050112023014,0,0,0,0,9,6.3,0,5.4,11.7,1254385.0486094574,24238.005939835053
121050137022021,2,2,0,0,22,16.8,2.4,14.2,33.4,1100186.147400327,47413.4863303497
121050137024030,0,0,0,0,15,10.5,0,9,19.5,878983.1215222644,2436.498294391439
121050141273025,0,0,0,0,8,5.6,0,4.8,10.4,179112.86905941926,205.86929436932266
121050127022042,0,0,0,0,7,4.9,0,4.2,9.1,818004.0545654619,8374.780278776127
121050127012034,50,2,0,48,92,233.8,60,123.4,417.2,698031.2976064198,4990.636502525254
121050140052053,2,1,0,1,34,27.999999999999996,2.4,22.3,52.7,874608.9157698199,562.56185050537
121050154022050,0,0,0,0,11,7.7,0,6.6,14.3,196038.45871923366,708.1620839955453
121050160021047,0,0,0,0,12,8.4,0,7.2,15.6,357283.74938773987,2901.4340223056583
121050120041016,0,0,0,0,77,53.9,0,46.2,100.1,1171282.9782759736,4253.101750359448
121050142011013,0,0,0,0,11,7.7,0,6.6,14.3,262695.81126982596,607.5517137686002
121050120023008,4,0,0,4,27,32.9,4.8,21.8,59.5,1202277.387256727,18251.907638782843
121050141273022,0,0,0,0,7,4.9,0,4.2,9.1,106981.57746440779,1501.0411065035853
