id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
371559616022035,0,0,0,0,2,1.4,0,1.2,2.6,20816.205033301863,6.245324467537391
371559613012008,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,227212.26729845125,7010.54347774226
371559611001039,0,0,0,0,5,3.5,0,3,6.5,222644.09368736908,10099.880576186732
371559611001040,0,0,0,0,4,2.8,0,2.4,5.2,222103.3334650527,9329.225116718084
371559615004008,0,0,0,0,3,2.1,0,1.8,3.9,129844.63333365101,12.865836606191305
371559618021017,0,0,0,0,16,11.2,0,9.6,20.8,176355.81944244794,35.94552285203992
371559609002013,32,24,0,8,32,67.2,38.4,42.4,148,244975.72404071936,16634.42603187137
371559604042010,0,0,0,0,4,2.8,0,2.4,5.2,71628.17086002365,150.96373320593932
371559602021044,0,0,0,0,3,2.1,0,1.8,3.9,138575.0977692194,98.94366065825953
371559617004001,0,0,0,0,21,14.7,0,12.6,27.3,171168.67352418732,4852.506057571716
371559610001033,0,0,0,0,5,3.5,0,3,6.5,243274.55254115057,53749.337605537155
371559601022006,0,0,0,0,1,0.7,0,0.6,1.3,185711.92326473782,206.9987824956842
371559618013010,0,0,0,0,16,11.2,0,9.6,20.8,151611.77074390743,129.98755486399332
371559608013010,0,0,0,0,5,3.5,0,3,6.5,232326.14545704206,7852.951653938677
371559618011035,0,0,0,0,3,2.1,0,1.8,3.9,74760.02526534101,136.79586425627596
371559601021094,21,0,0,21,6,77.7,25.2,33,135.9,202937.05147713845,10761.255015511213
371559614001016,0,0,0,0,19,13.3,0,11.4,24.7,93648.65717611749,44.59492366001914
371559601011012,9,0,0,9,18,44.1,10.8,23.4,78.3,145172.42041884013,145.57538044052959
371559614001047,29,0,0,29,45,133,34.8,67.6,235.4,151288.62818388705,266.787822017461
371559619003008,0,0,0,0,10,7,0,6,13,128195.28820225074,25.575916519698573
371559612002012,0,0,0,0,13,9.1,0,7.8,16.9,232453.09353108038,30750.356614940454
371559609002039,0,0,0,0,1,0.7,0,0.6,1.3,244825.74867459142,52911.80978176751
371559601013037,0,0,0,0,118,82.6,0,70.8,153.4,62469.25978254623,152.9486332482345
371559617002033,0,0,0,0,11,7.7,0,6.6,14.3,181176.49875808964,5118.123271727074
371559602042049,0,0,0,0,1,0.7,0,0.6,1.3,196782.30748239838,64.65614928125771
371559601011014,0,0,0,0,2,1.4,0,1.2,2.6,150033.7401529146,7.7005240335173175
371559619005009,0,0,0,0,3,2.1,0,1.8,3.9,104958.0205102324,71.97375441478184
371559604031027,0,0,0,0,3,2.1,0,1.8,3.9,77263.45415110314,212.82425214558123
371559610003065,19,0,0,19,1,67.2,22.8,27.2,117.2,241283.82797416262,29228.08134351498
371559610003002,0,0,0,0,9,6.3,0,5.4,11.7,237587.76748700292,36773.40642269368
371559618011001,0,0,0,0,64,44.8,0,38.4,83.2,56594.669516666596,241.10461379055315
371559617003053,3,3,0,0,12,10.5,3.6,8.7,22.8,168709.22421595184,5462.1284066865965
371559617004027,11,0,0,11,22,53.9,13.2,28.6,95.7,67620.7751013223,155.6007194556288
371559616011015,0,0,0,0,1,0.7,0,0.6,1.3,153227.48980188413,75.89411274829666
371559611001015,0,0,0,0,10,7,0,6,13,224253.88590251972,17304.918308369815
371559604032013,0,0,0,0,7,4.9,0,4.2,9.1,77396.64186429426,9.418029411867632
371559601021092,9,0,0,9,9,37.8,10.8,18,66.6,206029.21494295742,11021.035400814651
371559603022026,0,0,0,0,8,5.6,0,4.8,10.4,152062.66620860543,185.68962018147877
371559607011014,0,0,0,0,41,28.7,0,24.6,53.3,197331.91332551476,244.58240954987144
371559616022029,0,0,0,0,3,2.1,0,1.8,3.9,11966.00548396864,9.378699791051215
371559617003041,0,0,0,0,2,1.4,0,1.2,2.6,101524.61851639074,21.887938788651805
371559612002030,0,0,0,0,11,7.7,0,6.6,14.3,230880.12389139258,13884.399022219328
371559613013002,0,0,0,0,11,7.7,0,6.6,14.3,198729.66623990375,614.6830037519674
371559602042043,0,0,0,0,2,1.4,0,1.2,2.6,100178.14546728786,204.31158216239507
371559608011027,0,0,0,0,15,10.5,0,9,19.5,232815.1681095259,159.65804882580912
371559601024004,0,0,0,0,14,9.8,0,8.4,18.2,191156.11388432208,719.5811864412326
371559603022035,0,0,0,0,14,9.8,0,8.4,18.2,149869.9331123076,183.684159554944
371559607013008,1,0,0,1,4,6.3,1.2,3.8,11.3,240055.3839885241,1157.6089246759789
371559617001010,0,0,0,0,5,3.5,0,3,6.5,173810.74850609852,180.6280124901923
371559620011004,0,0,0,0,1,0.7,0,0.6,1.3,155072.51605434995,388.9479537645527
371559614002042,0,0,0,0,11,7.7,0,6.6,14.3,170225.1825719127,16.44520485835153
371559601023055,0,0,0,0,2,1.4,0,1.2,2.6,208472.43011114164,8951.728675265322
371559603012002,130,0,0,130,45,486.5,156,209,851.5,103869.29053145846,3273.5810872005204
371559603012008,0,0,0,0,21,14.7,0,12.6,27.3,110456.47229564164,1504.4261414853936
371559603021043,0,0,0,0,13,9.1,0,7.8,16.9,162988.54190503457,112.50100118590736
371559601013032,0,0,0,0,14,9.8,0,8.4,18.2,157757.8409539801,180.65220801741359
