id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
401214856011021,0,0,0,0,3,2.1,0,1.8,3.9,4898.36704221244,137.7086446894811
401214860001048,0,0,0,0,14,9.8,0,8.4,18.2,69853.93860720641,18.034777197711332
401214858003000,0,0,0,0,1,0.7,0,0.6,1.3,6474.522238954758,4.086912989867311
401214857001049,0,0,0,0,1,0.7,0,0.6,1.3,743.3757012282463,2.0029634957734896
401214862003011,0,0,0,0,3,2.1,0,1.8,3.9,90414.60000860627,3309.02758180282
401214858004029,0,0,0,0,9,6.3,0,5.4,11.7,34888.7098994863,272.51276548599714
401214856011162,0,0,0,0,5,3.5,0,3,6.5,4141.501604965932,245.03098333296418
401214858003024,7,0,0,7,6,28.7,8.4,13.4,50.5,22382.371945030543,53.70024158141668
401214868001086,0,0,0,0,2,1.4,0,1.2,2.6,39926.864776630355,137.18679753619102
401214860002053,0,0,0,0,5,3.5,0,3,6.5,91253.91795964669,427.7913482778416
401214867004058,0,0,0,0,8,5.6,0,4.8,10.4,56509.241734390846,2579.157605943896
401214865003017,0,0,0,0,17,11.9,0,10.2,22.1,92182.17082373185,9595.188984908722
401214860003012,0,0,0,0,5,3.5,0,3,6.5,91942.45453322933,2925.767319696616
401214865002022,0,0,0,0,11,7.7,0,6.6,14.3,92585.93663658031,24564.726244272115
401214868001047,0,0,0,0,6,4.2,0,3.6,7.8,35223.78560764064,20.806584821313606
401214858002026,0,0,0,0,5,3.5,0,3,6.5,21877.789353766704,180.58199895064615
401214858001010,0,0,0,0,5,3.5,0,3,6.5,49344.3212628039,20.244769083740096
401214861001021,0,0,0,0,19,13.3,0,11.4,24.7,90834.55607118155,2129.5495939467437
401214859002051,0,0,0,0,2,1.4,0,1.2,2.6,2081.4960453661643,2.033172013254623
401214861002008,4,0,0,4,2,15.4,4.8,6.8,27,85377.43368943212,246.0597260223274
401214861005030,0,0,0,0,3,2.1,0,1.8,3.9,92027.45226380797,27829.796512926838
401214861003031,0,0,0,0,13,9.1,0,7.8,16.9,92116.62470450689,28312.741286700453
401214866003073,1,0,0,1,3,5.6,1.2,3.2,10,84460.94982397913,968.1039957173197
401214859002001,0,0,0,0,2,1.4,0,1.2,2.6,85182.46226916237,2.031555999063001
401214860001009,0,0,0,0,7,4.9,0,4.2,9.1,73606.11891104205,35.584051244821005
401214861004043,0,0,0,0,7,4.9,0,4.2,9.1,91538.67382295642,7784.348304472229
401214862002024,0,0,0,0,8,5.6,0,4.8,10.4,91836.99424466047,6013.887752726322
401214856011031,0,0,0,0,3,2.1,0,1.8,3.9,4490.140031120456,139.414082733053
401214861003018,0,0,0,0,4,2.8,0,2.4,5.2,92328.54780123629,26326.025569492544
401214867003008,0,0,0,0,3,2.1,0,1.8,3.9,50528.15797228804,2188.8537286435944
401214862001008,0,0,0,0,1,0.7,0,0.6,1.3,91343.95253654485,572.8308212909908
401214859002023,0,0,0,0,14,9.8,0,8.4,18.2,12545.057621900985,18.31606496402961
401214856011045,0,0,0,0,2,1.4,0,1.2,2.6,3807.6855087903295,252.03137182914716
401214860002045,0,0,0,0,5,3.5,0,3,6.5,91241.24656396682,463.4051074355954
401214858001084,9,9,0,0,38,32.9,10.8,27.3,71,46817.32122842077,70.95028992413393
401214866002011,0,0,0,0,5,3.5,0,3,6.5,86954.38718480138,65.81304241524732
401214867003032,0,0,0,0,3,2.1,0,1.8,3.9,64749.13893209389,3442.5220324755555
401214867004037,5,0,2,3,1,28,6,14.2,48.2,63972.8838655149,3458.551780688285
401214857002050,0,0,0,0,6,4.2,0,3.6,7.8,2372.5105957580286,2082.3607915992698
401214867003086,0,0,0,0,10,7,0,6,13,54269.07376267041,1717.9874442740418
401214866003016,0,0,0,0,3,2.1,0,1.8,3.9,84366.98051042145,832.3558984609155
401214865001037,0,0,0,0,12,8.4,0,7.2,15.6,92749.32159307934,22457.456570378745
401214868002068,0,0,0,0,2,1.4,0,1.2,2.6,63314.05775943919,1335.4936661889988
401214867003023,0,0,0,0,3,2.1,0,1.8,3.9,54848.404380508786,2694.079904822748
401214867003049,0,0,0,0,2,1.4,0,1.2,2.6,71983.4119730275,3452.7066022109807
401214860003008,0,0,0,0,25,17.5,0,15,32.5,91988.02655753023,2169.0225524240545
401214866001028,5,5,0,0,10,10.5,6,8.5,25,73169.78896556221,24.99593855854092
401214866003066,0,0,0,0,4,2.8,0,2.4,5.2,39190.74442684872,4.997219401904805
401214858002024,0,0,0,0,2,1.4,0,1.2,2.6,27680.682105313605,235.94747557332167
401214862004024,0,0,0,0,6,4.2,0,3.6,7.8,92093.14666909172,24095.725296996614
401214862001051,0,0,0,0,4,2.8,0,2.4,5.2,89623.26739624194,3258.8219970543814
401214864001035,25,0,0,25,1,88.2,30,35.6,153.8,92626.5793680682,27870.04857646641
401214866002047,132,119,0,13,5,132.3,158.4,80.7,371.4,86877.0107927776,417.1810347770206
401214857001031,0,0,0,0,4,2.8,0,2.4,5.2,752.9336441390725,11.97267829958908
401214866003023,0,0,0,0,19,13.3,0,11.4,24.7,83240.57623074218,751.8675326179191
401214856021093,0,0,0,0,3,2.1,0,1.8,3.9,3858.3300797996376,98.48507942980778
401214868001075,0,0,0,0,1,0.7,0,0.6,1.3,43254.90175231965,137.39946919258682
401214859002012,3,0,0,3,10,17.5,3.6,10.2,31.3,50722.16058598213,44.61105204751134
