id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
410290005011009,94,6,0,88,196,449.4,112.8,243.8,805.9999999999999,653759.5062095565,78231.071574077665
410290004052006,134,0,0,134,177,592.9,160.8,293.8,1047.5,657039.999081073,67780.70169991511
410290001001022,35,9,4,22,14,126.7,42,62.5,231.2,655563.7205830509,73706.31846557184
410290016011019,20,18,0,2,15,30.1,24,20.8,74.9,631774.6938669046,1690.8985131004406
410290010013028,0,0,0,0,35,24.5,0,21,45.5,642000.4251585392,7845.891834483961
410290007011037,0,0,0,0,15,10.5,0,9,19.5,650994.9812067064,2713.1234842428025
410290025003027,0,0,0,0,8,5.6,0,4.8,10.4,155293.28264797505,10.694424614766675
410290013043049,2,0,0,2,20,21,2.4,14.8,38.2,624141.198494106,1856.8977204709927
410290030014001,2,0,0,2,19,20.3,2.4,14.2,36.9,25517.633029740657,40.96011153424689
410290027023003,15,2,0,13,61,89.6,18,55.8,163.4,100248.86476343684,516.1654991875733
410290027012114,0,0,0,0,2,1.4,0,1.2,2.6,37313.75682656916,48.969826596060685
410290019002018,0,0,0,0,10,7,0,6,13,460101.6599689367,23357.70003014689
410290020001000,213,107,38,68,43,662.2,255.6,353.1,1270.9,536502.2287198248,39100.18230489869
410290022003009,0,0,0,0,7,4.9,0,4.2,9.1,464790.1833663693,11404.573598765615
410290013012041,51,45,3,3,3,69.3,61.2,42.6,173.1,615586.675764346,3779.7249187287875
410290006041038,115,1,0,114,26,417.9,138,175.7,731.6,658159.9339457148,66793.24762547849
410290028001049,0,0,0,0,5,3.5,0,3,6.5,346440.1973368704,61.69905870253156
410290001002006,52,0,0,52,1,182.7,62.4,73.4,318.5,653236.2521193211,75637.48530584265
410290001002014,46,0,5,41,15,196,55.2,89.9,341.1,657692.056921726,94755.23842303378
410290027012069,0,0,0,0,3,2.1,0,1.8,3.9,13475.158407546256,31.743245675651714
410290011003012,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,639352.7500202671,9661.749367209317
410290008001004,20,10,0,10,86,102.2,24,70.6,196.8,627416.0362360006,10686.078822292231
410290009011018,47,41,0,6,28,69.3,56.4,45.7,171.4,607320.8610987801,1659.7001383790555
410290010024023,0,0,0,0,8,5.6,0,4.8,10.4,645308.5776234255,23859.843524625077
410290013013085,26,17,0,9,1,44.1,31.2,21.7,97,632319.705194086,3599.4044992865065
410290024001038,0,0,0,0,10,7,0,6,13,585552.6140514136,129.57601049888262
410290010013004,5,5,0,0,18,16.1,6,13.3,35.4,625148.970392708,8413.519052474676
410290015001004,0,0,0,0,18,12.6,0,10.8,23.4,569765.6980524551,2462.864724050199
410290014031023,0,0,0,0,4,2.8,0,2.4,5.2,528664.8742480942,3858.216767617717
410290028002007,0,0,0,0,3,2.1,0,1.8,3.9,738.0271505546344,3.609067630428632
410290018021021,11,0,0,11,25,56,13.2,30.4,99.6,569549.6291810792,10205.530927134649
410290021001014,0,0,0,0,1,0.7,0,0.6,1.3,596416.2605423667,14133.115816208703
410290006031006,0,0,0,0,20,14,0,12,26,632414.7142759238,2258.8808505963325
410290026001341,0,0,0,0,1,0.7,0,0.6,1.3,3409.9185981034766,28.744115590563034
410290027012095,0,0,0,0,6,4.2,0,3.6,7.8,18942.184761396766,12.06658033649809
410290009022003,0,0,0,0,6,4.2,0,3.6,7.8,616939.2494401498,6546.430118924448
410290002012004,0,0,0,0,8,5.6,0,4.8,10.4,656795.7236973314,78508.12181400244
410290001002057,34,7,0,27,29,119.7,40.8,58.7,219.2,654165.385182873,79220.88533161876
410290001002044,28,0,0,28,102,169.4,33.6,100.4,303.4,653832.3159363881,73971.78054575948
410290030023027,0,0,0,0,1,0.7,0,0.6,1.3,346569.00117489405,225.44962348567785
410290007022018,0,0,0,0,16,11.2,0,9.6,20.8,644803.3274381583,7217.564319963147
410290011003029,0,0,0,0,27,18.9,0,16.2,35.1,642437.745703229,10933.71798477458
410290027023002,0,0,0,0,3,2.1,0,1.8,3.9,152503.35115122428,1005.7189334848118
410290016021005,0,0,0,0,16,11.2,0,9.6,20.8,620015.2501930464,2717.836511727578
410290023002011,0,0,0,0,5,3.5,0,3,6.5,33425.34704721451,6.5778957905211755
410290021003019,0,0,0,0,13,9.1,0,7.8,16.9,549971.515643701,29446.77544998706
410290009022047,4,0,0,4,52,50.4,4.8,36.8,92,638127.8449631452,9938.887293834056
410290006031042,2,0,0,2,18,19.6,2.4,13.6,35.6,637118.7415203309,3051.467955275562
410290013042009,4,4,0,0,47,35.7,4.8,30.2,70.7,626370.7686234791,1704.7783233594862
410290002013001,1,1,0,0,27,19.6,1.2,16.7,37.5,652442.3211532529,68712.89643679191
410290004031004,1,0,0,1,22,18.9,1.2,14.6,34.7,642883.3330019654,6693.24353604476
410290017021028,4,4,0,0,4,5.6,4.8,4.4,14.8,559145.4126534789,643.2659848324457
410290025002196,0,0,0,0,6,4.2,0,3.6,7.8,34855.37932019351,88.79712962574125
410290030021014,30,0,2,28,3,116.9,36,50.4,203.3,445653.3586289144,6168.994139257533
410290013042003,0,0,0,0,24,16.8,0,14.4,31.2,610067.8776093833,1350.6645312647588
410290029021168,11,0,11,0,5,95.9,13.2,54.7,163.8,12209.596812131465,474.2229432725951
410290013043046,0,0,0,0,17,11.9,0,10.2,22.1,634633.7254443062,2785.428326451728
410290006052001,0,0,0,0,11,7.7,0,6.6,14.3,644174.4932037703,24064.56427844625
410290011002015,0,0,0,0,3,2.1,0,1.8,3.9,511640.1773096191,22.212022895277116
410290030023025,0,0,0,0,6,4.2,0,3.6,7.8,95794.19087516953,19.97849613137245
410290030014000,1,0,0,1,5,7,1.2,4.4,12.6,368132.16939606983,53.8779539217327
410290004031006,6,5,0,1,94,72.8,7.2,60.3,140.3,634629.0903844637,6000.6307330636755
410290009021003,3,0,0,3,2,11.9,3.6,5.4,20.9,637898.2335666768,15449.773748215917
410290018011021,0,0,0,0,9,6.3,0,5.4,11.7,548119.1158209469,12840.952669688262
410290007021012,2,2,0,0,2,2.8,2.4,2.2,7.4,602172.2203855936,587.0024915716504
410290024001025,0,0,0,0,1,0.7,0,0.6,1.3,618604.8556166328,290.5048849757054
410290002013016,0,0,0,0,22,15.4,0,13.2,28.6,654738.2469116388,73934.02182914299
410290007022016,0,0,0,0,18,12.6,0,10.8,23.4,643113.5557800423,5140.382926388878
410290006061013,19,3,0,16,49,92.4,22.8,53.3,168.5,641250.7686972389,42004.74155303539
410290021003008,1,1,0,0,9,7,1.2,5.9,14.1,549711.5289446271,33925.83260289419
410290020002041,48,2,23,23,1,275.8,57.6,141.9,475.3,552405.024112546,40042.53420149544
410290020002026,1,0,0,1,23,19.6,1.2,15.2,36,543172.3674173435,38604.62860372688
410290013034004,0,0,0,0,7,4.9,0,4.2,9.1,588864.0031044252,4596.771598988793
410290027011015,0,0,0,0,11,7.7,0,6.6,14.3,282218.06466465973,58.79935678396845
410290014021003,6,2,0,4,20,29.4,7.2,18.6,55.2,326190.3146932502,65.22910457280086
410290025002326,0,0,0,0,7,4.9,0,4.2,9.1,179783.93903687308,182.639108603071
410290009012020,1,0,0,1,26,21.7,1.2,17,39.9,617480.3719213693,606.5813856265734
410290009012002,7,2,0,5,85,78.4,8.4,59,145.8,561450.0160032755,467.188533775968
410290008003002,0,0,0,0,22,15.4,0,13.2,28.6,619998.6233321138,2450.9124851981346
410290004062004,0,0,0,0,10,7,0,6,13,645371.415490659,23561.495021379607
410290019002000,37,2,0,35,19,137.2,44.4,61.4,243,489159.65794735926,36503.56187393457
410290026002322,5,5,0,0,5,7,6,5.5,18.5,937.8156158635223,20.061317390008178
410290006032016,0,0,0,0,10,7,0,6,13,646560.1638842147,41079.965731575976
410290018023022,0,0,0,0,16,11.2,0,9.6,20.8,546117.7605072894,27827.361073852157
410290005012025,1,0,0,1,38,30.1,1.2,24.2,55.5,654893.0997812158,35674.11323241194
410290009022036,105,0,0,105,75,420,126,192,738,637722.3895288454,18380.05943598281
410290021002013,7,0,7,0,11,66.5,8.4,39.5,114.4,595476.4852174849,36727.82756588026
410290020002028,2,0,0,2,32,29.4,2.4,22,53.8,532460.2412489824,36287.83388545602
410290013042007,2,2,0,0,11,9.1,2.4,7.6,19.1,609880.563902746,1373.8215965109737
410290016011014,15,10,5,0,1,49.7,18,29.1,96.8,646464.7510323942,10999.550955495608
410290004051002,22,0,0,22,308,292.6,26.4,215.6,534.6,642977.8647474874,31284.665560205143
410290015001007,7,7,0,0,18,17.5,8.4,14.3,40.2,567625.2422640866,4406.166393019266
410290028003013,20,3,0,17,13,70.7,24,33.1,127.8,50308.15654095571,132.9346593995972
410290022004024,0,0,0,0,3,2.1,0,1.8,3.9,521192.390679185,5817.1683297407535
410290007023011,0,0,0,0,13,9.1,0,7.8,16.9,641702.7785780756,5688.373699911277
410290014013014,2,0,0,2,15,17.5,2.4,11.8,31.7,530180.1978039497,5229.197248855858
410290014031010,6,0,0,6,75,73.5,7.2,53.4,134.1,507721.30047943885,531.7389905937375
410290023002019,0,0,0,0,5,3.5,0,3,6.5,486236.69742848276,42.678888097598566
410290009012012,0,0,0,0,5,3.5,0,3,6.5,629793.8661156687,1423.1373482947415
410290030023031,1,0,0,1,6,7.7,1.2,5,13.9,53586.05894145908,15.918290298378073
410290022001009,13,0,0,13,138,142.1,15.6,101,258.7,464131.0507192207,10605.746999233035
410290005021007,2,0,0,2,26,25.2,2.4,18.4,46,649178.8129296995,46599.25632090989
410290006041010,2,0,0,2,18,19.6,2.4,13.6,35.6,651704.3887243351,18792.45607441925
410290028001023,0,0,0,0,3,2.1,0,1.8,3.9,384015.4542175785,11.983070984429677
410290013032001,0,0,0,0,39,27.3,0,23.4,50.7,602372.9903449125,3453.706000318418
410290018014013,0,0,0,0,4,2.8,0,2.4,5.2,529424.6557145815,5563.588777048052
410290007023033,5,3,0,2,67,56,6,44.5,106.5,645866.3118671086,3166.8936600133848
410290017011004,143,123,10,10,110,282.1,171.6,188.5,642.2,615593.7264181137,6152.895633580222
410290008003001,13,10,0,3,71,67.2,15.6,51.8,134.6,592715.1446073839,1747.9609152462535
410290010023005,0,0,0,0,14,9.8,0,8.4,18.2,635598.5562160698,16306.763325640266
410290030023019,1,1,0,0,5,4.2,1.2,3.5,8.9,444933.14121389657,221.3946916882293
410290008001000,77,0,13,64,125,420.7,92.4,225.7,738.8,647065.6993033651,23920.594760766526
410290023001004,4,4,0,0,12,11.2,4.8,9.2,25.2,416983.9923702003,34.30907687519282
410290029012007,0,0,0,0,15,10.5,0,9,19.5,280065.2269790614,518.4566901839827
410290016012006,1,0,0,1,23,19.6,1.2,15.2,36,645320.585808646,5905.099899316025
410290016025002,0,0,0,0,81,56.7,0,48.6,105.3,647024.4602830003,12857.083761319527
410290010023012,0,0,0,0,17,11.9,0,10.2,22.1,635064.6313641324,3729.8365366502658
410290030021006,1,0,0,1,1,4.2,1.2,2,7.4,182102.77589090148,50.77701449377031
410290002011006,0,0,0,0,13,9.1,0,7.8,16.9,653320.3414902315,69751.7520040889
410290011002010,0,0,0,0,3,2.1,0,1.8,3.9,424817.5205081882,3.0166367741832523
410290025001029,0,0,0,0,1,0.7,0,0.6,1.3,806.066669386673,4.768402057078364
410290016011013,34,0,0,34,7,123.9,40.8,51.8,216.5,641491.1539284757,9367.119746005546
