id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
290079503002092,0,0,0,0,11,7.7,0,6.6,14.3,8203.505445563129,77.13550032315393
290079501002061,0,0,0,0,8,5.6,0,4.8,10.4,2470.617227347671,1041.7723302222398
290079503002023,0,0,0,0,1,0.7,0,0.6,1.3,4975.356410610783,1.594129532797535
290079502004153,0,0,0,0,1,0.7,0,0.6,1.3,7776.117826158483,1.981680338261791
290079502001041,0,0,0,0,1,0.7,0,0.6,1.3,444.42733873920724,1.1110325447921636
290079505002022,0,0,0,0,7,4.9,0,4.2,9.1,8743.878942004645,1990.2185713596518
290079504001034,0,0,0,0,12,8.4,0,7.2,15.6,8783.270698883372,2365.4844767048394
290079501003060,0,0,0,0,1,0.7,0,0.6,1.3,2324.0444285663893,1111.3612082866753
290079506002005,0,0,0,0,73,51.1,0,43.8,94.9,8323.439208773414,882.5866114888271
290079504003037,0,0,0,0,3,2.1,0,1.8,3.9,8911.644661167547,1793.145076418549
290079501003044,0,0,0,0,6,4.2,0,3.6,7.8,2308.8430074640564,1109.3792494138247
290079501002036,0,0,0,0,3,2.1,0,1.8,3.9,2404.9838754991843,1020.5923495580118
290079507002016,0,0,0,0,7,4.9,0,4.2,9.1,8873.273670789114,2328.944181943668
290079502002034,0,0,0,0,4,2.8,0,2.4,5.2,7657.306261236326,255.76733007817217
290079504001023,0,0,0,0,33,23.1,0,19.8,42.9,8507.004050421881,1183.3016575426811
290079503003096,0,0,0,0,1,0.7,0,0.6,1.3,4159.098018362659,12.958061924371702
290079501003076,0,0,0,0,4,2.8,0,2.4,5.2,2288.7264958303863,1076.7017600961374
290079503002105,0,0,0,0,7,4.9,0,4.2,9.1,7120.374838500179,8.99932505161969
290079502005052,0,0,0,0,47,32.9,0,28.2,61.1,8466.399153942239,84.34008617207272
290079501003085,0,0,0,0,2,1.4,0,1.2,2.6,2254.6692742475093,960.1959776294848
290079501003025,0,0,0,0,1,0.7,0,0.6,1.3,2557.6465406330813,1139.7849066006597
290079502002005,0,0,0,0,1,0.7,0,0.6,1.3,7501.655283901747,258.8739506933114
290079502003088,0,0,0,0,4,2.8,0,2.4,5.2,3856.6034863084615,145.36397847610647
290079502004011,0,0,0,0,2,1.4,0,1.2,2.6,6602.828700829353,2.978505344474052
290079501003003,0,0,0,0,6,4.2,0,3.6,7.8,1662.4032648146033,6.991994872970334
290079501002068,0,0,0,0,2,1.4,0,1.2,2.6,2561.0652385392077,749.3852647618024
290079503001071,0,0,0,0,2,1.4,0,1.2,2.6,615.371197089536,9.74897588227309
290079502003207,0,0,0,0,1,0.7,0,0.6,1.3,2309.398447375147,3.4732858892041705
290079503003018,0,0,0,0,24,16.8,0,14.4,31.2,6041.669930239993,42.80196959762019
290079502003496,0,0,0,0,1,0.7,0,0.6,1.3,423.9840037358509,1.0218693215861359
290079502004107,0,0,0,0,1,0.7,0,0.6,1.3,9171.046291541725,6.360576058711287
290079502004022,0,0,0,0,3,2.1,0,1.8,3.9,7512.842771117022,3.9814012667178265
290079501003071,0,0,0,0,4,2.8,0,2.4,5.2,2280.1725264736815,1043.5802082074763
290079502002025,0,0,0,0,5,3.5,0,3,6.5,7271.450498802994,247.05440494426927
290079502003401,0,0,0,0,2,1.4,0,1.2,2.6,1568.733425406577,2.513823567691118
290079506001021,0,0,0,0,57,39.9,0,34.2,74.1,7578.823003969679,74.09134517820522
290079501001015,0,0,0,0,5,3.5,0,3,6.5,2335.9748412176837,994.5589742024866
290079503003060,0,0,0,0,2,1.4,0,1.2,2.6,1488.4934293116742,1.996960056997943
290079502001083,0,0,0,0,4,2.8,0,2.4,5.2,650.1077511482904,5.210462984471994
290079502005249,0,0,0,0,3,2.1,0,1.8,3.9,7008.152950706903,156.18784329479087
290079506002013,0,0,0,0,22,15.4,0,13.2,28.6,8375.712079826379,995.0749514114237
290079501002035,0,0,0,0,4,2.8,0,2.4,5.2,2403.237415221583,950.0953028334204
290079502001195,0,0,0,0,2,1.4,0,1.2,2.6,6324.6337672170075,5.021836030039312
290079503001033,0,0,0,0,2,1.4,0,1.2,2.6,414.1041133982719,2.031577813061249
290079502005027,0,0,0,0,6,4.2,0,3.6,7.8,7850.503776969509,19.97135506778264
290079503001131,0,0,0,0,15,10.5,0,9,19.5,1593.2299352843095,19.240410305906547
290079502005150,0,0,0,0,2,1.4,0,1.2,2.6,6760.305494025906,4.709695183305052
290079501003099,0,0,0,0,10,7,0,6,13,2257.9994978535638,742.3451196084226
290079502005097,0,0,0,0,3,2.1,0,1.8,3.9,1797.7917903937382,3.629898159020846
290079504002021,0,0,0,0,14,9.8,0,8.4,18.2,8751.519704125072,1336.4204763913574
290079502005148,0,0,0,0,6,4.2,0,3.6,7.8,5577.292826946716,7.865701645516713
290079501003017,0,0,0,0,4,2.8,0,2.4,5.2,2552.356562431212,954.2956113576212
