id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
010970061062002,0,0,0,0,12,8.4,0,7.2,15.6,1000834.715168068,1514.7658970008363
010970010021016,0,0,0,0,13,9.1,0,7.8,16.9,1129420.4566932356,19206.006313114765
010970037081012,4,3,0,1,157,115.5,4.8,97.1,217.4,1094336.2834339563,2772.3503484397565
010970069032005,0,0,0,0,12,8.4,0,7.2,15.6,964630.5416043662,1099.5833124424285
010970064122003,0,0,0,0,34,23.8,0,20.4,44.2,793709.9699845139,945.4142841368366
010970067043026,0,0,0,0,14,9.8,0,8.4,18.2,290744.55642243323,193.51992553422855
010970061043026,0,0,0,0,2,1.4,0,1.2,2.6,666686.7630339384,1313.7969788920059
010970072041011,2,0,2,0,21,31.5,2.4,22,55.9,152469.15713916684,300.77384232070335
010970025013000,128,79,0,49,153,333.9,153.6,199.9,687.4,1146807.7226509713,24206.322097763874
010970060004055,0,0,0,0,4,2.8,0,2.4,5.2,55411.532636821765,305.54382315429496
010970037111015,2,0,0,2,20,21,2.4,14.8,38.2,1097871.109048267,5787.897456741215
010970021003009,0,0,0,0,14,9.8,0,8.4,18.2,1090695.3424159922,1540.1326864797365
010970073002036,0,0,0,0,2,1.4,0,1.2,2.6,100978.48647678508,1868.4979012758229
010970013023012,0,0,0,0,10,7,0,6,13,1118758.4044792666,6824.817809536236
010970074001033,32,28,0,4,11,41.3,38.4,26.2,105.9,1086921.6118198773,5110.999629355096
010970035012010,0,0,0,0,35,24.5,0,21,45.5,1129670.0248514696,4759.027977426109
010970051002030,0,0,0,0,4,2.8,0,2.4,5.2,1115969.109868193,4605.736588005899
010970004014004,0,0,0,0,10,7,0,6,13,1079282.0744785573,13230.045346973206
010970061062005,82,0,18,64,22,390.6,98.4,187.4,676.4,1048782.429548013,1558.897894697115
010970037062001,16,0,0,16,51,91.7,19.2,53,163.9,1088431.1606258117,5388.902407680616
010970040002009,0,0,0,0,51,35.7,0,30.6,66.3,1153114.6833626453,5116.16999569044
010970070003015,0,0,0,0,5,3.5,0,3,6.5,1141586.5639899704,5602.011129340544
010970014003002,0,0,0,0,16,11.2,0,9.6,20.8,1109404.7251478182,7607.604005085048
010970010022011,1,0,0,1,21,18.2,1.2,14,33.4,1114468.869906328,42766.3383281489
010970063071015,1,1,0,0,6,4.9,1.2,4.1,10.2,922598.0759731408,1890.722610013693
