id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
010857811002023,0,0,0,0,3,2.1,0,1.8,3.9,3777.447818807332,10.753288038991066
011010055033064,0,0,0,0,1,0.7,0,0.6,1.3,896505.7048206641,204.03923394317803
011010019003000,0,0,0,0,28,19.6,0,16.8,36.4,1044817.5075576069,11007.583918531986
011010017004006,0,0,0,0,19,13.3,0,11.4,24.7,1041221.207006514,12419.747896354664
011010056042049,0,0,0,0,4,2.8,0,2.4,5.2,786716.1262605332,31.37885180664833
010857812001053,0,0,0,0,16,11.2,0,9.6,20.8,9738.563191042758,945.4651631856989
010010204003001,0,0,0,0,62,43.4,0,37.2,80.6,801157.2867948526,16223.912245396476
010010204003024,0,0,0,0,9,6.3,0,5.4,11.7,899577.0131939588,16331.450745381808
010010208033011,0,0,0,0,61,42.7,0,36.6,79.3,351966.5296196873,124.63753153862463
011010015002013,0,0,0,0,18,12.6,0,10.8,23.4,1077393.615658722,44891.08660732283
011010024002011,0,0,0,0,14,9.8,0,8.4,18.2,1059853.7185088997,7754.2085555152835
010510307022001,4,3,0,1,64,50.4,4.8,41.3,96.5,136636.90326572375,137.05699116878876
010010211001031,4,0,0,4,14,23.8,4.8,14,42.6,1926.286851637633,41.987831701189734
011010061001014,0,0,0,0,22,15.4,0,13.2,28.6,956887.9390748891,1197.6669113861594
010510310022028,0,0,0,0,5,3.5,0,3,6.5,889325.6101797088,2358.012219406561
011010007002018,8,0,0,8,3,30.1,9.6,13,52.7,1084537.8997567364,70962.79844834856
011010026002003,0,0,0,0,71,49.7,0,42.6,92.3,1034728.2012972672,8097.46219808943
011010026001001,0,0,0,0,26,18.2,0,15.6,33.8,1010736.1527730863,3095.553479191569
010510312002028,193,0,0,193,3,677.6,231.6,272,1181.2,707497.5470967701,2145.2043159309565
011010055041037,1,0,0,1,8,9.1,1.2,6.2,16.5,523846.49356571503,601.5451669947676
010510308012040,0,0,0,0,15,10.5,0,9,19.5,728858.9436165483,8829.300522648335
010510304012017,0,0,0,0,1,0.7,0,0.6,1.3,96232.9980221455,2.6246938165963436
010010208032009,0,0,0,0,22,15.4,0,13.2,28.6,198921.37005078772,64.02998890997642
010510303001021,0,0,0,0,2,1.4,0,1.2,2.6,24994.594484532885,59.59053522490638
010510301031049,0,0,0,0,3,2.1,0,1.8,3.9,79274.72354224922,25.303926699616532
010510309014011,0,0,0,0,26,18.2,0,15.6,33.8,453735.59382667945,66.20830010526142
010510306003025,3,0,0,3,18,23.1,3.6,14.999999999999998,41.7,295688.6546967342,127.55153830841205
010510309023061,1,0,0,1,155,112,1.2,94.4,207.6,769967.9659458175,985.0498737377583
010510309012017,0,0,0,0,16,11.2,0,9.6,20.8,721527.7353418599,1161.4042730486647
010510312001015,0,0,0,0,6,4.2,0,3.6,7.8,472717.2379104818,289.33517658390093
011010018002018,0,0,0,0,24,16.8,0,14.4,31.2,1045831.2674208408,10153.70803829958
011010056101055,0,0,0,0,4,2.8,0,2.4,5.2,944826.5162358078,569.7526943228831
010510308021041,0,0,0,0,4,2.8,0,2.4,5.2,452768.48807742086,113.27452180972168
011010022014002,0,0,0,0,9,6.3,0,5.4,11.7,1046708.7655067655,4352.125367472343
011010022015017,0,0,0,0,27,18.9,0,16.2,35.1,1057477.2592384536,5445.38329934617
010510302001036,0,0,0,0,7,4.9,0,4.2,9.1,103749.4891393896,174.98055954980418
010510308012024,0,0,0,0,15,10.5,0,9,19.5,701923.2532389583,8080.236059966439
011010021002026,0,0,0,0,22,15.4,0,13.2,28.6,1063871.7834518906,22880.876609531693
011010033014011,0,0,0,0,8,5.6,0,4.8,10.4,1038816.7977558434,11095.374171851752
