id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
470890705001015,0,0,0,0,14,9.8,0,8.4,18.2,66226.29203984347,383.67548311845667
470890708021013,0,0,0,0,4,2.8,0,2.4,5.2,131750.64860123524,324.42946287781876
470890708021036,0,0,0,0,43,30.1,0,25.8,55.9,159104.54072248057,83.30974104550162
470890701011074,0,0,0,0,2,1.4,0,1.2,2.6,262768.12287337,8.39309873610271
470890707022029,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,122091.37169978392,54.19858774147687
470890703004019,0,0,0,0,4,2.8,0,2.4,5.2,278119.3936190557,17654.185912217377
470890704001040,0,0,0,0,22,15.4,0,13.2,28.6,126915.76874031468,53.21966195105251
470890702003023,0,0,0,0,9,6.3,0,5.4,11.7,292361.1171474674,1328.4670862249045
470890707012019,0,0,0,0,86,60.2,0,51.6,111.8,200579.78851283662,417.9623247882808
470890708011033,0,0,0,0,9,6.3,0,5.4,11.7,140519.6950824741,94.80140252602547
470890701011034,0,0,0,0,13,9.1,0,7.8,16.9,258445.5925566465,1193.0080896551606
470890701021013,1,0,0,1,9,9.8,1.2,6.8,17.8,285031.54552102636,4330.971454705949
470890708022025,1,0,0,1,62,46.9,1.2,38.6,86.7,120352.48155840683,151.72345475144283
470890706001042,16,2,0,14,133,143.5,19.2,100.4,263.1,273326.7636194935,3229.2388053501813
470890709001048,0,0,0,0,3,2.1,0,1.8,3.9,54805.60937700073,17.644446569395335
470631002003029,0,0,0,0,4,2.8,0,2.4,5.2,287235.36334263114,2511.4407378396118
470631008001001,0,0,0,0,8,5.6,0,4.8,10.4,290345.2824789923,1572.5313833203472
470631006004007,5,5,0,0,58,44.1,6,37.3,87.4,272518.96181479597,1898.3423599264702
470631010002014,0,0,0,0,2,1.4,0,1.2,2.6,173313.75645979232,704.1634603711375
470631012003010,0,0,0,0,17,11.9,0,10.2,22.1,277704.0528446956,670.1780653562989
470890706001000,0,0,0,0,36,25.2,0,21.6,46.8,268959.2114076677,12382.798501612779
470890709002029,0,0,0,0,7,4.9,0,4.2,9.1,32313.5012289237,9.135689680439432
470631004002023,0,0,0,0,6,4.2,0,3.6,7.8,266621.2163234042,2493.7604707654773
470631004003003,0,0,0,0,21,14.7,0,12.6,27.3,271248.27697976015,6502.059455073747
470631007004100,0,0,0,0,4,2.8,0,2.4,5.2,285179.92323592794,441.8279885399447
470631012003012,0,0,0,0,34,23.8,0,20.4,44.2,288611.4913964793,3202.161786594864
470631012003007,4,4,0,0,19,16.1,4.8,13.4,34.3,281577.2920096148,814.0540360624562
470631009003027,0,0,0,0,21,14.7,0,12.6,27.3,290044.4225762815,3318.7830153556793
470631006001019,0,0,0,0,6,4.2,0,3.6,7.8,213397.91910605755,2049.4489024219893
470631001001016,0,0,0,0,8,5.6,0,4.8,10.4,273060.43442895147,2193.279395727757
470631005001008,0,0,0,0,9,6.3,0,5.4,11.7,240044.07020263368,26.108750105223066
470631001001023,0,0,0,0,55,38.5,0,33,71.5,250306.43339817724,888.0883777368272
470631012002029,0,0,0,0,25,17.5,0,15,32.5,271169.68719380366,527.3371966133013
470631007004048,7,0,7,0,1,59.5,8.4,33.5,101.4,284902.4757713026,488.00255554527905
470631010001014,3,0,0,3,68,58.1,3.6,45,106.7,117267.93521556268,124.30695686439763
