id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
210350103033000,20,7,0,13,390,323.4,24,255.7,603.1,108849.97509959163,11062.737915782202
210350102002054,1,0,0,1,20,17.5,1.2,13.4,32.1,108186.65194945184,288.16846628184487
210350103041010,0,0,0,0,7,4.9,0,4.2,9.1,107242.71437214705,32.97916762184663
210350107001001,2,0,0,2,11,14.7,2.4,9.4,26.5,105119.1475773238,138.3824629803499
210350107002013,0,0,0,0,3,2.1,0,1.8,3.9,105359.6447524493,11.0968602044928
210350108001032,0,0,0,0,4,2.8,0,2.4,5.2,6469.829310255389,120.8319160126921
210350107003058,0,0,0,0,9,6.3,0,5.4,11.7,106123.53653096176,493.07413111033054
210350108001070,0,0,0,0,2,1.4,0,1.2,2.6,7053.308312314529,156.37269329760028
210350108001007,0,0,0,0,2,1.4,0,1.2,2.6,5200.213061907432,1.99998454732474
210350108001062,0,0,0,0,1,0.7,0,0.6,1.3,25579.250265680555,81.64717367021984
210350103041085,0,0,0,0,49,34.3,0,29.4,63.7,107685.65868110594,336.8196193404936
210350105003014,0,0,0,0,7,4.9,0,4.2,9.1,109663.9321488529,19429.851371705347
210350108002032,0,0,0,0,4,2.8,0,2.4,5.2,82236.30983540253,45.87962421600077
210350108002003,1,0,0,1,4,6.3,1.2,3.8,11.3,88019.56906377677,165.66821083323444
210350108002007,0,0,0,0,1,0.7,0,0.6,1.3,70114.89249002523,47.67938657386461
210350102002111,30,30,0,0,7,25.9,36,19.2,81.1,105113.25078391694,133.59170093992205
210350106014000,0,0,0,0,15,10.5,0,9,19.5,108676.41822274754,6268.179220999789
210350101004035,0,0,0,0,1,0.7,0,0.6,1.3,79180.96993566961,178.4284640666053
210350104001057,9,0,0,9,4,34.3,10.8,15,60.1,109430.24130128692,12396.90686615591
210350107003076,0,0,0,0,3,2.1,0,1.8,3.9,87658.76004550493,7.82499902386863
