id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
191390510001034,0,0,0,0,23,16.1,0,13.8,29.9,129437.8198072328,6568.408086792943
191390508002015,3,0,0,3,13,19.6,3.6,12,35.2,132172.32845161634,30559.126596366226
191390509002034,0,0,0,0,19,13.3,0,11.4,24.7,130386.59203082189,21762.568582230146
191390502001031,0,0,0,0,1,0.7,0,0.6,1.3,112597.11105247877,31.70987265253768
191390506001002,1,1,0,0,5,4.2,1.2,3.5,8.9,129815.32646598875,356.68484400479355
191390507003012,0,0,0,0,19,13.3,0,11.4,24.7,131216.02267778735,22670.437708061418
191390501001031,0,0,0,0,1,0.7,0,0.6,1.3,118043.27443801906,3.5290759985171034
191390508001015,0,0,0,0,8,5.6,0,4.8,10.4,132491.80812849244,30627.946149285464
191390501002076,0,0,0,0,1,0.7,0,0.6,1.3,120718.27367899874,6.283869761996477
191390503005025,0,0,0,0,3,2.1,0,1.8,3.9,31066.091727449584,73.42916775367623
191390503002049,4,0,0,4,2,15.4,4.8,6.8,27,69704.00675197413,27.118990591574317
191390503005018,3,3,0,0,9,8.4,3.6,6.9,18.9,63944.81943015126,7457.232958099921
191390504001102,1,1,0,0,3,2.8,1.2,2.3,6.3,90351.21367407545,8.35532258653928
191390508003014,0,0,0,0,11,7.7,0,6.6,14.3,131618.6618005728,28966.106679094322
191390504001105,1,0,0,1,7,8.4,1.2,5.6,15.2,86664.36092747157,15.010308254015506
191390510001003,54,13,19,22,9,252,64.8,132,448.8,131170.98459909126,12044.63544183587
191390510002023,36,29,2,5,4,57.4,43.2,33.3,133.9,127755.8472343255,5185.795921351149
191390510002047,0,0,0,0,4,2.8,0,2.4,5.2,128472.97381191068,7371.55225179168
191390504001149,0,0,0,0,4,2.8,0,2.4,5.2,23675.671624826515,326.75690634037386
191390509002049,0,0,0,0,8,5.6,0,4.8,10.4,131399.6935351488,18551.178434268346
191390503003079,0,0,0,0,1,0.7,0,0.6,1.3,17449.405923735496,4.287801025298697
191390506002015,0,0,0,0,25,17.5,0,15,32.5,130918.57278908134,8925.29962604858
191390502004022,0,0,0,0,7,4.9,0,4.2,9.1,122119.64061451884,5006.515604511491
191390502003025,0,0,0,0,2,1.4,0,1.2,2.6,125011.10097247534,6291.855877513558
191390503003021,0,0,0,0,1,0.7,0,0.6,1.3,30470.155462949704,6.703550030608976
191390504003032,0,0,0,0,8,5.6,0,4.8,10.4,116635.81121866188,767.5781633086191
191390503003085,6,0,4,2,7,45.5,7.2,25.8,78.5,104684.98956591843,704.2450617029743
191390504001094,0,0,0,0,4,2.8,0,2.4,5.2,32028.975983914755,5.035042759093528
191390508003030,2,0,0,2,11,14.7,2.4,9.4,26.5,132102.58902933393,29435.901950327076
191390502002063,0,0,0,0,1,0.7,0,0.6,1.3,131105.3444867299,12.2164690832609
191390501002010,0,0,0,0,1,0.7,0,0.6,1.3,30713.29962256312,177.27365775174084
191390501001001,0,0,0,0,7,4.9,0,4.2,9.1,94321.80190398743,86.4593648701138
