id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060552003021002,0,0,0,0,26,18.2,0,15.6,33.8,386526.77340551914,16812.941647554377
060552014012002,0,0,0,0,23,16.1,0,13.8,29.9,214315.11024113963,107.43717211907742
060552005041000,109,0,0,109,340,619.5,130.8,356.6,1106.9,400988.73713688785,47829.77296101084
060552010041004,87,5,17,65,198,512.4,104.4,292.2,909,347641.66940486437,2802.115054784288
060552010041022,0,0,0,0,42,29.4,0,25.2,54.6,339806.82921950816,1885.8649369645482
060552012002010,0,0,0,0,75,52.5,0,45,97.5,410658.6995510437,4548.102134766251
060552002021033,6,4,0,2,10,16.8,7.2,10.8,34.8,399930.57169236406,72690.2566601517
060552007031003,0,0,0,0,11,7.7,0,6.6,14.3,403282.8267418105,3976.9663200221353
060552020003015,0,0,0,0,44,30.8,0,26.4,57.2,102643.13975085114,11199.591866383602
060552013002000,186,16,0,170,337,842.1,223.2,448.2,1513.5,417618.7686383116,13758.469450148894
060552002013018,0,0,0,0,7,4.9,0,4.2,9.1,405907.6418626882,20102.27022240989
060552014012015,2,2,0,0,23,17.5,2.4,14.8,34.7,363684.28742874623,465.04054202184807
060552010041013,0,0,0,0,30,21,0,18,39,342595.97615347523,2198.549965673238
060552002021018,64,0,0,64,1,224.7,76.8,90.2,391.7,398810.5539145255,84279.29900709716
060552005013027,34,19,0,15,14,75.6,40.8,38.9,155.3,405277.82126745145,84823.27203120793
060552002011015,5,0,0,5,10,24.5,6,13,43.5,403474.02780685213,66567.33331607693
060552002021023,240,22,5,213,1,803.6,288,333.3,1424.9,403978.73260261543,82129.37922180803
060552005044003,473,6,0,467,111,1716.4,567.6,723.4,3007.4,409484.9571523888,50118.50734964313
060552007042005,8,0,0,8,24,44.8,9.6,25.6,80,410085.67791154934,36452.344124156276
060552007042026,2,0,2,0,6,21,2.4,13,36.4,404700.38348188886,16160.318772408653
060552016023021,100,0,47,53,3,582.4,120,296.9,999.3,315024.65174670203,24297.92714221838
060552004003005,4,0,0,4,33,37.1,4.8,25.4,67.3,401109.2589491392,63898.94374559247
060552003013006,10,10,0,0,27,25.9,12,21.2,59.1,391308.45695764513,34228.86314391264
060552003011026,1,0,0,1,37,29.4,1.2,23.6,54.2,386545.14830744534,21192.895650879058
060552013002007,0,0,0,0,35,24.5,0,21,45.5,399279.0329446857,12125.18415056265
060552006023003,3,0,0,3,79,65.8,3.6,51.6,120.99999999999999,408926.78796715813,44986.76522671055
060552007052001,53,0,0,53,69,233.8,63.6,115.6,413,400773.28958133404,11447.946059832095
060552014013006,41,41,0,0,43,58.8,49.2,46.3,154.3,392548.04223613977,4123.566828593063
