id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
220290003003000,0,0,0,0,23,16.1,0,13.8,29.9,118835.09106449682,2214.2207270812028
220290005003066,0,0,0,0,4,2.8,0,2.4,5.2,5979.728504956847,10.034240436992794
220290002022048,0,0,0,0,7,4.9,0,4.2,9.1,116243.87117477568,7230.73697936302
220290002023050,0,0,0,0,8,5.6,0,4.8,10.4,115784.15024628861,7621.683709917016
220290001001052,0,0,0,0,7,4.9,0,4.2,9.1,102964.84024300809,106.3312547117744
220290002011030,0,0,0,0,3,2.1,0,1.8,3.9,114877.35120330907,7075.266532678148
220290002011018,0,0,0,0,23,16.1,0,13.8,29.9,109493.75641877195,4935.5820721322025
220290004003003,0,0,0,0,2,1.4,0,1.2,2.6,122579.49803593813,10346.450412267872
220290004004001,0,0,0,0,36,25.2,0,21.6,46.8,121586.71993614774,9401.230092871674
220290005003062,0,0,0,0,3,2.1,0,1.8,3.9,984.7817389962237,3.908105346825065
220290003002014,0,0,0,0,8,5.6,0,4.8,10.4,116790.012492362,33.425552206582104
220290004002031,7,0,0,7,1,25.2,8.4,10.4,44,122475.43296014088,9354.073260710864
220290005001025,0,0,0,0,1,0.7,0,0.6,1.3,20.656582823312444,0.9997283725901338
220290004005012,3,3,0,0,6,6.3,3.6,5.1,14.999999999999998,121900.60157724151,8821.350607903949
220290002012012,0,0,0,0,4,2.8,0,2.4,5.2,110373.2041270383,3883.3401035112897
220290002011015,0,0,0,0,5,3.5,0,3,6.5,110333.39291862365,3730.096134813075
220290004002029,0,0,0,0,11,7.7,0,6.6,14.3,122039.15314749333,8976.868174273633
220290005001049,0,0,0,0,5,3.5,0,3,6.5,43.331855230121505,5.9951859949005275
220290002011052,0,0,0,0,1,0.7,0,0.6,1.3,114394.17838012855,5784.420422831615
220290005002002,0,0,0,0,53,37.1,0,31.8,68.9,1083.0379639495409,69.93318690313873
220290001003020,0,0,0,0,3,2.1,0,1.8,3.9,17294.305255322946,2.9995159037780312
220290002012031,0,0,0,0,12,8.4,0,7.2,15.6,108841.32791973941,3879.1970459134513
220290001002078,0,0,0,0,1,0.7,0,0.6,1.3,82036.32064585527,635.794039375802
220290004002025,0,0,0,0,1,0.7,0,0.6,1.3,121341.34499481047,4246.769177175483
220290004004002,0,0,0,0,34,23.8,0,20.4,44.2,121651.20159510894,9765.638195300438
220290004001022,0,0,0,0,22,15.4,0,13.2,28.6,121012.8289052989,3855.9557513869718
220290001003007,4,1,0,3,80,67.2,4.8,52.7,124.7,3498.2811292031583,124.04042228976557
220290001003015,0,0,0,0,4,2.8,0,2.4,5.2,4117.521124168972,6.042429093754554
220290003004011,0,0,0,0,9,6.3,0,5.4,11.7,118959.75954886612,1543.3312001779682
220290003004020,0,0,0,0,17,11.9,0,10.2,22.1,117436.67316582953,2919.8733467630695
220290001002074,0,0,0,0,2,1.4,0,1.2,2.6,83462.22397911549,162.6033871931687
220290002012030,0,0,0,0,17,11.9,0,10.2,22.1,113097.36583330018,4629.766609911372
220290004004023,0,0,0,0,42,29.4,0,25.2,54.6,121823.88684639192,8767.295935952152
220290004003000,3,0,3,0,3,27.3,3.6,15.9,46.8,122974.4661856024,9706.206121932186
220290004003006,0,0,0,0,4,2.8,0,2.4,5.2,122732.22697001061,9735.778822438006
220290004003022,11,11,0,0,9,14,13.2,10.9,38.1,122316.44191842423,9160.138715416695
220290001002007,0,0,0,0,7,4.9,0,4.2,9.1,57181.996257651954,11.369514051716461
220290004003027,0,0,0,0,2,1.4,0,1.2,2.6,121730.01400138764,4105.581337933108
220290001002043,5,0,5,0,1,42.7,6,24.1,72.8,87799.83895295313,729.7168500367275
220290001001012,0,0,0,0,2,1.4,0,1.2,2.6,8414.20898454235,2.030762574057351
220290005002009,0,0,0,0,27,18.9,0,16.2,35.1,961.8142910379871,45.76777786666895
220290001002000,0,0,0,0,2,1.4,0,1.2,2.6,8551.43511539742,1.9922943485556275
220290005003069,0,0,0,0,2,1.4,0,1.2,2.6,17170.31886720517,20.802600932107804
220290004004012,0,0,0,0,3,2.1,0,1.8,3.9,120354.83376121389,8067.85425492794
220290003004004,0,0,0,0,5,3.5,0,3,6.5,117980.119282732,1527.5916585455548
220290003002017,0,0,0,0,4,2.8,0,2.4,5.2,118641.48792815075,431.5138112553495
220290004002021,0,0,0,0,5,3.5,0,3,6.5,122355.75989058503,9218.192629554183
220290002023038,4,4,0,0,1,3.5,4.8,2.6,10.9,115950.85792246203,7909.691945928477
220290001001034,0,0,0,0,1,0.7,0,0.6,1.3,12155.768430460696,1.06175083410719
220290001002050,0,0,0,0,2,1.4,0,1.2,2.6,89869.49129157608,729.6394848579076
220290004005019,0,0,0,0,16,11.2,0,9.6,20.8,121851.36188862867,9950.773642225777
