id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
530299708002012,0,0,0,0,21,14.7,0,12.6,27.3,86095.07424335122,26661.08726383732
530299707002001,12,0,0,12,16,53.2,14.4,26.4,94,86366.86511909953,27530.253722011974
530299705002012,0,0,0,0,3,2.1,0,1.8,3.9,86625.91861943262,1322.6049608818826
530299706021010,0,0,0,0,4,2.8,0,2.4,5.2,87967.34958943677,23106.136998081623
530299705002015,2,2,0,0,19,14.7,2.4,12.4,29.5,89178.9285340055,32.501403685199755
530299704012025,6,6,0,0,18,16.8,7.2,13.8,37.8,86776.72582294802,4906.47831267835
530299716002008,0,0,0,0,28,19.6,0,16.8,36.4,16232.944105659559,632.4393835164839
530299701002019,17,12,0,5,41,54.6,20.4,37.6,112.6,72174.2184839239,1457.4829455356669
530299717003001,2,2,0,0,21,16.1,2.4,13.6,32.1,15984.96107457401,307.55620876365174
530299721002000,9,8,1,0,179,139.3,10.8,116.1,266.2,35388.45611793673,577.4361039641495
530299715001029,0,0,0,0,17,11.9,0,10.2,22.1,16257.696837707526,845.681379099732
530299710002025,0,0,0,0,27,18.9,0,16.2,35.1,88252.1783066616,648.6471015769702
530299708001016,0,0,0,0,12,8.4,0,7.2,15.6,85092.7712978166,14428.628025708478
530299709002016,0,0,0,0,9,6.3,0,5.4,11.7,85549.4625793524,19229.26439218156
530299713012041,34,11,0,23,13,97.3,40.8,45.5,183.6,54137.63514763451,7812.928823161573
530299713022007,0,0,0,0,5,3.5,0,3,6.5,85888.53796351753,183.94938920856148
530299717001015,1,1,0,0,9,7,1.2,5.9,14.1,16538.326833574883,812.5989905384292
530299715001027,0,0,0,0,8,5.6,0,4.8,10.4,15788.170153939005,527.997679535469
530299716001017,0,0,0,0,2,1.4,0,1.2,2.6,16532.971056172413,463.4286592083094
530299715002022,0,0,0,0,1,0.7,0,0.6,1.3,16597.447825528183,246.77350006214851
530299716002011,0,0,0,0,16,11.2,0,9.6,20.8,15567.163008113492,85.37695601157803
530299720002018,0,0,0,0,1,0.7,0,0.6,1.3,35296.31807791876,206.79479533245865
530299721001002,33,0,0,33,12,123.9,39.6,53.4,216.9,37513.90871362667,2037.1228471990612
530299704012017,0,0,0,0,28,19.6,0,16.8,36.4,86237.40994772487,3042.086322556758
530299711001019,0,0,0,0,5,3.5,0,3,6.5,83922.89363882503,617.0430691224341
530299719002017,0,0,0,0,11,7.7,0,6.6,14.3,34393.25477552172,356.9168383689867
530299715001009,0,0,0,0,6,4.2,0,3.6,7.8,16016.74350948982,414.6946046888963
530299705001004,0,0,0,0,108,75.6,0,64.8,140.4,79097.97187662551,207.01969527476095
530299704011000,0,0,0,0,107,74.9,0,64.2,139.1,80953.5304092795,206.6464519297696
530299721004018,4,4,0,0,38,29.4,4.8,24.8,59,28099.21669984899,62.1306970017035
530299705001028,0,0,0,0,35,24.5,0,21,45.5,87120.30967856527,3818.3345283499
530299713021008,18,2,0,16,78,112,21.6,70.2,203.8,28855.366113464297,203.06009154621395
530299715002012,0,0,0,0,5,3.5,0,3,6.5,16420.28492125395,307.89264129812835
530299710001043,0,0,0,0,5,3.5,0,3,6.5,92421.13881699728,13651.041568312596
530299714002022,0,0,0,0,6,4.2,0,3.6,7.8,16090.670388360408,682.2410478142419
530299721004006,3,0,0,3,8,16.1,3.6,9,28.7,24419.254038978648,128.0894277064286
530299717001013,0,0,0,0,2,1.4,0,1.2,2.6,16200.425939230316,457.85258463644584
530299717002015,6,6,0,0,74,56,7.2,47.4,110.6,13751.826873485845,174.4737986577231
530299719002027,3,0,0,3,5,14,3.6,7.2,24.8,43692.960442365,239.63354202798746
530299710001052,3,0,0,3,35,35,3.6,25.2,63.8,87417.72963396643,10269.462481367289
530299706011014,0,0,0,0,7,4.9,0,4.2,9.1,85103.73306997019,4508.048308011706
530299716001015,6,0,0,6,131,112.7,7.2,87,206.9,16073.232146383569,300.516507553298
530299718001004,0,0,0,0,22,15.4,0,13.2,28.6,46668.61906557521,1502.3104269614357
530299711001029,0,0,0,0,11,7.7,0,6.6,14.3,92765.68022586723,578.5855988816363
530299716002000,4,4,0,0,70,51.8,4.8,44,100.6,16460.89265779548,550.3669285802376
530299706012002,0,0,0,0,17,11.9,0,10.2,22.1,85222.58886301177,10712.455012593284
530299703003007,0,0,0,0,5,3.5,0,3,6.5,78608.1242945679,24.17523451829312
530299708001011,0,0,0,0,38,26.6,0,22.8,49.4,85427.13753854831,18515.919997688186
530299717002003,0,0,0,0,34,23.8,0,20.4,44.2,16289.209052142858,147.45697511481023
530299717002002,0,0,0,0,9,6.3,0,5.4,11.7,16373.527618403266,400.31998032481056
530299711001020,0,0,0,0,4,2.8,0,2.4,5.2,84218.00133168255,495.4187893362229
530299714002032,1,1,0,0,24,17.5,1.2,14.9,33.6,16299.061451232577,573.1695087885671
530299717002008,0,0,0,0,8,5.6,0,4.8,10.4,16350.62568958958,442.6713453017075
530299709004008,0,0,0,0,36,25.2,0,21.6,46.8,85325.13999789271,22267.724010605154
530299704012033,0,0,0,0,22,15.4,0,13.2,28.6,86947.01514448316,8718.41799225014
530299713022002,1,0,0,1,20,17.5,1.2,13.4,32.1,80256.70758250593,195.12518471576777
530299704011008,5,0,0,5,46,49.7,6,34.6,90.3,84619.1003722087,5236.099742063703
530299709001010,0,0,0,0,12,8.4,0,7.2,15.6,80609.80766282382,433.79023128006077
530299720003014,56,0,10,46,66,291.2,67.2,151,509.4,37565.277978483304,556.9036803869305
530299714001005,6,6,0,0,96,71.4,7.2,60.6,139.2,15658.100157231402,400.69964900590685
530299714003000,0,0,0,0,7,4.9,0,4.2,9.1,16097.240908191416,456.9655084379531
530299707002003,43,0,0,43,27,169.4,51.6,76.4,297.4,86784.2684245702,32260.741227009585
530299720002002,50,16,0,34,32,152.6,60,74.8,287.4,37615.39185813484,481.20960817612934
530299721003003,0,0,0,0,6,4.2,0,3.6,7.8,19582.04093692128,134.3107361113369
530299720001043,0,0,0,0,14,9.8,0,8.4,18.2,38026.97248279896,3952.7867894790693
530299719003014,0,0,0,0,7,4.9,0,4.2,9.1,39499.09374308194,192.46703014804717
530299719002022,0,0,0,0,4,2.8,0,2.4,5.2,39888.24932379711,136.78662706784493
530299715001015,6,6,0,0,40,32.2,7.2,27,66.4,16045.429152846562,505.07539658812885
