id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
120970426032014,0,0,0,0,9,6.3,0,5.4,11.7,4190088.508247173,2236.0377123022595
120970409032007,0,0,0,0,6,4.2,0,3.6,7.8,4647458.365570024,8624.301701265014
120970433041067,0,0,0,0,9,6.3,0,5.4,11.7,402942.8002294974,763.9074669024018
120970409011021,12,3,0,9,81,90.3,14.4,62.7,167.4,3612068.90891968,1319.7070651773963
120970434002044,0,0,0,0,1,0.7,0,0.6,1.3,2502462.7895096727,28540.640985382353
120970433042000,29,9,0,20,278,270.9,34.8,199.3,505,683530.1774092135,959.3640464851649
120970423001033,0,0,0,0,12,8.4,0,7.2,15.6,4376862.649282821,12201.635399731462
120970431001013,4,0,0,4,34,37.8,4.8,26,68.6,1843945.684661213,816.1903119027075
120970432032021,0,0,0,0,56,39.2,0,33.6,72.8,2850617.3571459325,27838.379658351136
120970408082074,0,0,0,0,15,10.5,0,9,19.5,3330803.0492893206,7804.925311335834
120970408051044,0,0,0,0,1,0.7,0,0.6,1.3,2441474.793874225,1076.1888786621876
120970429012036,0,0,0,0,62,43.4,0,37.2,80.6,3640722.1692416216,3714.6533362545033
120970410061025,0,0,0,0,26,18.2,0,15.6,33.8,625597.7457829231,2309.031340766483
120970428003032,0,0,0,0,53,37.1,0,31.8,68.9,3154741.25521816,1171.6380467191648
120970429012045,2,0,0,2,18,19.6,2.4,13.6,35.6,2877499.3287868416,1702.092868281533
120970411021012,0,0,0,0,15,10.5,0,9,19.5,439219.6025517504,2805.664254934381
120970436001038,0,0,0,0,13,9.1,0,7.8,16.9,1054999.8731532872,870.17634454254
120970408073027,5,1,4,0,20,48.3,6,31.3,85.6,4489656.981190605,12872.466548973956
120970417003003,0,0,0,0,16,11.2,0,9.6,20.8,3863353.952987083,30003.013484153285
120970408051037,5,0,4,1,48,70.7,6,48.99999999999999,125.7,1913630.952643634,310.937503485632
120970409031003,4,0,0,4,65,59.5,4.8,44.6,108.9,4359282.282711542,3541.6063646522525
120970425001004,0,0,0,0,62,43.4,0,37.2,80.6,4987076.448350634,3354.6753644395135
120970426032006,0,0,0,0,8,5.6,0,4.8,10.4,4053899.662511809,1889.0172067317244
120970409041060,0,0,0,0,7,4.9,0,4.2,9.1,3073973.0724119702,3052.8165873964663
120970438023036,0,0,0,0,26,18.2,0,15.6,33.8,135983.16523994284,447.73812061812055
120970423002025,2,2,0,0,16,12.6,2.4,10.6,25.6,4264229.1706883125,39070.00125653049
120970427021003,4,4,0,0,16,14,4.8,11.6,30.4,4454877.441119497,4153.677119725926
120970433042023,0,0,0,0,26,18.2,0,15.6,33.8,1347529.5707549453,1601.1325870095734
120970423003018,285,7,180,98,53,1897,342,1018.5,3257.5,5707114.263546353,18295.06049762848
120970408101050,2,0,1,1,2,13.3,2.4,7.3,23,3984492.845530935,8245.229503485481
120970438012195,0,0,0,0,3,2.1,0,1.8,3.9,292498.9382468639,1036.4087148711233
120970408112043,1,0,1,0,11,16.1,1.2,11.3,28.6,2722357.7432342963,615.7011936547624
120970434002018,0,0,0,0,12,8.4,0,7.2,15.6,2367192.4153910577,22362.457051121317
120970415011008,0,0,0,0,10,7,0,6,13,1394337.8031525004,645.6537983641559
120970431002043,0,0,0,0,36,25.2,0,21.6,46.8,2417110.7095445134,293.0193017725402
120970408092004,0,0,0,0,11,7.7,0,6.6,14.3,5451113.692281753,6111.6913508049465
120970416004012,0,0,0,0,4,2.8,0,2.4,5.2,3742259.1682042517,57242.3215743144
120970438012137,0,0,0,0,1,0.7,0,0.6,1.3,4189.422528323727,0.9999636941809982
120970432082022,2,0,0,2,14,16.8,2.4,11.2,30.4,2075996.2258169758,2075.832702724718
120970426042020,0,0,0,0,20,14,0,12,26,4477338.314005154,6338.104801193815
120970408101051,1,0,0,1,4,6.3,1.2,3.8,11.3,4253845.368702405,11570.59858001554
120970436002033,10,0,10,0,23,100.1,12,60.8,172.9,1343407.275977762,3295.1443651394625
120950167233007,0,0,0,0,39,27.3,0,23.4,50.7,5911229.53824608,2862.931568202966
120950168092011,0,0,0,0,19,13.3,0,11.4,24.7,5199556.971349784,3297.9678755368977
120950168025093,0,0,0,0,5,3.5,0,3,6.5,4392239.744696923,3029.0705597295105
120950147052028,0,0,0,0,10,7,0,6,13,6101973.122805398,23617.1559246257
120950133004001,0,0,0,0,110,77,0,66,143,6822172.08746108,17564.29906769259
120950175061008,2,0,2,0,13,25.9,2.4,17.2,45.5,5043741.357030217,2156.432589852609
120970438011021,0,0,0,0,18,12.6,0,10.8,23.4,493659.3449531089,392.66479783950587
120970438011013,0,0,0,0,19,13.3,0,11.4,24.7,289763.3840392797,686.9849359947547
120950167283008,0,0,0,0,15,10.5,0,9,19.5,4212481.556054525,5871.3032228421
120950181001062,0,0,0,0,2,1.4,0,1.2,2.6,5147027.319392549,7303.6367033628685
120950167381009,16,0,0,16,62,99.4,19.2,59.6,178.2,6043814.527285547,17714.64144147887
120950169021002,2011,371,6,1634,276,6222.3,2413.2,2666.9,11302.4,5839198.620945207,57009.317157752506
120950155011026,245,63,0,182,3,683.2,294,288.1,1265.3,5889117.597807328,61978.23503436075
120950160022008,0,0,0,0,2,1.4,0,1.2,2.6,6016541.215624467,20599.75182575815
120950168113020,0,0,0,0,82,57.4,0,49.2,106.6,4052566.7831336716,498.75850916241046
120950124031058,19,13,0,6,1,30.8,22.8,15.5,69.1,7317104.116244321,31792.187722899293
120950178102024,0,0,0,0,1,0.7,0,0.6,1.3,3389993.3842304433,6823.581393336484
120950171082013,0,0,0,0,18,12.6,0,10.8,23.4,2213720.284029507,802.2303255124408
120970423001012,0,0,0,0,24,16.8,0,14.4,31.2,4323367.61696085,5683.589315985821
120950166034011,0,0,0,0,10,7,0,6,13,2572124.272668127,2066.315043856557
120950167233027,1,0,0,1,11,11.2,1.2,8,20.4,5981982.190794267,3131.083338965979
120950149081009,4,1,1,2,69,64.4,4.8,49.4,118.6,6545007.182393561,18452.226693057124
120950138031019,5,0,3,2,52,68.6,6,48.1,122.7,6446742.736581672,4894.150725771999
120950103003013,43,0,0,43,387,421.4,51.6,292.4,765.4,7717198.296062818,362635.1431428446
120950189014011,97,0,0,97,2,340.9,116.4,136.99999999999997,594.3,7453071.3649320835,380959.6451324292
120950175063025,0,0,0,0,17,11.9,0,10.2,22.1,5398252.699198723,5205.311270382579
120950167351071,1,0,0,1,243,173.6,1.2,147.2,322,4818493.606756532,2718.140055992843
120950127012008,19,2,0,17,46,93.1,22.8,52.4,168.3,6926224.149274143,34653.605601040224
120950176001021,3,3,0,0,27,21,3.6,17.7,42.3,3778094.6725110086,5699.319001241916
120950176001004,31,0,0,31,2,109.9,37.2,44.6,191.7,4496131.913707869,24692.58774753298
120950176001042,10,0,0,10,20,49,12,26,87,4285816.798550359,5424.936442982507
120950162003009,0,0,0,0,12,8.4,0,7.2,15.6,5974666.14363152,21540.772313316957
120950126003008,0,0,0,0,11,7.7,0,6.6,14.3,7054256.438326234,20471.33492914251
120950179012004,0,0,0,0,10,7,0,6,13,1772366.820637922,1451.0923925602112
120950148101009,1,1,0,0,28,20.3,1.2,17.3,38.8,5619094.273384828,11641.213329135611
120950129003020,5,0,0,5,14,27.3,6,15.4,48.7,6683445.560899292,54760.311462974525
120950178122016,8,0,0,8,20,42,9.6,23.2,74.8,4030346.8564904872,9396.331836940728
120950150022037,0,0,0,0,12,8.4,0,7.2,15.6,5122480.509179485,3193.8076689125082
120950167512019,37,1,4,32,115,226.8,44.4,133.1,404.3,4035455.603237808,2371.624515893079
120950166072024,0,0,0,0,17,11.9,0,10.2,22.1,1405369.1594162274,2439.9985654436364
120950148101007,8,3,0,5,31,41.3,9.6,27.1,78,5501876.303138862,10154.141195745731
120950175062091,0,0,0,0,12,8.4,0,7.2,15.6,4764243.675891751,991.6336362803315
120950189022000,98,6,0,92,404,609,117.6,374.2,1100.8,7623248.725222986,498575.9583085662
120950171143011,12,11,0,1,20,25.2,14.4,18.9,58.5,3508551.9412969328,4574.3448367886695
120970429021011,36,4,13,19,177,302.4,43.2,195.9,541.5,4528975.898953147,7228.46901276243
120970433032012,4,0,0,4,10,21,4.8,11.6,37.4,1809979.789141333,12975.065872963421
120970427012006,0,0,0,0,16,11.2,0,9.6,20.8,2779000.060280112,3980.713531444193
120950166061003,0,0,0,0,2,1.4,0,1.2,2.6,1558413.9066827667,291.3858961682403
120950166061030,0,0,0,0,2,1.4,0,1.2,2.6,2140843.970670165,669.7285825646455
120950176003056,0,0,0,0,18,12.6,0,10.8,23.4,4267914.149678016,12009.64278904905
120950170191013,0,0,0,0,11,7.7,0,6.6,14.3,5813593.682640095,9490.849287268074
120950171134038,0,0,0,0,26,18.2,0,15.6,33.8,3877403.50043023,1492.8227075148677
120970409041047,58,3,1,54,2,200.9,69.6,83,353.5,3984863.1776594846,22853.884243444107
120970433011043,0,0,0,0,7,4.9,0,4.2,9.1,628143.5061042414,305.7579037571273
120970436001032,27,16,0,11,282,247.1,32.4,192.6,472.1,1261578.820173744,892.929620417822
120950146063003,17,0,0,17,383,327.6,20.4,253.6,601.6,7009191.919830387,12085.891890388635
120950116002009,0,0,0,0,13,9.1,0,7.8,16.9,7749806.069980685,17060.308379289898
120950185001019,3,0,1,2,4,18.2,3.6,9.9,31.7,7665302.657775574,24853.428965127303
120950171134060,1,1,0,0,17,12.6,1.2,10.7,24.5,3361829.202649076,2299.296920970617
120950189022006,0,0,0,0,1,0.7,0,0.6,1.3,7610752.675445377,492486.8158290113
120950128001004,0,0,0,0,20,14,0,12,26,5709124.383004648,19462.46576913206
120950153002017,1,1,0,0,20,14.7,1.2,12.5,28.4,7155905.070346846,22854.203074095956
120950117011013,0,0,0,0,11,7.7,0,6.6,14.3,7416659.878975037,17905.311350677046
120950170131009,0,0,0,0,12,8.4,0,7.2,15.6,5859728.172734074,10761.45738353506
120950170131001,9,4,0,5,5,23.8,10.8,12,46.6,5896033.164694165,12161.362296490975
120950139002033,9,9,0,0,32,28.7,10.8,23.7,63.2,6069320.968838939,6715.6640719187035
120950183001014,0,0,0,0,41,28.7,0,24.6,53.3,7246041.93617209,96833.35586423121
120950189013021,0,0,0,0,17,11.9,0,10.2,22.1,7347566.639581905,245964.084949286
120950135101004,0,0,0,0,21,14.7,0,12.6,27.3,6812446.485495189,32246.04431603609
120950168042008,0,0,0,0,53,37.1,0,31.8,68.9,5542896.8698744355,5461.98643876723
120950167511002,1,0,0,1,25,21,1.2,16.4,38.6,4654449.563257906,1719.696857276671
120950168025173,0,0,0,0,1,0.7,0,0.6,1.3,4876221.242553478,620.6486012335935
120950170252010,6,2,0,4,19,28.7,7.2,18,53.9,3671686.1141136773,3581.319496159564
120950172001073,98,0,0,98,6,347.2,117.6,140.8,605.6,3856914.516519113,3719.6937816275067
120950167542001,9,7,0,2,68,59.5,10.8,47.1,117.4,5043480.361863298,3063.608098742919
120950171081022,0,0,0,0,33,23.1,0,19.8,42.9,3989745.4587751175,4536.392984355965
120950147015002,62,28,0,34,88,200.2,74.4,114.4,388.99999999999994,6648417.206081134,23376.516685258055
120950146072030,0,0,0,0,9,6.3,0,5.4,11.7,6730921.927031603,37795.480890252016
120950159012034,0,0,0,0,10,7,0,6,13,6540850.920588875,115511.44894755066
120950110004017,55,0,0,55,24,209.3,66,91.4,366.7,7396827.310972295,70167.7906300061
120950132013002,0,0,0,0,22,15.4,0,13.2,28.6,6698793.015700674,12455.743893525765
120950167372016,4,0,0,4,28,33.6,4.8,22.4,60.8,3238303.6387450052,3073.1871471067084
120950171142015,4,0,0,4,30,35,4.8,23.6,63.4,3216988.15624932,4810.420395182809
120950148151011,7,4,0,3,19,26.6,8.4,17.6,52.6,5223582.435774069,1064.7571952961828
120950149061020,3,0,0,3,46,42.7,3.6,31.8,78.1,5531629.4633389935,4762.000277377769
120950178051044,3,3,0,0,29,22.4,3.6,18.9,44.9,1920287.7914905257,544.8439996165907
120950160011035,0,0,0,0,4,2.8,0,2.4,5.2,6214684.845149992,65771.44843822668
120950157011002,7,0,0,7,29,44.8,8.4,27.2,80.4,5544864.479242907,8834.966325712612
120950178142011,0,0,0,0,3,2.1,0,1.8,3.9,997241.2595687368,1858.4108347701795
120950166071015,0,0,0,0,1,0.7,0,0.6,1.3,32518.27262794566,0.9993379062125743
120950170062008,1,0,0,1,117,85.4,1.2,71.6,158.2,5754892.39413668,11879.39392516547
120950167551011,1,0,0,1,56,42.7,1.2,35,78.9,4646107.867868058,2539.7994989690696
120950149062006,1,0,1,0,10,15.4,1.2,10.7,27.3,5886677.728169457,7543.751904558068
120690312031147,0,0,0,0,7,4.9,0,4.2,9.1,284109.0466941501,503.24628441946265
120950148132007,2,0,1,1,18,24.5,2.4,16.9,43.8,6158185.371498782,15597.76324339457
120950168025101,0,0,0,0,51,35.7,0,30.6,66.3,4186673.693766075,2907.590580149202
120950178101035,0,0,0,0,24,16.8,0,14.4,31.2,2779756.969477283,548.4586134013256
120950172002037,0,0,0,0,6,4.2,0,3.6,7.8,4375060.238614404,4482.145109637915
120950181002021,27,0,0,27,4,97.3,32.4,40.2,169.9,5728690.013859378,11105.21689642735
120950176002022,12,12,0,0,1,9.1,14.4,6.6,30.1,4160926.0030731205,18606.293910003176
120950105001029,1,0,1,0,3,10.5,1.2,6.5,18.2,7873584.6467910595,236615.14187103763
120950172002026,0,0,0,0,5,3.5,0,3,6.5,4641671.752270884,4216.106274769348
120950152043004,0,0,0,0,17,11.9,0,10.2,22.1,6321267.884459494,120391.18505378094
120950175044033,0,0,0,0,16,11.2,0,9.6,20.8,4007818.9652968277,3363.533116164293
120950170012030,0,0,0,0,24,16.8,0,14.4,31.2,6434285.806933504,21271.464502213035
120950126004031,0,0,0,0,19,13.3,0,11.4,24.7,7006285.8289151285,27708.03981835178
120950147052016,0,0,0,0,49,34.3,0,29.4,63.7,6130026.899866355,25377.796602888902
120950173022005,0,0,0,0,1,0.7,0,0.6,1.3,5380571.777571081,28791.5594333141
120950167561019,0,0,0,0,12,8.4,0,7.2,15.6,4651012.048876344,2297.2259767201326
120950177013004,10,10,0,0,32,29.4,12,24.2,65.6,3447194.1428051437,7342.824228593564
121170221013036,0,0,0,0,26,18.2,0,15.6,33.8,4482127.347114066,5361.965954909894
121170213171013,0,0,0,0,83,58.1,0,49.8,107.9,4128183.4133159933,14820.174197967423
121170220062005,3,0,0,3,7,15.4,3.6,8.4,27.4,4931763.751634793,4887.203266405178
121170219023020,3,0,0,3,10,17.5,3.6,10.2,31.3,5664499.827309292,33694.45674362867
120950140003000,10,2,0,8,41,58.1,12,36.8,106.9,6373506.0280700615,4128.244979952544
120950151062003,6,0,0,6,39,48.3,7.2,31.8,87.3,4762736.819129013,3775.7428612962863
120950151063009,0,0,0,0,29,20.3,0,17.4,37.7,4927650.847072407,4060.6465816109376
120950123042006,0,0,0,0,19,13.3,0,11.4,24.7,5559323.78653064,7558.533034253798
120950175044008,0,0,0,0,30,21,0,18,39,3973641.8013265827,4861.748574141291
120950164061011,0,0,0,0,20,14,0,12,26,5494624.411529936,29070.48434396787
120950166061057,0,0,0,0,1,0.7,0,0.6,1.3,2653321.076341542,442.3677360777774
120950182011002,54,1,0,53,6,190.4,64.8,78.3,333.5,5609510.774385812,33177.86356008446
120950134061009,0,0,0,0,19,13.3,0,11.4,24.7,6963501.854125373,14845.671586000928
121170208064021,0,0,0,0,9,6.3,0,5.4,11.7,3435782.1930179107,3211.51112150667
120950174023036,0,0,0,0,8,5.6,0,4.8,10.4,5372413.937454016,29687.01301061743
120950166034027,0,0,0,0,4,2.8,0,2.4,5.2,2563263.1255439185,1716.7961857143318
120950135131003,0,0,0,0,4,2.8,0,2.4,5.2,1192.8632476971175,1634.9925554295705
120950167233008,1,1,0,0,42,30.1,1.2,25.7,57,5695129.454246945,2962.950127039322
120950178061008,0,0,0,0,31,21.7,0,18.6,40.3,2684048.5119955605,655.9377578204579
120950167372114,29,14,0,15,131,154,34.8,106.6,295.4,497807.7206047975,333.8516871891787
120950171121057,0,0,0,0,7,4.9,0,4.2,9.1,3916333.5513384175,4438.1279481612955
120950167352003,647,36,208,403,438,3489.5,776.4,1822.6,6088.5,3354280.603856902,8516.237795246814
120950171142041,0,0,0,0,40,28,0,24,52,3744731.9084170447,5100.489756009197
120950151041020,199,169,4,26,19,256.2,238.8,151.1,646.1,6551757.927922408,18801.153141111776
120950159012032,0,0,0,0,4,2.8,0,2.4,5.2,6536259.033533315,114794.08453983733
120950112002013,0,0,0,0,11,7.7,0,6.6,14.3,7154532.966441247,22047.478101163368
120950148091002,0,0,0,0,6,4.2,0,3.6,7.8,5029742.29843829,2560.3700550252406
120950175062078,25,0,0,25,36,112.7,30,56.6,199.3,3465989.924064637,2183.9139331107735
120950139002016,19,0,0,19,9,72.8,22.8,31.999999999999996,127.6,6930397.637646588,26033.30352969776
120950168121019,11,10,0,1,65,56,13.2,45.4,114.6,5142449.9221694525,2112.3375274397886
120950167504013,0,0,0,0,136,95.2,0,81.6,176.8,1931022.976916869,1426.2330849636169
120950174012015,0,0,0,0,19,13.3,0,11.4,24.7,3729955.8473886396,1557.6434712535083
120950146091006,0,0,0,0,36,25.2,0,21.6,46.8,6545074.94238197,10086.790791279926
120950139002026,6,0,0,6,20,35,7.2,20.4,62.6,7102713.134003789,53405.90688785414
120950166042019,3,0,0,3,155,119,3.6,97.2,219.8,1557796.7543834464,239.15907074207365
120950171121046,0,0,0,0,8,5.6,0,4.8,10.4,3907617.955711886,4485.484507323741
120950138011011,22,2,0,20,100,141.4,26.4,89,256.8,6015916.078588607,3809.714599407299
120950104001031,0,0,0,0,40,28,0,24,52,7566491.119800489,127149.52089264244
120950125001050,0,0,0,0,11,7.7,0,6.6,14.3,6774649.538575343,14462.269045968293
120950171231025,3,1,0,2,18,20.3,3.6,14.1,38,4654283.4193940135,3966.030235838668
120950132022007,0,0,0,0,92,64.4,0,55.2,119.6,6564902.7007296,10885.092807577948
120950140004027,75,0,0,75,29,282.8,90,122.4,495.2,6067002.868449818,4813.35376421552
120950160021014,18,0,9,9,14,116.9,21.6,63.3,201.8,5677201.200610034,23771.672013198488
120950164072004,0,0,0,0,5,3.5,0,3,6.5,5601076.760410282,31235.638053878098
120950132021003,0,0,0,0,13,9.1,0,7.8,16.9,6032761.709923717,12954.768041171495
120950108023012,0,0,0,0,32,22.4,0,19.2,41.6,7194385.18774753,66024.35397606395
120950104001011,0,0,0,0,11,7.7,0,6.6,14.3,7792844.994197974,105390.51895656572
121170221012023,1,1,0,0,24,17.5,1.2,14.9,33.6,4193572.6025859877,3174.5605655910786
121170215041019,0,0,0,0,7,4.9,0,4.2,9.1,4559962.972836632,3009.4335444811627
121170213153010,0,0,0,0,18,12.6,0,10.8,23.4,3539494.6003637114,5954.938688293341
120950126004022,0,0,0,0,6,4.2,0,3.6,7.8,7041019.523816098,26292.608144681628
120950112002018,0,0,0,0,13,9.1,0,7.8,16.9,7158388.528661826,20676.291826175107
120950137023004,12,9,0,3,292,221.2,14.4,183.9,419.5,6504213.092141821,14919.299224000542
120950123042005,0,0,0,0,42,29.4,0,25.2,54.6,5709638.859452533,6630.823165722409
120950168021008,0,0,0,0,8,5.6,0,4.8,10.4,5831387.70849987,4187.971777885513
120950135052003,0,0,0,0,4,2.8,0,2.4,5.2,4292587.251770181,1575.4432198526742
120950127011002,2,0,0,2,20,21,2.4,14.8,38.2,7088092.65564199,100005.94318743607
120950169071002,0,0,0,0,14,9.8,0,8.4,18.2,7030831.438367421,23739.63249884253
121170215072019,0,0,0,0,18,12.6,0,10.8,23.4,4307938.05058236,20076.269917430254
120950152042005,0,0,0,0,7,4.9,0,4.2,9.1,6060332.480162515,91782.7490444851
120970432083007,1,1,0,0,3,2.8,1.2,2.3,6.3,2944043.203578608,4473.43166284359
120950171143016,0,0,0,0,6,4.2,0,3.6,7.8,3777121.519717072,4646.111739845974
