id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
191239506001011,1,0,0,1,19,16.8,1.2,12.8,30.8,59068.778247350674,25254.32760875495
191239503003084,0,0,0,0,3,2.1,0,1.8,3.9,57467.14540939922,302.03535412790285
191239503003071,0,0,0,0,4,2.8,0,2.4,5.2,57674.62156506702,295.78909976499415
191239501001018,24,24,0,0,24,33.6,28.8,26.4,88.8,47848.06919136621,893.9179783250582
191239501001044,0,0,0,0,8,5.6,0,4.8,10.4,50185.08261257889,887.8698246610587
191239501002071,0,0,0,0,3,2.1,0,1.8,3.9,53883.464067524044,2.9999912028380256
191239502001005,0,0,0,0,2,1.4,0,1.2,2.6,14916.748349237949,3.12861534907517
191239507003019,27,0,0,27,2,95.9,32.4,39,167.3,59024.91274887379,22695.84710279598
191239501001012,13,6,7,0,3,65.1,15.6,37.7,118.4,50067.68844779033,900.7552143626389
191239501002022,0,0,0,0,1,0.7,0,0.6,1.3,48399.213082327675,4.777622430495248
191239501002035,0,0,0,0,5,3.5,0,3,6.5,52281.179570477754,87.22373982419543
191239502003028,0,0,0,0,1,0.7,0,0.6,1.3,5960.726929132485,6.951609201859318
191239502002098,1,0,1,0,4,11.2,1.2,7.1,19.5,28099.107359718684,22.00354026919608
191239501002111,0,0,0,0,1,0.7,0,0.6,1.3,48539.25777014747,1.1377469278048853
191239505002035,0,0,0,0,39,27.3,0,23.4,50.7,56308.57708761379,1534.3481303899678
191239501003115,0,0,0,0,2,1.4,0,1.2,2.6,47926.37635898202,2.229943623234461
191239503001004,0,0,0,0,7,4.9,0,4.2,9.1,53017.351135387406,9.63861159327563
191239505002011,8,8,0,0,24,22.4,9.6,18.4,50.4,58383.6570961539,7895.505903777399
191239504003014,0,0,0,0,17,11.9,0,10.2,22.1,59099.062285676184,28067.082138705282
191239505001016,0,0,0,0,4,2.8,0,2.4,5.2,59022.14535395185,25269.41203132759
191239502001020,5,5,0,0,19,16.8,6,13.9,36.7,52155.29267941762,36.45390466363431
191239504001000,0,0,0,0,10,7,0,6,13,57083.65447025509,24.870690182698787
191239504001011,0,0,0,0,4,2.8,0,2.4,5.2,58696.62229315403,5533.547144934481
191239502002031,23,0,23,0,5,196.7,27.6,111.1,335.4,52158.851433047384,2849.1309001809595
191239501003178,0,0,0,0,2,1.4,0,1.2,2.6,58003.301306887595,32.82415413748995
191239507001019,0,0,0,0,2,1.4,0,1.2,2.6,58822.75861354326,19586.664762884877
191239501002048,0,0,0,0,3,2.1,0,1.8,3.9,5725.317346583959,2.998278738952632
191239501002040,0,0,0,0,2,1.4,0,1.2,2.6,54927.620157391,21.269082719787605
191239503003054,0,0,0,0,3,2.1,0,1.8,3.9,58087.747705497764,355.57218704579645
191239503003089,0,0,0,0,2,1.4,0,1.2,2.6,51626.26788777637,4.5001432663403085
191239503002015,0,0,0,0,3,2.1,0,1.8,3.9,46879.00519787227,11.805858251848493
191239506002017,11,3,8,0,56,108.5,13.2,72.7,194.4,58352.59787974735,8670.163916369695
191239501002039,0,0,0,0,8,5.6,0,4.8,10.4,52131.625839311164,86.20393004781987
