id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
210590012001012,0,0,0,0,24,16.8,0,14.4,31.2,333177.5292351159,19649.30265578194
210590014013016,36,1,0,35,105,196.7,43.2,112.5,352.4,327058.54660288594,629.3442744763975
210590007002017,0,0,0,0,2,1.4,0,1.2,2.6,332959.54330900114,11646.48432042801
210590002001042,6,0,0,6,9,27.3,7.2,13.8,48.3,330634.42808727094,17546.375729846783
210590008002020,2,0,0,2,12,15.4,2.4,10,27.8,334088.46355243557,43952.5118234319
210590018001018,1,0,0,1,38,30.1,1.2,24.2,55.5,326252.39727712056,453.66720028481006
210590017021026,0,0,0,0,15,10.5,0,9,19.5,333054.6659789289,15870.867277838088
210590015011032,1,0,1,0,30,29.4,1.2,22.7,53.3,313141.28492045717,228.68684744507883
210590016021012,0,0,0,0,3,2.1,0,1.8,3.9,253820.03990695643,65.65310935957758
210590016022025,2,0,0,2,3,9.1,2.4,4.6,16.1,259278.9493151129,77.98955880175308
210590009004003,2,0,0,2,21,21.7,2.4,15.4,39.5,331268.28131434997,9252.555067584653
210590015011005,0,0,0,0,1,0.7,0,0.6,1.3,268880.20850204496,1.098548348137604
210590004022006,2,0,2,0,5,20.3,2.4,12.4,35.1,333652.5435171892,64794.42137822214
210590012002004,0,0,0,0,28,19.6,0,16.8,36.4,332298.80696424405,9127.83548316845
210590018002107,0,0,0,0,1,0.7,0,0.6,1.3,298183.26235224196,23.153434333262215
210590015011007,0,0,0,0,1,0.7,0,0.6,1.3,186332.0753724956,1.0863303243925033
210590017022031,0,0,0,0,4,2.8,0,2.4,5.2,334184.03005853685,16486.757423446466
211499702003051,6,0,0,6,5,24.5,7.2,11.4,43.1,31049.61502821057,2831.4002657538895
210590008001024,0,0,0,0,20,14,0,12,26,334333.8752268288,37246.227840458974
210590013002006,38,36,0,2,165,147.7,45.6,119.8,313.1,330100.3776532037,4324.277480306494
210590006001000,11,0,11,0,3,94.5,13.2,53.5,161.2,332312.2709611511,19717.153375536982
210590005002010,1,1,0,0,68,48.3,1.2,41.3,90.8,332550.64246714825,27269.514309895134
211499705001106,12,12,0,0,17,20.3,14.4,16.2,50.9,133509.19203328772,423.957463392247
210590010001024,0,0,0,0,13,9.1,0,7.8,16.9,336369.0956366221,28880.030961177068
210590016012001,0,0,0,0,7,4.9,0,4.2,9.1,330896.49196550134,4181.2354626512815
210590012001011,0,0,0,0,18,12.6,0,10.8,23.4,333341.3379547569,20813.59618157682
210590011001004,0,0,0,0,26,18.2,0,15.6,33.8,334009.5439171821,19671.177769837468
210590017031011,0,0,0,0,14,9.8,0,8.4,18.2,329366.87384862796,259.41432100405257
210590017022042,2,0,0,2,20,21,2.4,14.8,38.2,333236.22705163655,13766.429243401748
210590016012016,2,0,0,2,20,21,2.4,14.8,38.2,329293.5044246149,1740.33249642745
210590015012040,3,3,0,0,18,14.7,3.6,12.3,30.6,316932.1594235791,226.5249780156495
210590004011007,8,0,0,8,259,209.3,9.6,166.6,385.5,330703.03769039136,7940.453475308329
210590009002034,0,0,0,0,55,38.5,0,33,71.5,333220.9238166893,12523.016037958978
210590011001010,0,0,0,0,12,8.4,0,7.2,15.6,334274.4733677708,20290.865574587184
210590014013034,0,0,0,0,8,5.6,0,4.8,10.4,329031.70300719095,4276.080588212006
210590001003007,0,0,0,0,12,8.4,0,7.2,15.6,332291.6272652309,13195.391083744267
210590002002011,0,0,0,0,5,3.5,0,3,6.5,333129.4013314883,40783.00240480823
210590018002036,0,0,0,0,5,3.5,0,3,6.5,167261.3996383686,5.999579829028722
210590001003003,0,0,0,0,31,21.7,0,18.6,40.3,332108.19648504106,16139.13627677443
210590013001001,2,0,0,2,42,36.4,2.4,28,66.8,328984.36273113504,364.76733986748997
211499705003050,0,0,0,0,2,1.4,0,1.2,2.6,12271.188030142443,487.47498100162113
210590007003000,0,0,0,0,4,2.8,0,2.4,5.2,335473.3956054129,39682.56872113726
210590004022011,30,0,30,0,10,259,36,147,442,333915.0124883384,64231.27763731615
210590002002026,0,0,0,0,3,2.1,0,1.8,3.9,332432.16413742054,35221.15830231618
210590014011012,0,0,0,0,17,11.9,0,10.2,22.1,330054.14944998047,5828.704762701848
210590017032044,1,1,0,0,10,7.7,1.2,6.5,15.4,303588.1257096795,15.029719060029691
211499702002024,0,0,0,0,1,0.7,0,0.6,1.3,38566.176573651035,6.8492063861117165
211499705003020,0,0,0,0,6,4.2,0,3.6,7.8,14639.857181654706,1060.1813525120199
210590012002008,0,0,0,0,12,8.4,0,7.2,15.6,331622.1297520328,9794.230994753407
210590004021025,0,0,0,0,12,8.4,0,7.2,15.6,331329.8237501711,14613.521771702124
210590017021001,1,0,1,0,61,51.1,1.2,41.3,93.6,333564.79224067554,11958.543090340409
210590018002014,0,0,0,0,3,2.1,0,1.8,3.9,220632.286029915,45.40419148028265
210590018003042,0,0,0,0,9,6.3,0,5.4,11.7,257100.30172706366,60.298187482904765
210590006003008,9,9,0,0,29,26.6,10.8,21.9,59.3,333031.5500984261,12491.66037162754
210590006004016,0,0,0,0,39,27.3,0,23.4,50.7,330900.7843405365,6052.7237459152
210590007003031,2,2,0,0,30,22.4,2.4,19,43.8,333610.7612276276,27088.17161701572
210590005002002,0,0,0,0,19,13.3,0,11.4,24.7,331948.40705554216,21682.907772674127
