id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
061110075051006,0,0,0,0,27,18.9,0,16.2,35.1,1036813.7631784736,7389.52944855826
061110022002018,3,1,1,1,19,25.9,3.6,18,47.5,1274122.0182220798,20146.42856665375
061110009011021,0,0,0,0,18,12.6,0,10.8,23.4,239631.86225727142,443.4092930591364
061110049022003,3,0,0,3,38,37.1,3.6,27,67.7,1705111.229732119,50910.567823487436
061110064003011,0,0,0,0,19,13.3,0,11.4,24.7,1505457.7775235646,12803.219495605685
061110063011011,0,0,0,0,38,26.6,0,22.8,49.4,1524555.8247228335,16284.54656887647
061110074032012,8,0,0,8,25,45.5,9.6,26.2,81.3,1088177.4239296548,7642.913720966874
061110033021000,547,160,0,387,40,1494.5,656.4,645.8,2796.7,1682197.2997691855,55927.430457667666
061110047151047,0,0,0,0,28,19.6,0,16.8,36.4,1583286.284146435,8833.404707928625
061110003024002,1,0,0,1,4,6.3,1.2,3.8,11.3,687559.2911489974,13029.977951726472
061110006001011,0,0,0,0,7,4.9,0,4.2,9.1,1176236.9124070841,22051.476259696487
061110075082000,32,8,0,24,255,268.1,38.4,190.6,497.1,1576169.7068800696,8920.52932428641
061110084022005,3,3,0,0,14,11.9,3.6,9.9,25.4,764384.0690527962,7541.022153866929
061110049011000,9,6,0,3,46,46.9,10.8,34.8,92.5,1747025.4236112514,43587.91306161286
061110059011004,67,0,0,67,34,258.3,80.4,114.2,452.9,1701659.6416629502,8940.874192269672
061110053081015,0,0,0,0,6,4.2,0,3.6,7.8,1958020.2274434657,30298.03765935548
061110097001027,0,0,0,0,1,0.7,0,0.6,1.3,86548.71739162924,2.4303773930456796
061110084022003,11,0,0,11,15,49,13.2,24.4,86.6,774991.6844570995,5356.708440117951
061110058031003,0,0,0,0,19,13.3,0,11.4,24.7,1543554.7925539818,2166.9834678914503
061110076102005,9,5,0,4,164,132.3,10.8,106.5,249.6,1244451.5083776808,5943.135401078929
061110018013014,1,0,0,1,11,11.2,1.2,8,20.4,1517561.9216713116,90633.43767207713
061110066001009,67,32,15,20,50,253.4,80.4,144.5,478.3,1532958.461189926,18376.939119277748
061110074031008,0,0,0,0,9,6.3,0,5.4,11.7,1320063.4448974184,6218.51692820015
061110040001007,7,0,0,7,11,32.2,8.4,16.4,57,1595560.5060353887,33160.24750126781
061110092001010,0,0,0,0,20,14,0,12,26,1670692.4270222683,52260.33923075536
061110032011023,0,0,0,0,11,7.7,0,6.6,14.3,1632850.8977366537,68982.81091265578
061110020003007,0,0,0,0,21,14.7,0,12.6,27.3,1311552.231520642,25343.278331977508
061110015063014,0,0,0,0,23,16.1,0,13.8,29.9,1629536.770078079,13531.203675807168
061110080023002,530,463,18,49,1,647.5,636,385.3,1668.8,816448.8396764153,28212.658923036342
061110014021034,1,0,0,1,40,31.5,1.2,25.4,58.1,1590341.2387532508,5695.300906722774
061110044003005,13,0,0,13,39,72.8,15.6,41.6,130,1421562.416968757,23886.012657995838
061110040001000,7,7,0,0,51,40.6,8.4,34.1,83.1,1515372.2333986312,20941.232040342165
061110075131007,0,0,0,0,17,11.9,0,10.2,22.1,1060117.548484289,7784.170874667159
061110059111004,0,0,0,0,110,77,0,66,143,1601072.231966936,4775.663719664206
061110052051008,54,2,0,52,32,205.8,64.8,93,363.6,1698705.5872774997,2439.9840870838825
061110047111008,0,0,0,0,16,11.2,0,9.6,20.8,1577564.0294699303,24228.37190768168
