id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
470799696012051,4,1,3,0,13,35,4.8,22.4,62.2,77448.932823908,4469.650803588604
470799691003032,0,0,0,0,6,4.2,0,3.6,7.8,3235.9363288777417,9.319823765350739
470799697001055,0,0,0,0,3,2.1,0,1.8,3.9,48624.19830309374,11.170230428621743
470799698002062,0,0,0,0,4,2.8,0,2.4,5.2,74177.67356722274,504.6407580801016
470799696011025,0,0,0,0,14,9.8,0,8.4,18.2,76012.97494646585,1010.0000425423269
470799694001036,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,78135.78062444276,17789.42847034717
470799690021028,5,0,5,0,10,49,6,29.5,84.5,60330.80803517356,83.99310781400852
470799691003004,17,17,0,0,8,17.5,20.4,13.3,51.2,19020.841742947436,59.56245395611481
470799694001013,0,0,0,0,5,3.5,0,3,6.5,78714.65652006135,21909.100570607625
470799695023000,0,0,0,0,9,6.3,0,5.4,11.7,74581.69474370226,111.33962748182398
470799691001066,0,0,0,0,17,11.9,0,10.2,22.1,71057.8244733082,110.10009948676083
470799694001065,21,0,5,16,5,101.5,25.2,48.9,175.6,76974.73413402935,904.283287343685
470799696022033,0,0,0,0,2,1.4,0,1.2,2.6,77616.50770585518,2152.0514944950914
470799693002011,0,0,0,0,17,11.9,0,10.2,22.1,77277.382630142,6456.972216392299
470799697001042,0,0,0,0,3,2.1,0,1.8,3.9,69163.54045710401,3.004858902950779
470799698002072,0,0,0,0,2,1.4,0,1.2,2.6,62471.6637195321,14.315296736961342
470799698002105,0,0,0,0,29,20.3,0,17.4,37.7,9658.357158265626,36.66861371049181
470799691001057,0,0,0,0,1,0.7,0,0.6,1.3,65135.45787468795,1.0783706066840784
470799692002035,0,0,0,0,3,2.1,0,1.8,3.9,61011.4642023373,4.280892680281124
470799692001063,3,0,0,3,2,11.9,3.6,5.4,20.9,55541.70584895135,176.15889211924087
470799698001049,0,0,0,0,2,1.4,0,1.2,2.6,30661.994987124675,25.676884648137815
470799692001040,0,0,0,0,1,0.7,0,0.6,1.3,71698.66983504892,3.983724096777018
470799697003024,0,0,0,0,10,7,0,6,13,25680.202896109102,26.478107167239973
470799696022016,6,0,0,6,6,25.2,7.2,11.999999999999998,44.4,75343.22409322936,111.60838713801076
470799696012011,0,0,0,0,6,4.2,0,3.6,7.8,65918.13166875752,8.926971239922391
470799690012031,0,0,0,0,15,10.5,0,9,19.5,32784.85876336611,163.0018992547452
470799697001062,0,0,0,0,4,2.8,0,2.4,5.2,60913.07260169078,6.124102258809051
470799690021067,0,0,0,0,14,9.8,0,8.4,18.2,76821.06134904317,77.5831130086049
470799690021005,0,0,0,0,2,1.4,0,1.2,2.6,13739.603578628266,9.248671157033456
470799698002029,0,0,0,0,8,5.6,0,4.8,10.4,72476.18738370758,286.28912456153097
470799693004028,0,0,0,0,35,24.5,0,21,45.5,78284.71841799488,3211.262813738553
470799694002015,3,3,0,0,28,21.7,3.6,18.3,43.6,77504.39000979716,10386.771657919871
470799693002016,0,0,0,0,5,3.5,0,3,6.5,78567.18791127014,10547.822833845183
470799690012015,0,0,0,0,17,11.9,0,10.2,22.1,69115.70112354681,175.036065650262
470799696022038,0,0,0,0,10,7,0,6,13,76735.61632175595,165.20373449422627
470799698001111,0,0,0,0,2,1.4,0,1.2,2.6,58195.13085733871,480.7484384777022
470799696023010,3,3,0,0,1,2.8,3.6,2.1,8.5,77691.87577086652,46.89475124270611
470799698002110,0,0,0,0,8,5.6,0,4.8,10.4,49903.97912750743,22.905748435863202
470799695012004,9,3,6,0,1,53.2,10.8,30.3,94.3,78270.71551441032,3473.7306535735847
