id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
121130108021227,0,0,0,0,5,3.5,0,3,6.5,178409.89640152757,386.4672288607556
121130108084005,0,0,0,0,18,12.6,0,10.8,23.4,660034.9618596506,342.30749422713905
121130103021032,0,0,0,0,32,22.4,0,19.2,41.6,512917.50317040004,287.8405702462294
121130108131005,0,0,0,0,9,6.3,0,5.4,11.7,744883.7760107811,2463.8585186900877
121130103021011,0,0,0,0,19,13.3,0,11.4,24.7,643848.3672664469,100.36131758853756
121130105051015,0,0,0,0,9,6.3,0,5.4,11.7,295140.44889506657,323.04282991505636
121130108272016,244,6,0,238,302,1048.6,292.8,517.4,1858.8,133725.61041449552,6000.294190626037
121130108202002,0,0,0,0,5,3.5,0,3,6.5,163021.62514895116,1231.6694339774062
121130105033004,0,0,0,0,13,9.1,0,7.8,16.9,560604.2984061221,911.9995134010046
121130108084001,0,0,0,0,125,87.5,0,75,162.5,152027.27563639506,165.19553992677615
121130107093006,0,0,0,0,8,5.6,0,4.8,10.4,966137.4372320117,534.4858672399508
121130108142003,0,0,0,0,11,7.7,0,6.6,14.3,609975.8496801327,10393.689591768636
121130107093041,0,0,0,0,4,2.8,0,2.4,5.2,1294890.864858641,754.8494723564198
121130101001047,0,0,0,0,3,2.1,0,1.8,3.9,1209.43607723751,3.000985847095434
121130103032015,0,0,0,0,28,19.6,0,16.8,36.4,729259.0947215856,913.9992240118456
121130105043017,5,0,0,5,11,25.2,6,13.6,44.8,648743.2170562282,6056.729574748239
121130108022014,0,0,0,0,13,9.1,0,7.8,16.9,160291.3909700264,556.397959759803
121130108201009,0,0,0,0,1,0.7,0,0.6,1.3,194584.1526442949,976.0796783995852
121130105031012,0,0,0,0,1,0.7,0,0.6,1.3,620879.2654458118,7066.966642153689
121130104001042,0,0,0,0,11,7.7,0,6.6,14.3,211936.4949367191,30.946746626999033
121130105031000,14,0,3,11,30,84.7,16.8,47.5,149,776928.6683777812,9669.398767218407
121130103031025,0,0,0,0,1,0.7,0,0.6,1.3,31568.12885964012,0.9984892895251388
121130108212016,1,1,0,0,17,12.6,1.2,10.7,24.5,234239.74280860942,4008.819969184967
121130108221019,3,0,0,3,96,77.7,3.6,61.8,143.1,148698.7055791765,982.5632087333731
121130108281007,0,0,0,0,12,8.4,0,7.2,15.6,126882.05678786736,7959.624193189662
121130101001130,0,0,0,0,4,2.8,0,2.4,5.2,19283.624645469346,5.373156383537015
121130108122019,22,2,20,0,18,182,26.4,105.8,314.2,911894.8542705274,2784.3446493129977
120330003002046,0,0,0,0,4,2.8,0,2.4,5.2,1200410.2717408505,49100.217075200984
120330011041010,0,0,0,0,17,11.9,0,10.2,22.1,1246066.9404319765,15200.405333832905
120330001001015,0,0,0,0,15,10.5,0,9,19.5,1216904.4027775545,78248.1983289248
120330010021016,0,0,0,0,11,7.7,0,6.6,14.3,1214456.5724188134,6146.390044718719
120330040004032,0,0,0,0,48,33.6,0,28.8,62.4,27677.41271845323,1608.5217297325762
121130107081003,1,0,0,1,9,9.8,1.2,6.8,17.8,1162536.694218119,1226.4698884709842
121130102003029,0,0,0,0,17,11.9,0,10.2,22.1,39175.740661469485,22.520122049221925
121130106021031,0,0,0,0,18,12.6,0,10.8,23.4,792967.8794890797,30939.83223256311
120330029001011,0,0,0,0,9,6.3,0,5.4,11.7,1099528.677011323,3929.6983574117876
120330031001010,0,0,0,0,23,16.1,0,13.8,29.9,1197681.7327687528,6217.224200866508
120330023001047,0,0,0,0,17,11.9,0,10.2,22.1,1077373.7404077658,6443.854594699084
120330026052010,2,1,0,1,16,15.4,2.4,11.5,29.3,812605.8640072376,1103.6237115131876
120330036032034,26,20,0,6,46,67.2,31.2,45.99999999999999,144.4,974993.2548763934,479.4204712515274
120330029001010,0,0,0,0,7,4.9,0,4.2,9.1,1105660.900782508,4229.5175492965545
120330024001037,0,0,0,0,19,13.3,0,11.4,24.7,2791.0229834083216,779.1434764810035
120330009003040,0,0,0,0,12,8.4,0,7.2,15.6,1230201.4921336707,10412.29248410599
120330008021000,0,0,0,0,13,9.1,0,7.8,16.9,1236465.9422517004,12255.629353892033
120330015001023,0,0,0,0,2,1.4,0,1.2,2.6,1279854.7462012728,17360.520637543275
120330019001066,0,0,0,0,13,9.1,0,7.8,16.9,1163434.5492641386,7930.1473743944
120330014022031,0,0,0,0,15,10.5,0,9,19.5,1300596.0686462563,31453.677784985874
120330014013004,0,0,0,0,8,5.6,0,4.8,10.4,1311657.8192183778,26172.934226585046
120330012022015,0,0,0,0,14,9.8,0,8.4,18.2,1279232.2860907658,29292.052777713445
120330031002019,0,0,0,0,13,9.1,0,7.8,16.9,1205622.888852352,6145.56224798599
120330006001035,0,0,0,0,13,9.1,0,7.8,16.9,1274702.427313749,74677.59790013595
120330017001024,0,0,0,0,270,189,0,162,351,1226977.7664738765,9725.53447608977
