id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
371259509001009,0,0,0,0,12,8.4,0,7.2,15.6,273678.83376667206,18252.530581250874
371259511021025,0,0,0,0,11,7.7,0,6.6,14.3,247815.42783847972,281.7272092611027
371259512001003,0,0,0,0,7,4.9,0,4.2,9.1,258121.20902987014,319.3742377363278
371259505061021,0,0,0,0,1,0.7,0,0.6,1.3,270609.2279313923,379.88627419156995
371259511023009,0,0,0,0,4,2.8,0,2.4,5.2,278935.00425719214,40378.085765967844
371259507032025,0,0,0,0,4,2.8,0,2.4,5.2,270156.08242672536,2905.7316448046204
371259509003000,158,28,1,129,208,625.1,189.6,324.1,1138.8,278062.7400043693,20099.929487308287
371259511013018,0,0,0,0,14,9.8,0,8.4,18.2,262506.6316438799,4612.26960041953
371259505041077,0,0,0,0,18,12.6,0,10.8,23.4,165958.3547397127,40.06298910483308
371259505041079,0,0,0,0,2,1.4,0,1.2,2.6,175484.8321313322,41.43351052657998
371259508023025,0,0,0,0,7,4.9,0,4.2,9.1,278481.2132024559,1122.5545287995608
371259510011032,0,0,0,0,4,2.8,0,2.4,5.2,276498.9703194081,12058.140091763515
371259502023040,0,0,0,0,17,11.9,0,10.2,22.1,13562.979912013237,22.05806603322794
371259504032000,0,0,0,0,20,14,0,12,26,232215.60519906908,27.771595849356444
371259504033030,0,0,0,0,35,24.5,0,21,45.5,267032.2088820588,5877.600829681581
371259502021037,0,0,0,0,5,3.5,0,3,6.5,9876.937208621557,9.428382449682951
371259505071011,0,0,0,0,1,0.7,0,0.6,1.3,241670.21593116713,141.09825512331886
371259504042036,24,24,0,0,3,18.9,28.8,13.8,61.5,273081.3938064085,86.31217124232191
371259503043003,5,5,0,0,30,24.5,6,20.5,51,98491.05127433027,113.27199392278848
371259503031024,0,0,0,0,10,7,0,6,13,241110.77211008492,1124.6584751859987
371259507032027,0,0,0,0,12,8.4,0,7.2,15.6,268446.12476711307,1593.9924119726086
371259507031003,0,0,0,0,3,2.1,0,1.8,3.9,248377.36319503014,692.778981869623
371259512001021,0,0,0,0,4,2.8,0,2.4,5.2,246268.0394301133,1091.1431293383005
371259509003007,76,4,0,72,1,255.5,91.2,103.4,450.1,276132.04513002344,22904.95427989496
371259511022014,0,0,0,0,5,3.5,0,3,6.5,270250.1693264282,507.9967435735839
371259511023022,0,0,0,0,10,7,0,6,13,275003.80962989153,37798.9182098203
371259505062012,0,0,0,0,5,3.5,0,3,6.5,256556.2153219149,448.8014421752206
371259506042025,1,0,0,1,49,37.8,1.2,30.8,69.8,279427.0832616324,637.7702497327159
371259504022033,1,1,0,0,26,18.9,1.2,16.1,36.2,61511.55026862818,35.981658534058276
371259505062013,0,0,0,0,15,10.5,0,9,19.5,259964.83150240086,786.5128577247671
371259511013030,9,7,0,2,40,39.9,10.8,30.3,81,241159.56426935334,245.1827484463555
371259506033017,0,0,0,0,2,1.4,0,1.2,2.6,263514.1040853519,2779.7301627614816
371259503051016,0,0,0,0,4,2.8,0,2.4,5.2,282671.62770260597,307.6612447060799
371259505063008,5,0,0,5,52,53.9,6,38.2,98.1,270971.5255430165,815.6915300930433
371259509003013,92,8,54,30,1,564.9,110.4,300.4,975.7,274822.2873220803,23303.961867311904
371259508012030,0,0,0,0,12,8.4,0,7.2,15.6,275942.3074343376,4058.8004220215366
371259502011004,0,0,0,0,2,1.4,0,1.2,2.6,81480.20840467971,2211.514381014534
371259510011030,0,0,0,0,9,6.3,0,5.4,11.7,273705.6298630298,11366.52428211764
371259508012058,0,0,0,0,11,7.7,0,6.6,14.3,276667.97508969886,10715.151334763035
371259504021001,1,0,0,1,33,26.6,1.2,21.2,49,218446.3460231465,51.7635955744335
371259509002021,0,0,0,0,14,9.8,0,8.4,18.2,274558.99312342436,14818.245473547924
371259512001038,0,0,0,0,7,4.9,0,4.2,9.1,250552.60277685255,1195.088331834004
371259505063019,0,0,0,0,6,4.2,0,3.6,7.8,272685.2245629979,1150.9861289052803
371259502021000,0,0,0,0,6,4.2,0,3.6,7.8,12858.040277299147,7.315226861598307
371259511021007,0,0,0,0,15,10.5,0,9,19.5,243678.39318875785,224.47410560897404
371259506042007,0,0,0,0,1,0.7,0,0.6,1.3,279340.75322945445,977.4310495040746
371259508014013,0,0,0,0,1,0.7,0,0.6,1.3,282447.61789004406,4214.7087567781055
371259503061025,0,0,0,0,6,4.2,0,3.6,7.8,193994.68400887528,26.30556535849376
371259511021043,0,0,0,0,3,2.1,0,1.8,3.9,266499.27538781083,7836.612519420833
371259502011030,0,0,0,0,4,2.8,0,2.4,5.2,114411.6341206453,58.435310100090355
371259504021000,0,0,0,0,21,14.7,0,12.6,27.3,186029.07004990516,127.52118097559216
371259504021083,0,0,0,0,6,4.2,0,3.6,7.8,270443.6569094044,115.43340492023856
371259503061059,0,0,0,0,1,0.7,0,0.6,1.3,252025.28348760158,446.51196631352815
371259505072024,16,16,0,0,14,21,19.2,16.4,56.6,212212.22413470206,224.614885847071
371259511013025,0,0,0,0,16,11.2,0,9.6,20.8,257416.80313716747,1046.824788217419
371259506011016,4,0,4,0,5,37.1,4.8,21.8,63.7,280486.2886317892,24100.65599281442
371259508012028,0,0,0,0,4,2.8,0,2.4,5.2,275857.44720065105,3800.6892728166204
371259509003025,0,0,0,0,11,7.7,0,6.6,14.3,277857.848353354,24217.190982316642
371259508022016,4,0,0,4,11,21.7,4.8,12.2,38.7,281902.7394537168,7489.520204969202
371259506033023,0,0,0,0,8,5.6,0,4.8,10.4,282220.6268234904,5057.778903224397
371259503031028,32,27,0,5,40,64.4,38.4,44.5,147.3,211617.43234381508,859.099779710861
