id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
040250020071023,1,0,0,1,6,7.7,1.2,5,13.9,107965.10593579005,20357.912082486167
040250006091011,0,0,0,0,54,37.8,0,32.4,70.2,290593.06196871906,2972.198788026606
040250006133034,0,0,0,0,15,10.5,0,9,19.5,307161.803236539,1727.5996592558392
040250006134006,9,0,0,9,90,94.5,10.8,66.6,171.9,283878.45064170525,2322.2626076429533
040250012012085,0,0,0,0,4,2.8,0,2.4,5.2,3467.16538717597,5.001260115566594
040250002112014,0,0,0,0,13,9.1,0,7.8,16.9,146672.18667560132,1716.3498061100122
040250020051021,2,2,0,0,8,7,2.4,5.8,15.2,87785.22201160771,102.97164302058884
040250018014005,1,0,0,1,16,14.7,1.2,11,26.9,80976.6940985302,3396.0009117747427
040250008024014,0,0,0,0,5,3.5,0,3,6.5,307754.1023979379,245.9812427171398
040250006082004,0,0,0,0,30,21,0,18,39,288019.6304206935,2847.0021568268626
040250003012004,0,0,0,0,6,4.2,0,3.6,7.8,324639.07438179606,651.3555455942231
040250013001066,0,0,0,0,9,6.3,0,5.4,11.7,2063.546511778298,778.3339972153867
040250017031030,0,0,0,0,5,3.5,0,3,6.5,52055.432755521535,4339.599445801289
040250018043012,0,0,0,0,7,4.9,0,4.2,9.1,95968.03121261398,9908.431221145349
040250021001054,11,0,11,0,3,94.5,13.2,53.5,161.2,4349.841404042772,1146.441197255864
040250014023027,0,0,0,0,3,2.1,0,1.8,3.9,3656.1367828363564,3.999962506189434
040250021002202,0,0,0,0,12,8.4,0,7.2,15.6,110.58662206778656,14.99313133630449
040250002111027,0,0,0,0,11,7.7,0,6.6,14.3,45134.14466849701,619.6745168203046
040250015021079,0,0,0,0,3,2.1,0,1.8,3.9,106919.58588380851,686.8683194513582
040250019022045,0,0,0,0,4,2.8,0,2.4,5.2,66053.10300153696,15.283412649682578
040250015021080,0,0,0,0,6,4.2,0,3.6,7.8,108160.28765536049,717.8650208778918
040250010043013,0,0,0,0,13,9.1,0,7.8,16.9,269457.0092210482,820.4345396778529
040250005011034,5,5,0,0,56,42.7,6,36.1,84.8,302200.28925584484,1827.654930471968
040250015022060,0,0,0,0,9,6.3,0,5.4,11.7,34004.35086578841,1481.4294858863325
040250010023007,0,0,0,0,5,3.5,0,3,6.5,268301.83268544485,537.6719813135643
040250008024006,6,0,4,2,53,77.7,7.2,53.4,138.3,306257.90788972273,2287.3008016210115
040250016051042,0,0,0,0,12,8.4,0,7.2,15.6,24529.688660432068,471.1167292849878
040250005021012,0,0,0,0,17,11.9,0,10.2,22.1,307641.31783198216,3275.961245755283
040250007013010,2,0,2,0,35,41.3,2.4,30.4,74.1,155925.55453263217,73.99879938387699
040250021001011,0,0,0,0,7,4.9,0,4.2,9.1,2151.279309238868,9.509617817374414
040250005024027,29,1,0,28,57,138.6,34.8,73.9,247.3,305714.3074196838,1108.3653158077493
040250012023086,0,0,0,0,12,8.4,0,7.2,15.6,0,0
040250010044002,7,3,0,4,111,93.8,8.4,73.7,175.9,281201.16959348076,547.8917149130807
040250010042014,198,9,60,129,19,975.1,237.6,478.5,1691.2,299882.5093732065,35211.83454934319
040250004061020,1,0,0,1,24,20.3,1.2,15.8,37.3,299756.0062972474,2234.182159161401
040250015011001,1,0,0,1,8,9.1,1.2,6.2,16.5,104506.97614744898,15.99960842859423
040250020033022,0,0,0,0,20,14,0,12,26,108003.47950882009,2953.2354284503285
040250011051007,0,0,0,0,37,25.9,0,22.2,48.1,254034.43069039678,775.1305281367638
040250002051003,0,0,0,0,4,2.8,0,2.4,5.2,90428.98928585705,360.7219636187661
040250004051021,1,0,0,1,14,13.3,1.2,9.8,24.3,316774.88070906646,2624.422764554804
040250010041011,0,0,0,0,8,5.6,0,4.8,10.4,302473.79479565093,692.0151481598158
040250016052016,0,0,0,0,5,3.5,0,3,6.5,53921.09909905814,1341.4231785243544
040250020073017,4,0,4,0,58,74.2,4.8,53.6,132.6,84961.60842825174,2741.129611470097
040250010043003,0,0,0,0,18,12.6,0,10.8,23.4,289035.43614702654,1030.2090981570389
040250002112029,71,38,0,33,33,165.2,85.2,85,335.4,210651.10910723475,3458.0059264619927
040250002112026,104,28,27,49,119,501.2,124.8,280.9,906.9,165007.19209025532,2353.0555089591253
040250002093004,0,0,0,0,25,17.5,0,15,32.5,162349.86623940355,1262.3124135931926
040250003012012,0,0,0,0,5,3.5,0,3,6.5,325482.84635150636,512.6032609076293
040250010023027,22,15,0,7,54,72.8,26.4,49.7,148.9,285793.68094348547,2638.6177474591477
040250008031008,48,0,48,0,17,415.1,57.6,235.8,708.5,311728.70815679594,40488.272294019494
040250006151019,0,0,0,0,15,10.5,0,9,19.5,312503.1622744793,27405.196166493817
040250006133041,0,0,0,0,21,14.7,0,12.6,27.3,316830.87074542564,1842.045372589034
040250002063037,0,0,0,0,7,4.9,0,4.2,9.1,181580.52051259208,2100.1754172252126
040250016013033,0,0,0,0,6,4.2,0,3.6,7.8,75546.7799959186,6232.330055374324
040250016021051,0,0,0,0,23,16.1,0,13.8,29.9,30218.752513048705,400.7471309588267
040250015012146,0,0,0,0,13,9.1,0,7.8,16.9,28556.894814919906,111.01006810894248
040250017053007,0,0,0,0,31,21.7,0,18.6,40.3,46295.04518139055,2275.7433022065316
040250017031025,0,0,0,0,12,8.4,0,7.2,15.6,51926.95023831626,4107.589930109955
040250002061030,0,0,0,0,33,23.1,0,19.8,42.9,269616.83607982885,166.55901701577773
040250008031037,2,2,0,0,22,16.8,2.4,14.2,33.4,303826.2043577378,31081.375670691603
040250015011026,0,0,0,0,7,4.9,0,4.2,9.1,181454.6040984741,289.3323157373646
040250019043020,0,0,0,0,10,7,0,6,13,267858.74569446134,2248.972796446819
040250016051040,0,0,0,0,9,6.3,0,5.4,11.7,31921.632924980797,456.1227267654947
040250020051030,0,0,0,0,5,3.5,0,3,6.5,93710.27957685306,1655.746868984005
040250014023125,0,0,0,0,17,11.9,0,10.2,22.1,3684.546194975178,316.0229511608195
040250006093001,0,0,0,0,65,45.5,0,39,84.5,290504.2693162485,6283.588709464404
040250021002246,0,0,0,0,4,2.8,0,2.4,5.2,0,0
040250002063027,1,0,0,1,11,11.2,1.2,8,20.4,84165.44524589,152.36656176107124
040250008021003,0,0,0,0,4,2.8,0,2.4,5.2,307384.48594099574,6758.103158636197
040250012011036,0,0,0,0,3,2.1,0,1.8,3.9,80767.30511159319,260.2385353666443
040250014021047,0,0,0,0,10,7,0,6,13,6926.571055819306,1139.652937081481
040250014021010,0,0,0,0,38,26.6,0,22.8,49.4,6696.429809842768,817.0031491395724
040250005023023,162,0,87,75,4,996.1,194.4,516.3,1706.8,314014.8142435485,4861.926778378086
040250012012121,9,9,0,0,2,7.7,10.8,5.7,24.2,27.546061487636955,23.70629724452106
040250012023022,0,0,0,0,1,0.7,0,0.6,1.3,8936.064358431582,1.0175577227987749
040250006082000,0,0,0,0,26,18.2,0,15.6,33.8,240022.85020432697,1442.997435649284
040250017013002,4,0,0,4,12,22.4,4.8,12.8,40,102808.53561177006,792.2040171717524
040250002113003,0,0,0,0,14,9.8,0,8.4,18.2,301.7170179555535,62.667302085129535
040250006161005,0,0,0,0,9,6.3,0,5.4,11.7,250413.22358552032,1024.12807838276
040250009011017,31,5,11,15,1,149.1,37.2,75.8,262.1,311895.98699606414,32776.51910881057
040250006081010,1,1,0,0,122,86.1,1.2,73.7,161,301449.2022785062,1684.3767523166998
040250015021037,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,148567.42935982253,31.303253342195784
040250015021028,0,0,0,0,14,9.8,0,8.4,18.2,116092.79074724122,615.9622612923858
040250002113040,9,7,0,2,79,67.2,10.8,53.7,131.7,86070.14308370573,689.0119250956773
040250015022073,0,0,0,0,1,0.7,0,0.6,1.3,30656.841390647165,1217.6767337336382
040250003012034,0,0,0,0,6,4.2,0,3.6,7.8,322129.29822616355,679.0019727250532
040250014022002,0,0,0,0,11,7.7,0,6.6,14.3,744.0584176687563,13.999682466253649
040250020061006,4,4,0,0,11,10.5,4.8,8.6,23.9,99408.2848333161,3599.1820550081748
040250020061018,7,7,0,0,81,61.6,8.4,52.1,122.1,98882.52418640349,1454.7883078609443
