id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
061030008002005,0,0,0,0,1,0.7,0,0.6,1.3,111989.3423005168,1.0368732081862186
061030002023000,6,6,0,0,19,17.5,7.2,14.4,39.1,71116.53245098269,94.53741607854869
061030010002095,2,2,0,0,13,10.5,2.4,8.8,21.7,22869.308938696577,21.078134550182906
061030011012076,0,0,0,0,11,7.7,0,6.6,14.3,43178.4954776781,14.079759079498968
061030001001290,0,0,0,0,1,0.7,0,0.6,1.3,260.19024182184256,0.9997519358330311
061030006001050,1,0,0,1,35,28,1.2,22.4,51.6,112767.57976836723,11437.936763334754
061030008001013,44,6,0,38,4,140,52.8,58.6,251.4,102125.57366890833,251.00718942438533
061030010004015,2,0,0,2,3,9.1,2.4,4.6,16.1,100834.31225218221,10184.045556072162
061030010001045,0,0,0,0,5,3.5,0,3,6.5,82059.89367937388,77.82630423160924
061030011012045,0,0,0,0,5,3.5,0,3,6.5,76424.76962377717,89.50788863054849
061030006003004,18,0,0,18,23,79.1,21.6,39,139.7,111736.02480358449,6045.916274331242
061030001004010,0,0,0,0,10,7,0,6,13,104984.42346680307,262.9759318305269
061030005001042,0,0,0,0,2,1.4,0,1.2,2.6,108643.43626778883,17304.309179899537
061030008004064,0,0,0,0,5,3.5,0,3,6.5,109109.04917173398,1075.679242204576
061030005004005,6,0,0,6,5,24.5,7.2,11.4,43.1,114134.20525550065,24649.477599014564
061030003003287,0,0,0,0,4,2.8,0,2.4,5.2,41633.60518892271,15.005477295458025
061030011011032,0,0,0,0,9,6.3,0,5.4,11.7,99715.64270280799,236.11703349675426
061030005004006,0,0,0,0,7,4.9,0,4.2,9.1,114030.6650129663,24641.646496280897
061030007011022,6,6,0,0,8,9.8,7.2,7.8,24.8,95374.98838664831,1172.6462205891696
061030004001026,21,8,0,13,166,167.3,25.2,121.8,314.3,109473.56758047797,319.51050387792543
061030005001039,0,0,0,0,7,4.9,0,4.2,9.1,108244.03984851787,16029.44772999589
061030005003022,1,0,0,1,4,6.3,1.2,3.8,11.3,112857.71352923721,20104.494226525472
061030008004047,0,0,0,0,6,4.2,0,3.6,7.8,109153.75342315885,1159.1483885501227
061030010004098,0,0,0,0,2,1.4,0,1.2,2.6,98193.21971252472,8150.548963584327
061030008004049,0,0,0,0,5,3.5,0,3,6.5,108878.07688291282,1016.5164636083356
061030007013004,0,0,0,0,28,19.6,0,16.8,36.4,113533.55545536893,20425.945950263347
061030007022022,0,0,0,0,25,17.5,0,15,32.5,110986.90664463218,10502.971859564823
061030004002007,0,0,0,0,8,5.6,0,4.8,10.4,83118.02484933147,14.519872734912315
061030003002019,0,0,0,0,14,9.8,0,8.4,18.2,3185.897312826797,38.8219080012849
061030005003048,0,0,0,0,2,1.4,0,1.2,2.6,113100.3050391407,20822.225400236104
061030010001024,0,0,0,0,6,4.2,0,3.6,7.8,84178.38393288523,54.32858298888616
061030009001009,1,0,0,1,2,4.9,1.2,2.6,8.7,94661.34648000148,29.530197831057166
061030002011007,4,2,0,2,104,81.2,4.8,66.2,152.2,7996.198585679788,200.8254551323216
061030009002021,3,0,0,3,9,16.8,3.6,9.6,29.999999999999996,101406.30049148823,3097.3355465920945
061030001003027,0,0,0,0,8,5.6,0,4.8,10.4,85789.5062263349,36.28687592809331
061030008003042,0,0,0,0,9,6.3,0,5.4,11.7,102287.06069944648,166.36607710599628
061030009003091,0,0,0,0,7,4.9,0,4.2,9.1,64369.698403817725,244.11532139007147
061030003003089,2,2,0,0,8,7,2.4,5.8,15.2,661.0763428959832,57.60148876401102
061030005005020,4,0,4,0,6,37.8,4.8,22.4,65,113137.58274824217,22872.134793360372
061030011012052,7,7,0,0,6,9.1,8.4,7.1,24.6,60520.392382935366,24.158665932504373
061030011023015,0,0,0,0,8,5.6,0,4.8,10.4,105767.27840358856,12843.401755360686
061030010004087,0,0,0,0,8,5.6,0,4.8,10.4,95729.37206519814,6860.911869715356
061030010003018,0,0,0,0,16,11.2,0,9.6,20.8,85466.24156150228,1189.685914694313
061030006003016,48,38,8,2,42,130.2,57.6,84.6,272.4,108253.75073397538,2276.998899078971
061030005004038,3,0,0,3,6,14.7,3.6,7.8,26.1,114284.86870714459,24938.333445770506
061030008004039,0,0,0,0,6,4.2,0,3.6,7.8,109873.65032640217,1250.5773692018522
061030005001044,0,0,0,0,7,4.9,0,4.2,9.1,108394.03534141577,17634.35406880135
061030005004022,0,0,0,0,9,6.3,0,5.4,11.7,112650.58629586027,24002.64875135477
061030010002059,2,2,0,0,2,2.8,2.4,2.2,7.4,40626.64014386063,22.17741053031875
061030005003015,0,0,0,0,4,2.8,0,2.4,5.2,112043.19203978247,19604.817275614696
061030008003016,0,0,0,0,9,6.3,0,5.4,11.7,99125.99862016557,70.18871267463093
061030010004091,0,0,0,0,5,3.5,0,3,6.5,99010.64724516853,8725.362389845224
061030010004075,0,0,0,0,5,3.5,0,3,6.5,100402.95599488712,9774.11776762353
061030002011020,0,0,0,0,1,0.7,0,0.6,1.3,8584.04907534517,1.6599980649156096
061030008002033,62,0,0,62,26,235.2,74.4,102.4,411.99999999999994,105314.21575685572,462.5162657839776
061030004003001,0,0,0,0,20,14,0,12,26,71160.20390236664,30.613389425495907
061030010001059,0,0,0,0,11,7.7,0,6.6,14.3,67312.92623384327,77.02422292266634
061030009002022,0,0,0,0,11,7.7,0,6.6,14.3,101211.6066820799,2864.497777812382
061030010001006,0,0,0,0,3,2.1,0,1.8,3.9,58630.39126824041,4.836522607445645
061030003003005,0,0,0,0,3,2.1,0,1.8,3.9,95039.47388218758,12.44051389602164
061030004001018,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,82184.54610127407,45.994237976836814
061030003001147,0,0,0,0,4,2.8,0,2.4,5.2,86832.77465852606,5.073450510645873
061030004003041,0,0,0,0,6,4.2,0,3.6,7.8,76623.88264523854,20.306733016722475
061030009001018,0,0,0,0,12,8.4,0,7.2,15.6,105290.88306204513,95.28469463244365
061030005001006,0,0,0,0,8,5.6,0,4.8,10.4,95469.80851685077,1252.0189969183093
061030004001015,0,0,0,0,2,1.4,0,1.2,2.6,58513.59648197895,212.91753461986488
061030010001028,0,0,0,0,6,4.2,0,3.6,7.8,106023.9991962366,1257.957902526101
061030007021013,2,0,0,2,34,30.8,2.4,23.2,56.4,111178.59901852396,12468.462392139078
061030011024036,0,0,0,0,5,3.5,0,3,6.5,105647.99275291146,12805.816451428862
061030005004035,0,0,0,0,8,5.6,0,4.8,10.4,113890.06890631642,24799.88003664347
061030010004106,14,0,12,2,5,111.3,16.8,62.2,190.3,102670.6279993344,11649.795546487147
061030011024062,0,0,0,0,3,2.1,0,1.8,3.9,79377.07240376483,130.99772825277208
061030005002020,0,0,0,0,9,6.3,0,5.4,11.7,110317.76225567637,8218.579114343727
061030010003009,0,0,0,0,7,4.9,0,4.2,9.1,96160.14980113374,5189.653446368934
061030007011023,0,0,0,0,8,5.6,0,4.8,10.4,106225.9163148326,5645.161624002348
061030001001034,0,0,0,0,1,0.7,0,0.6,1.3,9615.550872790336,1.8611819077521938
061030008002039,0,0,0,0,9,6.3,0,5.4,11.7,111055.86733008942,58.08247121880718
061030010004079,0,0,0,0,4,2.8,0,2.4,5.2,98084.0727482611,8280.088600241512
061030010001003,8,0,0,8,7,32.9,9.6,15.4,57.9,57236.50496776245,79.96885106604493
061030004002006,22,22,0,0,62,58.8,26.4,48.2,133.4,74856.07722138344,133.25533726476135
061030006001038,32,4,6,22,150,235.2,38.4,151,424.6,113377.28835461354,9497.87393219751
061030011022031,0,0,0,0,4,2.8,0,2.4,5.2,106823.59906144267,12797.718682349996
