id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
371270105063008,0,0,0,0,18,12.6,0,10.8,23.4,365377.43865458266,14130.513841290744
371270105062029,0,0,0,0,19,13.3,0,11.4,24.7,376701.03199357307,20678.890169350183
371270109004000,0,0,0,0,27,18.9,0,16.2,35.1,184797.37329486627,67.18394608540481
371270104002065,0,0,0,0,20,14,0,12,26,373388.488596026,26408.551572511078
371270103022011,0,0,0,0,23,16.1,0,13.8,29.9,360835.987452935,3812.500353499201
371270111034007,0,0,0,0,11,7.7,0,6.6,14.3,339862.83383178705,13141.163284827902
371270106042018,60,6,23,31,5,309.4,72,157.5,538.9,373425.31054458703,22154.3186154967
371270105052008,0,0,0,0,55,38.5,0,33,71.5,380195.61715946614,20616.4674117057
371270105042005,0,0,0,0,4,2.8,0,2.4,5.2,356952.7309380935,9796.67708050038
371270111034031,0,0,0,0,1,0.7,0,0.6,1.3,340109.65472338453,14060.382011902831
371270102004008,0,0,0,0,9,6.3,0,5.4,11.7,360715.80578266043,2719.506945282948
371270114001011,0,0,0,0,18,12.6,0,10.8,23.4,45406.74339352156,73.75140234932796
371270106043001,9,0,0,9,32,53.9,10.8,31.8,96.5,360817.4142061896,4749.666450429067
371270112022034,22,22,0,0,24,32.2,26.4,25.4,84,64378.54655211872,83.88279797903868
371270108022010,0,0,0,0,5,3.5,0,3,6.5,284138.4193523052,32.12559463684719
371270115021004,0,0,0,0,18,12.6,0,10.8,23.4,218911.95173877533,38.312331477724726
371270111012003,3,1,1,1,32,35,3.6,25.8,64.4,349513.31204835395,2173.92084623495
371270103013022,0,0,0,0,13,9.1,0,7.8,16.9,371266.70985659305,13020.347096749274
371270103011026,70,0,25,45,3,369.6,84,182.3,635.9,371950.95441400417,14514.909630860602
371270107003059,0,0,0,0,9,6.3,0,5.4,11.7,335932.9817312082,32.70586994545512
371270107003004,696,677,2,17,41,578.9,835.2,396.3,1810.4,219121.71818144553,1808.1565217529808
370650207002052,8,0,0,8,11,35.7,9.6,17.8,63.1,122958.55308013472,649.0206847050496
370650203001059,15,0,15,0,1,126.7,18,71.1,215.8,372955.75042600115,21501.890629883925
370650210002037,0,0,0,0,11,7.7,0,6.6,14.3,284353.8499497591,13244.84997498635
370650211001000,0,0,0,0,75,52.5,0,45,97.5,159001.56706105187,168.20766385967508
370650216003012,0,0,0,0,6,4.2,0,3.6,7.8,22959.782765845837,7.0742684303978045
370650204005024,0,0,0,0,20,14,0,12,26,370441.59859946585,601.7090941851067
370650204003007,0,0,0,0,20,14,0,12,26,378213.0363533742,5708.102781365206
370650208003053,0,0,0,0,6,4.2,0,3.6,7.8,157441.10789301,249.98389127575675
370650208002001,0,0,0,0,2,1.4,0,1.2,2.6,56288.50579339371,12.7818648450938
