id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
061130115001002,0,0,0,0,18,12.6,0,10.8,23.4,15065.245154548564,26.37205306787697
061130107041021,0,0,0,0,20,14,0,12,26,2784374.3222588124,28596.844759373398
061130112071032,21,21,0,0,2,16.1,25.2,11.7,53,559698.6021713084,53.77306920646337
061130103121011,3,3,0,0,14,11.9,3.6,9.9,25.4,4519263.941950241,7862.198396997067
061130114002074,0,0,0,0,8,5.6,0,4.8,10.4,209055.6220968868,50.020723434767724
061130105112002,0,0,0,0,6,4.2,0,3.6,7.8,2247176.8438082673,22130.574311456505
061130111031006,2,0,0,2,40,35,2.4,26.8,64.2,2485194.0765703875,16342.113855305324
061130111012025,4,0,0,4,41,42.7,4.8,30.2,77.7,1920214.8781129268,26048.030744657535
060610206072016,17,0,11,6,22,128.8,20.4,73.3,222.5,3969489.0384940184,9696.078459102748
060610215014036,28,5,0,23,77,137.9,33.6,80.9,252.4,767554.0341073427,996.0400545328816
060610206072045,42,0,0,42,7,151.9,50.4,63,265.3,2970971.3506510304,450.1214455544586
060610218014002,23,16,0,7,47,68.6,27.6,46,142.2,573960.6563181065,146.09172607679855
061130107032005,0,0,0,0,22,15.4,0,13.2,28.6,2835059.2226664093,31624.479671379522
060170307112060,4,2,0,2,21,23.1,4.8,16.4,44.3,1362564.0675550783,10402.468609398746
060610225001002,0,0,0,0,10,7,0,6,13,3822980.856023272,484.4994841140303
060670096352008,0,0,0,0,12,8.4,0,7.2,15.6,3171454.604660704,3081.063519279795
060670019003011,2,0,0,2,19,20.3,2.4,14.2,36.9,5873311.730201029,205308.70725416465
060670096103018,2,0,0,2,7,11.9,2.4,7,21.3,3955005.4421628206,8691.827546943035
060670082073005,3,0,0,3,64,55.3,3.6,42.6,101.5,4431278.35627923,6673.053160340094
060670070203002,3,0,0,3,48,44.1,3.6,33,80.7,5221599.519538367,14345.725667393666
060670087022007,4,0,0,4,60,56,4.8,41.6,102.4,4878799.555466234,4391.7234978862025
060670074381000,36,0,0,36,136,221.2,43.2,132,396.4,5367142.831316955,22121.846511956228
060670085091003,7,7,0,0,39,32.2,8.4,26.9,67.5,3050848.484311148,8618.810432222856
060170307121004,14,14,0,0,37,35.7,16.8,29.2,81.7,660598.094462296,82.92097051908331
060170305042019,6,6,0,0,33,27.3,7.2,22.8,57.3,84854.71137563739,1053.3872689124898
060170305041015,1,0,0,1,9,9.8,1.2,6.8,17.8,84931.67347759732,1025.6284442697704
060670071062007,1,0,0,1,22,18.9,1.2,14.6,34.7,4658479.455504246,22578.32552444029
060170317001008,9,0,5,4,84,114.8,10.8,79.5,205.1,2194710.1432903972,496.37138606594436
060170315041007,0,0,0,0,1,0.7,0,0.6,1.3,374118.0284449169,885.7239409517531
060170315032014,0,0,0,0,14,9.8,0,8.4,18.2,219472.24515316696,24.537907002879678
060170308122027,158,3,0,155,69,592.9,189.6,259.9,1042.4,1017450.0620413917,1080.4955035819378
060170310004025,1,0,0,1,66,49.7,1.2,41,91.9,348750.1200189153,283.0892731942875
060170313013035,6,1,0,5,62,61.6,7.2,44.7,113.5,267237.2208452284,233.14905615094145
060170315043023,2,2,0,0,72,51.8,2.4,44.2,98.4,124192.10365908757,97.9987637003089
060170306051014,3,3,0,0,34,25.9,3.6,21.9,51.4,57101.662090320926,62.20329220865917
060170302013010,89,6,14,69,69,411.6,106.8,206.8,725.2,85016.66747815433,14212.025099742204
060670070202009,1,0,0,1,33,26.6,1.2,21.2,49,5440273.687907222,19928.00931787315
060670085131000,147,3,65,79,90,887.6,176.4,471.6,1535.6,3640804.6981924637,5292.732817143492
060670074391011,6,0,6,0,98,119,7.2,87,213.2,4842845.463440426,20820.28612254849
060670005021021,51,0,0,51,2,179.9,61.2,72.6,313.7,5844449.645805373,304948.4023034979
060670074031014,4,0,0,4,50,49,4.8,35.6,89.4,5607036.133364917,15195.720302700582
060670067033018,2,0,0,2,17,18.9,2.4,13,34.3,5580726.6698766,13080.693661355679
060670086022052,0,0,0,0,19,13.3,0,11.4,24.7,766172.4220385548,3059.002292172808
060670087021012,3,3,0,0,36,27.3,3.6,23.1,54,4898077.240125238,16899.564407810147
060670067062000,3,0,0,3,14,20.3,3.6,12.6,36.5,5645726.642965175,15112.466243309997
060670068032018,4,0,4,0,20,47.6,4.8,30.8,83.2,5703093.093783303,34097.14489747729
060670074241020,1,0,0,1,11,11.2,1.2,8,20.4,6038171.866779157,30017.4812553777
060670065021002,9,6,0,3,8,20.3,10.8,12,43.1,5452477.23176317,12035.793444125507
060670055091000,6,0,0,6,87,81.9,7.2,60.6,149.7,5707562.186668197,89447.95757975968
060670071061011,2,0,0,2,17,18.9,2.4,13,34.3,4667591.926292325,15684.966589580852
060670096121002,0,0,0,0,35,24.5,0,21,45.5,3686280.108460379,35523.97053579283
060670051021016,3,0,0,3,36,35.7,3.6,25.8,65.1,4730110.925984734,12130.749905116003
