id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
484510011015046,4,4,0,0,12,11.2,4.8,9.2,25.2,333926.48139118566,20659.289086755914
482359501001536,0,0,0,0,2,1.4,0,1.2,2.6,38532.44488411294,688.3034857139993
484510017071011,2,2,0,0,24,18.2,2.4,15.4,35.99999999999999,332529.44543642004,5137.16540855143
484510011024010,1,1,0,0,23,16.8,1.2,14.3,32.3,335829.20677972626,14411.205816279304
484510013013005,146,52,1,93,29,390.6,175.2,178.3,744.1,331326.50632643036,17756.85753736175
484510017103003,0,0,0,0,1,0.7,0,0.6,1.3,206.6084669296676,0.9707239966223573
484510017102054,2,2,0,0,21,16.1,2.4,13.6,32.1,119896.0014433374,38.04679292802731
482359501002069,0,0,0,0,4,2.8,0,2.4,5.2,76933.24909035671,1079.9538460914791
484510010004017,0,0,0,0,15,10.5,0,9,19.5,334961.9822133418,29532.853625244843
482359501002100,0,0,0,0,2,1.4,0,1.2,2.6,50703.825296097275,787.1995601873945
484510007003025,0,0,0,0,4,2.8,0,2.4,5.2,334151.3537129375,7419.986184281259
484510011022011,0,0,0,0,11,7.7,0,6.6,14.3,335902.7719900349,26551.177965310093
484510010001044,2,0,0,2,16,18.2,2.4,12.4,33,335445.81881985517,22079.16662975777
484510010004005,0,0,0,0,9,6.3,0,5.4,11.7,335293.93942084437,26278.33392229333
484510002004009,5,5,0,0,26,21.7,6,18.1,45.8,323821.1796581144,804.9975747033385
484510004001022,2,0,0,2,30,28,2.4,20.8,51.2,334971.3564872966,12907.208233276358
484510017083021,0,0,0,0,11,7.7,0,6.6,14.3,323639.98140301363,423.5829553934018
484510017072031,10,0,5,5,17,71.4,12,40.7,124.1,333163.90478161495,11708.314230774322
484510004003004,0,0,0,0,7,4.9,0,4.2,9.1,335350.79414705303,13323.461031202454
484510013043003,461,177,0,284,1,1118.6,553.2,486.7,2158.5,332867.6590757463,29995.471175005474
484510016004047,0,0,0,0,16,11.2,0,9.6,20.8,320959.1293258647,54.85981982102451
484510017022003,0,0,0,0,2,1.4,0,1.2,2.6,320245.90353867615,2367.4061527110543
484510011015047,2,2,0,0,24,18.2,2.4,15.4,35.99999999999999,334857.1783309559,22289.49522772829
484510008013023,0,0,0,0,6,4.2,0,3.6,7.8,329425.2632800525,206.30313193259735
484510018003022,0,0,0,0,4,2.8,0,2.4,5.2,335256.03466324514,20035.898416208656
484510014022013,2,2,0,0,6,5.6,2.4,4.6,12.6,335564.85563915764,35926.44996341313
484510012006037,0,0,0,0,20,14,0,12,26,334645.3011218421,9112.303795570202
484510014013014,2,0,0,2,45,38.5,2.4,29.8,70.7,333919.64544123464,14811.042205484564
484510014012017,3,3,0,0,28,21.7,3.6,18.3,43.6,333235.08451812237,12644.986515352075
484510012007025,0,0,0,0,10,7,0,6,13,334212.97897665267,5171.036657737966
484510018001045,308,4,2,302,5,1080.1,369.6,437.2,1886.9,336824.8965023839,62528.84415385254
484510017102028,0,0,0,0,2,1.4,0,1.2,2.6,323619.2833926159,2.3552705542003864
484510017061022,5,0,0,5,9,23.8,6,12.4,42.2,333750.95152244647,9805.679485660456
484510003003017,0,0,0,0,6,4.2,0,3.6,7.8,335101.00157772313,2913.3766570978964
484510011024022,0,0,0,0,15,10.5,0,9,19.5,336342.45545473316,17235.474972458556
484510004001004,0,0,0,0,9,6.3,0,5.4,11.7,334191.7415057004,10941.137494689065
484510008011012,0,0,0,0,11,7.7,0,6.6,14.3,334689.52573716186,4053.5637363399023
484510017021025,14,14,0,0,28,29.4,16.8,23.8,70,297146.66572372336,521.8104949176725
