id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
311579532001127,0,0,0,0,1,0.7,0,0.6,1.3,93999.54512315827,4.362014861310289
311579538001028,0,0,0,0,4,2.8,0,2.4,5.2,126504.30750104385,9952.604109590164
311579531001019,0,0,0,0,4,2.8,0,2.4,5.2,119459.22774522133,2090.0809637545703
311579539002036,0,0,0,0,10,7,0,6,13,126984.51591026591,3996.720797880917
311579531003130,0,0,0,0,3,2.1,0,1.8,3.9,28545.40259973737,3.995036797229981
311579532002001,0,0,0,0,2,1.4,0,1.2,2.6,123878.35079703388,3.505488721536808
311579529002070,0,0,0,0,2,1.4,0,1.2,2.6,22609.752934505363,2.0296977982231983
311579529002234,0,0,0,0,1,0.7,0,0.6,1.3,110527.28429959131,10.947492141257193
311579539005066,0,0,0,0,10,7,0,6,13,126270.04286184651,3472.620153514862
311579539002012,0,0,0,0,5,3.5,0,3,6.5,127431.4196544125,27.61390285303594
311579531002036,10,10,0,0,2,8.4,12,6.2,26.6,115992.60469951948,2733.5310268626718
311579530002031,0,0,0,0,5,3.5,0,3,6.5,126384.46537310763,3313.88175971258
311579531003143,0,0,0,0,1,0.7,0,0.6,1.3,116365.78232896788,4.2055910866946276
311579531003026,0,0,0,0,8,5.6,0,4.8,10.4,60186.047953671135,163.9812285993243
311579530003011,2,2,0,0,5,4.9,2.4,4,11.3,100852.67952214528,11.085636370284382
311579533002042,0,0,0,0,18,12.6,0,10.8,23.4,127681.98289430854,35975.37121742398
310079540001039,0,0,0,0,2,1.4,0,1.2,2.6,0,0
311579537003019,0,0,0,0,10,7,0,6,13,127336.94223155729,24747.427463996795
311579535003005,4,4,0,0,7,7.7,4.8,6.2,18.7,127533.07261080893,36846.25787385889
311579531002076,0,0,0,0,2,1.4,0,1.2,2.6,118794.41094351522,2658.5252793286345
311579531003042,0,0,0,0,3,2.1,0,1.8,3.9,24416.434975055683,3.175594615992084
311579531001021,0,0,0,0,3,2.1,0,1.8,3.9,120440.6892406875,2286.1983860867213
