id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
450870309002040,0,0,0,0,1,0.7,0,0.6,1.3,47938.63111966831,481.7411981169771
450870309001032,0,0,0,0,18,12.6,0,10.8,23.4,47108.71700274077,22.996363056353587
450870304012014,0,0,0,0,59,41.3,0,35.4,76.7,44302.75722812496,76.00850656540577
450870304022005,5,5,0,0,7,8.4,6,6.7,21.1,54165.970654352306,38.27465630046975
450830229012000,43,43,0,0,246,202.3,51.6,169.1,423,778788.4178591783,1202.2796215707774
450830234071006,0,0,0,0,12,8.4,0,7.2,15.6,813608.193158247,4957.190960408173
450830230041039,0,0,0,0,1,0.7,0,0.6,1.3,694338.0519965615,693.4044408590227
450830231043019,0,0,0,0,13,9.1,0,7.8,16.9,839857.4445717352,3952.7019913517734
450830225002006,0,0,0,0,1,0.7,0,0.6,1.3,570409.0091031466,871.6878991828046
450830223043010,0,0,0,0,17,11.9,0,10.2,22.1,41894.93785634327,35.665347541686536
450830239022030,0,0,0,0,2,1.4,0,1.2,2.6,507139.73884743406,222.33222104531544
450870302002034,0,0,0,0,16,11.2,0,9.6,20.8,79522.4970050969,5048.075073236522
450870304021010,0,0,0,0,6,4.2,0,3.6,7.8,67265.69991041231,578.4865042382203
450870301002013,0,0,0,0,3,2.1,0,1.8,3.9,83824.61253789818,8481.485764930512
450870304021018,0,0,0,0,79,55.3,0,47.4,102.7,51728.40953879194,155.96062012628212
450870302001032,0,0,0,0,3,2.1,0,1.8,3.9,81675.46219254445,11888.1610383311
450870304022035,0,0,0,0,15,10.5,0,9,19.5,65018.37344931884,21.701305619461905
450870309002030,0,0,0,0,4,2.8,0,2.4,5.2,48494.28276347038,480.07438585199026
450870308004011,0,0,0,0,3,2.1,0,1.8,3.9,153195.68560989524,2.9996470978326997
450830218031007,3,0,3,0,71,74.9,3.6,56.7,135.2,805204.5430354074,674.948561848051
450830222022022,0,0,0,0,12,8.4,0,7.2,15.6,526382.477941486,491.44559179510253
450830224041022,0,0,0,0,8,5.6,0,4.8,10.4,410014.6003753195,235.99240074820156
450830224082012,6,1,0,5,62,61.6,7.2,44.7,113.5,211202.80417886964,115.04967208814183
450830225001013,0,0,0,0,1,0.7,0,0.6,1.3,243451.14119182102,17.05909553462631
450830224111021,2,2,0,0,5,4.9,2.4,4,11.3,549515.6357555833,136.82268581230372
450830234012033,9,0,6,3,44,91.7,10.8,58.8,161.3,807795.0970463841,373.14784894293314
450830229024029,0,0,0,0,9,6.3,0,5.4,11.7,722369.2128481938,3334.9513333961954
450830235003000,0,0,0,0,12,8.4,0,7.2,15.6,156649.91418540428,54.38156417758779
450830219043033,7,7,0,0,51,40.6,8.4,34.1,83.1,872612.0866390986,3515.844832750531
450830228042006,4,0,0,4,39,41.3,4.8,29,75.1,778790.2820708524,80.30627409791713
450830234021006,13,6,1,6,52,70,15.6,47.3,132.9,754098.7932221917,305.773798273414
450830227022001,0,0,0,0,27,18.9,0,16.2,35.1,557574.3181629119,73.2223134776912
450830219041013,38,32,3,3,11,65.8,45.6,40.9,152.3,879278.6186888369,8002.577953307993
450830217002044,0,0,0,0,7,4.9,0,4.2,9.1,841935.2863978671,3566.3606745911397
450830217001022,0,0,0,0,14,9.8,0,8.4,18.2,881980.2000472366,5685.017033174915
450830225001042,0,0,0,0,1,0.7,0,0.6,1.3,277120.7112761449,1711.041361051816
450830220063009,0,0,0,0,5,3.5,0,3,6.5,785879.9328590606,2504.6838126153734
450830222022026,13,12,0,1,106,86.1,15.6,71,172.7,502974.54201177275,222.49570842375488
450830218061003,0,0,0,0,13,9.1,0,7.8,16.9,881662.6567416126,20918.430526103755
450830222021004,99,97,0,2,47,107.8,118.8,79.5,306.1,615986.9209383694,619.6670649063075
450830225002047,0,0,0,0,4,2.8,0,2.4,5.2,471702.30095698196,2020.148653568545
450830206032003,0,0,0,0,6,4.2,0,3.6,7.8,889258.2049142548,13934.147708143366
450830214032015,0,0,0,0,13,9.1,0,7.8,16.9,801986.6803744208,901.3057784311735
450830214033023,0,0,0,0,8,5.6,0,4.8,10.4,801175.3181723831,5198.947430566676
450830213012019,0,0,0,0,14,9.8,0,8.4,18.2,777906.6928844459,29872.243732330655
450830222021009,0,0,0,0,9,6.3,0,5.4,11.7,649531.5334895549,674.6693681369402
450830228031034,0,0,0,0,1,0.7,0,0.6,1.3,713090.2326607403,1242.0579061441822
450830223042011,0,0,0,0,2,1.4,0,1.2,2.6,246648.99098288393,267.1721393904484
450830224042023,0,0,0,0,27,18.9,0,16.2,35.1,599982.8197338022,360.436708556171
450830223063013,40,37,0,3,40,64.4,48,46.7,159.1,726197.3726291151,198.78904190191912
450830214012013,0,0,0,0,5,3.5,0,3,6.5,742973.7498346554,936.2513885617187
450830205001018,0,0,0,0,4,2.8,0,2.4,5.2,845544.6928768702,4271.275892627455
450830223031067,0,0,0,0,1,0.7,0,0.6,1.3,410104.45554427005,1237.6008080843867
450830223041047,0,0,0,0,2,1.4,0,1.2,2.6,237066.9957968672,200.6269376969739
450830232021011,28,0,28,0,1,235.9,33.6,132.2,401.7,642156.0923156864,9051.55493377989
450830223043034,0,0,0,0,3,2.1,0,1.8,3.9,135944.71964996296,76.7506349319564
450830239011016,0,0,0,0,44,30.8,0,26.4,57.2,668657.2201036598,497.66803908955177
450830224081032,0,0,0,0,1,0.7,0,0.6,1.3,328492.0061798604,80.00723089851076
450830229024025,8,0,1,7,3,35,9.6,16.3,60.9,793410.5773876376,5090.703067950004
450830228062001,0,0,0,0,5,3.5,0,3,6.5,757401.3295675567,1415.5858948748794
450830228062015,0,0,0,0,10,7,0,6,13,781268.0422572156,752.1076124171354
450830215001007,0,0,0,0,12,8.4,0,7.2,15.6,873988.8866935243,7969.501491543413
450830234091044,4,2,2,0,1,18.9,4.8,11,34.7,640363.8726338361,1949.8323450961961
450830209001023,0,0,0,0,37,25.9,0,22.2,48.1,845651.429565341,46268.09596372418
450830217002028,0,0,0,0,14,9.8,0,8.4,18.2,869763.5184374981,4073.9445368170555
450830235001008,0,0,0,0,22,15.4,0,13.2,28.6,575845.0195752693,64.6151930909055
450830213022041,8,0,0,8,12,36.4,9.6,18.4,64.4,735929.7373953587,9026.173645696976
450830216001060,0,0,0,0,15,10.5,0,9,19.5,856766.1298885085,7397.172701706546
450830232021037,0,0,0,0,34,23.8,0,20.4,44.2,621932.1959394385,6375.18208195035
