id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
518200034001020,0,0,0,0,6,4.2,0,3.6,7.8,312335.4283266666,12668.903277285144
518200032003028,0,0,0,0,1,0.7,0,0.6,1.3,307654.42375931964,10533.27952970136
518200032001002,3,0,2,1,76,73.5,3.6,56.4,133.5,304094.9647440574,8656.867250515268
517900003002017,0,0,0,0,4,2.8,0,2.4,5.2,314885.58828685834,4405.238426083866
518200033001018,0,0,0,0,5,3.5,0,3,6.5,309803.7260284955,24337.040536165565
518200035003017,0,0,0,0,8,5.6,0,4.8,10.4,317843.7878923212,10828.70619082773
510150703003016,142,142,0,0,16,110.6,170.4,80.6,361.6,245387.80772253906,1015.9166471631339
517900004011003,31,31,0,0,19,35,37.2,26.9,99.1,298029.549477043,1909.4118570664184
518200034004020,0,0,0,0,23,16.1,0,13.8,29.9,303740.69825432316,17950.949073071282
518200035002033,0,0,0,0,4,2.8,0,2.4,5.2,310084.92533227644,6983.298464484241
518200035002027,0,0,0,0,9,6.3,0,5.4,11.7,309119.0693250035,5045.031132358626
517900006002022,11,0,6,5,8,73.5,13.2,40,126.7,325270.5309701074,11807.964837864763
517900003005009,0,0,0,0,8,5.6,0,4.8,10.4,316851.07652078633,22336.72374360827
517900003001014,0,0,0,0,9,6.3,0,5.4,11.7,296708.03863465536,2819.2152231099662
517900004013021,0,0,0,0,10,7,0,6,13,316260.13871847367,12109.115082104892
510150705002021,0,0,0,0,12,8.4,0,7.2,15.6,301660.14573005436,60.65210184468152
517900001001024,81,0,0,81,12,291.9,97.2,120.6,509.7,322830.10207048984,27327.037793058975
510150704003025,0,0,0,0,6,4.2,0,3.6,7.8,179141.8032219146,103.64230455480867
510150707022018,0,0,0,0,5,3.5,0,3,6.5,274456.74407868955,8.084590494808563
517900004022009,0,0,0,0,28,19.6,0,16.8,36.4,312237.2726107045,17087.37986349569
517900002002026,0,0,0,0,12,8.4,0,7.2,15.6,317858.7077156133,20415.61120859976
510150711024009,0,0,0,0,26,18.2,0,15.6,33.8,269240.5953072506,846.6986343088294
510150704002054,0,0,0,0,6,4.2,0,3.6,7.8,125329.96705498282,86.25557958017527
510150705003024,30,13,0,17,2,70,36,31.5,137.5,234672.23041711177,457.75999500911473
510150712012001,0,0,0,0,4,2.8,0,2.4,5.2,197590.02020891814,31.333985246373345
518200034003013,0,0,0,0,9,6.3,0,5.4,11.7,311625.42237291223,24277.476534933434
518200032002034,0,0,0,0,8,5.6,0,4.8,10.4,288562.90609784337,3562.9048781456677
518200032002029,0,0,0,0,13,9.1,0,7.8,16.9,289414.00072680233,3334.7549828329966
518200035002005,0,0,0,0,5,3.5,0,3,6.5,305204.02325359144,1334.0950822434854
518200032003022,49,49,0,0,4,37.1,58.8,26.9,122.8,302408.81712176005,9477.315586225519
518200032003025,0,0,0,0,9,6.3,0,5.4,11.7,301128.9231640409,8180.350141975624
517900003002002,0,0,0,0,5,3.5,0,3,6.5,301480.73785123084,7741.039157406074
517900005002001,0,0,0,0,5,3.5,0,3,6.5,315992.7496248896,13494.86111330519
518200034002025,0,0,0,0,9,6.3,0,5.4,11.7,315799.58384683356,22388.035543583625
518200032003027,0,0,0,0,16,11.2,0,9.6,20.8,304893.86119495763,10091.363218962675
518200031001078,0,0,0,0,5,3.5,0,3,6.5,304824.69643241086,18157.333968238687
518200031001001,0,0,0,0,6,4.2,0,3.6,7.8,305707.23722597817,16794.507645929945
518200034001005,17,0,0,17,78,114.1,20.4,70.6,205.1,302515.94738291315,3889.6612955003443
518200035001040,0,0,0,0,8,5.6,0,4.8,10.4,312431.48908411316,6406.605607833615
510150712023005,14,14,0,0,1,10.5,16.8,7.6,34.9,290522.46762420185,399.86227471864356
510150701002017,1,0,0,1,3,5.6,1.2,3.2,10,36720.085300576065,925.1104899759966
510150703001050,1,0,0,1,24,20.3,1.2,15.8,37.3,124296.93695009097,44.165674977059965
517900003005003,2,0,0,2,74,58.8,2.4,47.2,108.4,317706.92267245904,23406.729363584822
517900003002011,182,70,78,34,43,853.3,218.4,475,1546.7,280830.28588078584,6234.667254668364
517900003004021,3,3,0,0,14,11.9,3.6,9.9,25.4,314206.65639674815,15438.263181467857
517900001001014,4,0,0,4,22,29.4,4.8,18.8,52.99999999999999,318892.6434411228,28319.79152721072
510150711024006,0,0,0,0,22,15.4,0,13.2,28.6,267304.3689998924,872.0168286817625
510150710003064,0,0,0,0,6,4.2,0,3.6,7.8,148008.73143122715,67.53365525563082
517900001001025,84,0,12,72,8,358.4,100.8,162,621.2,325156.05109088717,27634.011197847765
510150708023013,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,228047.26595243407,99.48782648764845
510150701002036,0,0,0,0,20,14,0,12,26,20685.95945298105,1009.8661422190567
510150708023036,0,0,0,0,5,3.5,0,3,6.5,231893.8905292514,22.10111576747378
510150702003028,0,0,0,0,4,2.8,0,2.4,5.2,34448.66658979419,20.71141134496576
510150709002020,0,0,0,0,5,3.5,0,3,6.5,321851.8199325997,7759.1190132237
510150701001089,0,0,0,0,2,1.4,0,1.2,2.6,5393.096895892401,13.41038161056582
518200034002019,0,0,0,0,7,4.9,0,4.2,9.1,314215.7832449115,19727.148654220677
518200032003004,0,0,0,0,5,3.5,0,3,6.5,296746.8634159664,12292.507482034393
518200035001034,1,0,0,1,13,12.6,1.2,9.2,23,319291.302523195,11363.509636654604
518200034002047,11,0,0,11,8,44.1,13.2,20.2,77.5,314841.8257258795,23646.840620987838
518200034004013,0,0,0,0,7,4.9,0,4.2,9.1,306511.71048663586,21503.91386167932
518200032002023,0,0,0,0,31,21.7,0,18.6,40.3,297264.8036477545,6150.574556838494
518200033002027,0,0,0,0,3,2.1,0,1.8,3.9,314001.89973927086,18156.47212919655
518200031001042,557,0,0,557,15,1960,668.4,788.8,3417.2,307857.4355719668,25500.136934861457
518200031001012,2,0,0,2,40,35,2.4,26.8,64.2,305350.85577680735,13303.040875650033
517900005001026,0,0,0,0,1,0.7,0,0.6,1.3,273132.3214566777,126.75707859323516
518200033003002,3,0,0,3,16,21.7,3.6,13.8,39.1,297825.444388059,8081.936018576264
518200032001045,0,0,0,0,8,5.6,0,4.8,10.4,298109.83941271954,1202.9358761819685
518200032004023,0,0,0,0,10,7,0,6,13,298959.91930292425,3918.431058983183
518200031001007,0,0,0,0,7,4.9,0,4.2,9.1,304481.67267696233,16553.652812625223
518200034002001,0,0,0,0,14,9.8,0,8.4,18.2,311253.0458266954,18043.778415401543
518200033002028,280,260,0,20,123,338.1,336,231.8,905.9,310041.468160346,14221.652961008393
510150710003059,0,0,0,0,5,3.5,0,3,6.5,39476.121123829915,7.478795130514904
517900003001007,0,0,0,0,11,7.7,0,6.6,14.3,298712.038723183,3370.45184941565
518200035003014,0,0,0,0,17,11.9,0,10.2,22.1,315571.72118774167,4941.834079017887
517900005002002,0,0,0,0,9,6.3,0,5.4,11.7,316203.7791297502,16208.472044864036
517900006002035,47,28,19,0,15,189.7,56.4,112.3,358.4,325377.33917817514,28069.370882507512
517900002003010,70,8,0,62,24,239.4,84,105.2,428.6,310517.5003253798,6242.000830491314
517900004013009,0,0,0,0,14,9.8,0,8.4,18.2,308976.0944077842,12935.647308703017
510150709002011,0,0,0,0,28,19.6,0,16.8,36.4,323498.62264412595,346.9693797908618
510150710003050,0,0,0,0,23,16.1,0,13.8,29.9,108966.26501661738,63.01605279435199
510150701001025,0,0,0,0,5,3.5,0,3,6.5,70134.7638572603,91.62110345882053
517900001001011,343,0,0,343,18,1213.1,411.6,491,2115.7,322662.9820201277,28411.956839018374
510150706022009,0,0,0,0,4,2.8,0,2.4,5.2,322394.6921699287,944.4549874254384
510150710004012,0,0,0,0,5,3.5,0,3,6.5,239938.26200081143,100.90210254586476
510150707013007,0,0,0,0,10,7,0,6,13,318438.7956553762,4553.013310372864
510150701001001,0,0,0,0,2,1.4,0,1.2,2.6,183050.14415222045,2.674636866817106
510150708021007,0,0,0,0,17,11.9,0,10.2,22.1,80599.78879088587,22.866912781874074
510150703004005,16,3,0,13,40,75.6,19.2,43.7,138.5,223685.3828166099,932.7201375582753
510150712021009,3,0,3,0,52,61.6,3.6,45.3,110.5,317712.71948990965,1392.041534810649
510150709003010,0,0,0,0,5,3.5,0,3,6.5,317598.40256909473,2617.043739757651
510150706012012,5,1,0,4,7,19.6,6,10.3,35.9,313706.8445195898,96.83366879868854
510150701001073,0,0,0,0,4,2.8,0,2.4,5.2,12303.490595513456,136.909048793806
518200035001010,8,3,0,5,19,32.9,9.6,19.9,62.4,313544.5343399106,9448.928653945031
518200032003011,0,0,0,0,17,11.9,0,10.2,22.1,298766.93937739515,9921.982975389901
518200032002008,0,0,0,0,9,6.3,0,5.4,11.7,292725.7789937993,8813.56273431594
518200034003017,2,0,0,2,1,7.7,2.4,3.4,13.5,311043.63935170503,22966.95708168454
518200032004025,0,0,0,0,14,9.8,0,8.4,18.2,285194.1713138307,2292.2474420337526
518200034003004,0,0,0,0,7,4.9,0,4.2,9.1,303857.0866327164,21099.632955021465
517900002002007,0,0,0,0,6,4.2,0,3.6,7.8,316700.08979939995,11955.273479737994
518200033002002,0,0,0,0,7,4.9,0,4.2,9.1,311236.8245771977,19664.139677434843
510150702002053,6,6,0,0,7,9.1,7.2,7.2,23.5,10776.994320832766,46.58250596765262
510150704001001,0,0,0,0,15,10.5,0,9,19.5,179194.61717785243,19.83270334726147
510150703002008,0,0,0,0,2,1.4,0,1.2,2.6,214928.93078664012,74.68335652995374
510150707021020,0,0,0,0,7,4.9,0,4.2,9.1,313744.20196090115,549.5021178778738
517900003001011,0,0,0,0,28,19.6,0,16.8,36.4,294649.2854441949,2719.2838521069953
517900003001005,0,0,0,0,11,7.7,0,6.6,14.3,294832.02525005105,2503.102114322834
517900003001003,0,0,0,0,10,7,0,6,13,294898.89425164997,3202.163389995622
517900003004018,8,1,7,0,17,71.4,9.6,43.6,124.6,310732.5195190751,9723.757606427143
510150707022038,0,0,0,0,1,0.7,0,0.6,1.3,292159.5146271424,101.86541219898608
510150710001024,0,0,0,0,10,7,0,6,13,119031.98301177936,15.539688366847786
